date,regime,picks,wins,losses,holds,no_data,acceptance_mode,eligible_count,breadth_above_sma20,input_mode,bundle_id,bundle_composite_sha256,pit_grade
2023-05-18,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-05-19,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-05-22,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-05-23,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-05-24,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-05-25,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-05-26,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-05-29,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-05-30,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-05-31,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-06-01,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-06-02,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-06-05,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-06-06,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-06-07,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-06-08,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-06-09,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-06-12,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-06-13,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-06-14,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-06-15,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-06-16,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-06-19,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-06-20,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-06-21,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-06-26,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-06-27,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-06-28,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-06-29,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-06-30,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-07-03,bear,0,0,0,0,0,regime_filtered,0,,live,,,
2023-07-04,bear,0,0,0,0,0,regime_filtered,0,,live,,,
