ticker,stage,reason
AAMI,filters,price 2.13 < 8.0
AAOI,filters,rvol 0.51 < 1.3
AAP,filters,avg_vol_20d 511344 < 1000000
AARD,filters,avg_vol_20d 413786 < 1000000
AAT,filters,price 6.81 < 8.0
ABAT,filters,avg_vol_20d 193808 < 1000000
ABCB,filters,avg_vol_20d 141636 < 1000000
ABEO,filters,price 0.59 < 8.0
ABG,filters,avg_vol_20d 242660 < 1000000
ABL,filters,rvol 0.88 < 1.3
ABM,filters,avg_vol_20d 866999 < 1000000
ABR,filters,avg_vol_20d 359389 < 1000000
ABSI,filters,rvol 0.33 < 1.3
ABTC,filters,rvol 0.97 < 1.3
ABUS,filters,rvol 0.98 < 1.3
ACA,filters,atr_pct 2.45 < 2.5
ACAD,filters,atr_pct 1.90 < 2.5
ACCO,filters,rvol 0.93 < 1.3
ACDC,filters,price 3.93 < 8.0
ACEL,filters,rvol 0.86 < 1.3
ACHR,filters,price 6.46 < 8.0
ACIC,filters,rvol 1.10 < 1.3
ACIW,filters,avg_vol_20d 344266 < 1000000
ACLS,filters,rvol 1.06 < 1.3
ACLX,filters,avg_vol_20d 264113 < 1000000
ACMR,filters,avg_vol_20d 47963 < 1000000
ACNB,filters,avg_vol_20d 212208 < 1000000
ACNT,filters,price 1.89 < 8.0
ACR,filters,avg_vol_20d 680470 < 1000000
ACRE,filters,avg_vol_20d 430595 < 1000000
ACRS,filters,avg_vol_20d 43722 < 1000000
ACT,filters,avg_vol_20d 88136 < 1000000
ACTG,filters,rvol 1.09 < 1.3
ACTU,filters,rvol 0.68 < 1.3
ACU,filters,avg_vol_20d 298147 < 1000000
ACVA,filters,adv20 28687179 < 30000000
ADAM,filters,rvol 0.39 < 1.3
ADCT,filters,rvol 0.97 < 1.3
ADEA,filters,avg_vol_20d 922938 < 1000000
ADMA,filters,avg_vol_20d 397579 < 1000000
ADNT,filters,price 1.26 < 8.0
ADPT,filters,avg_vol_20d 308250 < 1000000
ADTN,filters,rvol 0.49 < 1.3
ADUS,filters,avg_vol_20d 261701 < 1000000
ADV,filters,avg_vol_20d 357476 < 1000000
AEBI,filters,rvol 0.87 < 1.3
AEHR,filters,rvol 0.97 < 1.3
AEIS,filters,price 7.66 < 8.0
AEO,filters,price 5.00 < 8.0
AESI,filters,price 4.71 < 8.0
AEVA,filters,avg_vol_20d 525598 < 1000000
AEYE,filters,avg_vol_20d 62022 < 1000000
AFCG,filters,price 1.89 < 8.0
AFRI,filters,avg_vol_20d 679649 < 1000000
AGIO,filters,rvol 0.72 < 1.3
AGL,setup,did_not_meet_breakout_or_reversal
AGM,filters,avg_vol_20d 407707 < 1000000
AGX,filters,rvol 0.53 < 1.3
AGYS,filters,price 6.42 < 8.0
AHCO,filters,avg_vol_20d 87437 < 1000000
AHH,filters,avg_vol_20d 193808 < 1000000
AHL,filters,rvol 0.85 < 1.3
AHR,filters,rvol 0.99 < 1.3
AI,filters,rvol 0.72 < 1.3
AII,filters,price 5.13 < 8.0
AIN,filters,avg_vol_20d 121975 < 1000000
AIOT,filters,avg_vol_20d 711594 < 1000000
AIP,filters,avg_vol_20d 544839 < 1000000
AIR,filters,avg_vol_20d 716678 < 1000000
AIRJ,filters,rvol 0.80 < 1.3
AIRO,filters,price 6.25 < 8.0
AIRS,filters,avg_vol_20d 42361 < 1000000
AISP,filters,price 4.35 < 8.0
AIV,filters,avg_vol_20d 57158 < 1000000
AKBA,filters,avg_vol_20d 931360 < 1000000
AKR,filters,price 2.98 < 8.0
ALAB,filters,avg_vol_20d 6457 < 1000000
ALB,filters,price 3.93 < 8.0
ALCO,filters,price 5.80 < 8.0
ALDX,filters,avg_vol_20d 212186 < 1000000
ALEC,filters,adv20 27057169 < 30000000
ALEX,filters,rvol 0.88 < 1.3
ALG,filters,rvol 0.69 < 1.3
ALGT,filters,avg_vol_20d 573563 < 1000000
ALH,setup,did_not_meet_breakout_or_reversal
ALHC,filters,avg_vol_20d 434307 < 1000000
ALIT,filters,price 0.71 < 8.0
ALKS,filters,avg_vol_20d 28278 < 1000000
ALKT,filters,avg_vol_20d 858060 < 1000000
ALLO,filters,avg_vol_20d 543153 < 1000000
ALMS,filters,rvol 0.66 < 1.3
ALMU,filters,price 2.04 < 8.0
ALNT,filters,rvol 0.33 < 1.3
ALRM,filters,rvol 0.64 < 1.3
ALRS,filters,avg_vol_20d 338840 < 1000000
ALT,filters,price 6.34 < 8.0
ALTG,filters,avg_vol_20d 75418 < 1000000
ALTI,filters,adv20 19027179 < 30000000
ALX,filters,rvol 0.80 < 1.3
AMAL,filters,rvol 0.86 < 1.3
AMBA,filters,rvol 0.91 < 1.3
AMBP,filters,price 3.13 < 8.0
AMBQ,filters,avg_vol_20d 111254 < 1000000
AMC,filters,adv20 13023201 < 30000000
AMCX,filters,rvol 1.15 < 1.3
AMD,filters,avg_vol_20d 121975 < 1000000
AMLX,filters,price 2.83 < 8.0
AMN,filters,avg_vol_20d 359389 < 1000000
AMPH,filters,avg_vol_20d 426506 < 1000000
AMPL,filters,avg_vol_20d 613393 < 1000000
AMPX,filters,rvol 0.56 < 1.3
AMR,filters,rvol 1.06 < 1.3
AMRC,filters,rvol 0.90 < 1.3
AMRX,filters,avg_vol_20d 37950 < 1000000
AMSC,filters,avg_vol_20d 470762 < 1000000
AMSF,filters,rvol 0.93 < 1.3
AMTB,filters,avg_vol_20d 777558 < 1000000
AMWD,filters,avg_vol_20d 86988 < 1000000
ANAB,filters,avg_vol_20d 129991 < 1000000
ANDE,filters,avg_vol_20d 308400 < 1000000
ANF,filters,avg_vol_20d 333587 < 1000000
ANGI,filters,rvol 1.02 < 1.3
ANGO,filters,price 2.57 < 8.0
ANIK,filters,price 4.85 < 8.0
ANIP,filters,avg_vol_20d 665280 < 1000000
ANNX,filters,rvol 0.64 < 1.3
AOMR,filters,avg_vol_20d 57994 < 1000000
AORT,filters,rvol 0.98 < 1.3
AOSL,filters,price 1.57 < 8.0
AOUT,filters,avg_vol_20d 49781 < 1000000
APAM,filters,avg_vol_20d 63678 < 1000000
APEI,filters,avg_vol_20d 996604 < 1000000
APGE,filters,rvol 0.80 < 1.3
APLD,filters,avg_vol_20d 193808 < 1000000
APLE,filters,avg_vol_20d 44120 < 1000000
APOG,filters,avg_vol_20d 984760 < 1000000
APPN,filters,avg_vol_20d 5143 < 1000000
APPS,filters,adv20 18548048 < 30000000
AQST,filters,rvol 1.09 < 1.3
ARAY,filters,price 7.25 < 8.0
ARCB,filters,avg_vol_20d 186103 < 1000000
ARCT,filters,rvol 0.98 < 1.3
ARDT,filters,adv20 26974137 < 30000000
ARDX,filters,rvol 0.99 < 1.3
AREN,filters,price 3.06 < 8.0
ARHS,filters,avg_vol_20d 86257 < 1000000
ARI,filters,avg_vol_20d 304016 < 1000000
ARKO,filters,price 4.76 < 8.0
ARL,filters,rvol 0.57 < 1.3
ARLO,filters,adv20 23449295 < 30000000
AROC,filters,avg_vol_20d 832877 < 1000000
AROW,filters,price 4.77 < 8.0
ARQ,filters,avg_vol_20d 234569 < 1000000
ARQT,filters,avg_vol_20d 951286 < 1000000
ARR,filters,price 3.76 < 8.0
ARRY,filters,avg_vol_20d 86988 < 1000000
ARVN,filters,avg_vol_20d 865039 < 1000000
ARWR,filters,rvol 0.68 < 1.3
ASAN,filters,rvol 0.88 < 1.3
ASB,filters,avg_vol_20d 226584 < 1000000
ASC,filters,rvol 1.15 < 1.3
ASGN,filters,avg_vol_20d 779561 < 1000000
ASIC,filters,avg_vol_20d 25496 < 1000000
ASIX,filters,price 5.80 < 8.0
ASLE,filters,price 5.80 < 8.0
ASO,filters,avg_vol_20d 523443 < 1000000
ASPI,filters,avg_vol_20d 138421 < 1000000
ASPN,filters,avg_vol_20d 168453 < 1000000
ASTE,filters,avg_vol_20d 504838 < 1000000
ASTH,filters,rvol 1.05 < 1.3
ASTI,filters,price 7.33 < 8.0
ASTS,filters,avg_vol_20d 507937 < 1000000
ASUR,filters,rvol 0.53 < 1.3
ATEC,filters,rvol 0.62 < 1.3
ATEN,filters,avg_vol_20d 280635 < 1000000
ATEX,filters,rvol 0.60 < 1.3
ATGE,filters,rvol 0.78 < 1.3
ATKR,filters,adv20 22918799 < 30000000
ATLC,filters,avg_vol_20d 122996 < 1000000
ATLO,filters,avg_vol_20d 164187 < 1000000
ATMU,filters,adv20 12845207 < 30000000
ATNI,filters,price 1.60 < 8.0
ATRC,filters,avg_vol_20d 20904 < 1000000
ATRO,filters,avg_vol_20d 624926 < 1000000
ATYR,filters,rvol 0.76 < 1.3
AUB,filters,rvol 1.13 < 1.3
AUPH,filters,rvol 1.10 < 1.3
AURA,filters,avg_vol_20d 504806 < 1000000
AVA,filters,adv20 12771131 < 30000000
AVAH,filters,rvol 0.83 < 1.3
AVAV,filters,rvol 1.03 < 1.3
AVBH,filters,avg_vol_20d 678521 < 1000000
AVBP,filters,avg_vol_20d 434307 < 1000000
AVD,filters,avg_vol_20d 527191 < 1000000
AVDL,filters,price 3.16 < 8.0
