ticker,weight,prob_hit_10,expected_value,technical_score,breakout_score,adv_20,notional_usd
BIDU,0.05,,,10.0,2.0,31637124.64242401,5000.0
BMRC,0.05,,,10.0,2.0,31637124.64242401,5000.0
ZBRA,0.05,,,9.45,2.0,81830230.39463806,5000.0
BSX,0.05,,,9.45,2.0,53976167.76596966,5000.0
RLJ,0.05,,,8.45,2.0,42466594.73936336,5000.0
