ticker,stage,reason
MA,filters,"$ADV20 $1,335,510 < $30,000,000"
MG,scoring,score_below_min
GRDN,scoring,score_below_min
IDCC,filters,"$ADV20 $5,739,104 < $30,000,000"
C,scoring,score_below_min
BH,filters,"$ADV20 $2,910,199 < $30,000,000"
LPRO,filters,"$ADV20 $2,910,199 < $30,000,000"
AAMI,filters,"$ADV20 $2,910,199 < $30,000,000"
HYLN,scoring,score_below_min
AFRI,filters,"$ADV20 $77,000 < $30,000,000"
IRM,signal,stress_blocked
BRZE,signal,stress_blocked
HAIN,filters,5d return 18.0% > 15.0% (avoiding chased names)
PROP,filters,"Price $0.78 < $5.00; $ADV20 $2,593,086 < $30,000,000"
SHEN,filters,"$ADV20 $3,870,855 < $30,000,000"
RVTY,filters,"$ADV20 $3,870,855 < $30,000,000"
NVAX,filters,"$ADV20 $3,870,855 < $30,000,000"
DIOD,filters,"$ADV20 $3,870,855 < $30,000,000"
GNK,filters,"$ADV20 $3,870,855 < $30,000,000"
ASLE,scoring,score_below_min
WSBF,scoring,score_below_min
AVD,filters,"$ADV20 $875,455 < $30,000,000"
CENX,filters,"Price $4.65 < $5.00; $ADV20 $992,472 < $30,000,000"
CDXS,filters,"Price $4.65 < $5.00; $ADV20 $992,472 < $30,000,000"
REAX,filters,"Price $1.02 < $5.00; $ADV20 $1,602,382 < $30,000,000"
INBX,filters,"Price $2.65 < $5.00; $ADV20 $5,117,831 < $30,000,000"
LKFN,filters,"$ADV20 $13,566,147 < $30,000,000"
ENS,filters,"$ADV20 $10,175,934 < $30,000,000"
UAL,filters,"$ADV20 $10,175,934 < $30,000,000"
CEVA,filters,"$ADV20 $10,175,934 < $30,000,000"
LMT,scoring,score_below_min
AXGN,scoring,score_below_min
SOFI,scoring,score_below_min
UBSI,scoring,score_below_min
VIA,scoring,score_below_min
MGEE,scoring,score_below_min
KRYS,filters,"$ADV20 $12,179,387 < $30,000,000; 5d return 15.0% > 15.0% (avoiding chased names)"
DNA,filters,"$ADV20 $12,179,387 < $30,000,000; 5d return 15.0% > 15.0% (avoiding chased names)"
FN,scoring,score_below_min
QUBT,filters,"$ADV20 $10,049,888 < $30,000,000"
AROC,scoring,score_below_min
MRK,scoring,score_below_min
CFFI,filters,"$ADV20 $22,509,114 < $30,000,000"
HG,filters,"$ADV20 $22,509,114 < $30,000,000"
DSGN,filters,"$ADV20 $22,509,114 < $30,000,000"
OPK,filters,"$ADV20 $2,006,729 < $30,000,000"
HAL,signal,stress_blocked
NGVC,signal,stress_blocked
SKT,signal,stress_blocked
OPAL,signal,stress_blocked
VMD,signal,stress_blocked
FIP,filters,"Price $2.16 < $5.00; $ADV20 $419,733 < $30,000,000"
ASIX,signal,stress_blocked
BRO,filters,"Price $3.27 < $5.00; $ADV20 $10,799,746 < $30,000,000"
ESPR,filters,"Price $3.27 < $5.00; $ADV20 $10,799,746 < $30,000,000"
CARE,filters,"Price $3.27 < $5.00; $ADV20 $10,799,746 < $30,000,000"
