ticker,stage,reason
ABNB,filters,"$ADV20 $15,460,872 < $30,000,000; 5d return 15.5% > 15.0% (avoiding chased names)"
CNP,filters,"Price $0.65 < $5.00; $ADV20 $704,537 < $30,000,000"
SVCO,filters,"Price $0.65 < $5.00; $ADV20 $704,537 < $30,000,000"
RIG,filters,"$ADV20 $16,220,113 < $30,000,000; 5d return 16.3% > 15.0% (avoiding chased names)"
NWPX,filters,"$ADV20 $16,220,113 < $30,000,000; 5d return 16.3% > 15.0% (avoiding chased names)"
SXI,filters,"$ADV20 $6,292,274 < $30,000,000"
LCNB,filters,"$ADV20 $578,332 < $30,000,000; 5d return 48.6% > 15.0% (avoiding chased names)"
CSGS,filters,"$ADV20 $578,332 < $30,000,000; 5d return 48.6% > 15.0% (avoiding chased names)"
ICFI,filters,"Price $4.87 < $5.00; $ADV20 $1,423,466 < $30,000,000"
SOC,filters,"$ADV20 $11,246,297 < $30,000,000"
OVLY,scoring,tech_score_below_min_5.5
KLC,filters,"Price $3.39 < $5.00; $ADV20 $452,402 < $30,000,000"
MTX,filters,"Price $3.39 < $5.00; $ADV20 $452,402 < $30,000,000"
OPRT,scoring,tech_score_below_min_5.5
PLD,scoring,tech_score_below_min_5.5
BXC,filters,"$ADV20 $7,285,014 < $30,000,000"
MRVI,filters,"$ADV20 $443,284 < $30,000,000"
KULR,filters,"$ADV20 $443,284 < $30,000,000"
SEVN,scoring,tech_score_below_min_5.5
EQR,filters,"Price $3.50 < $5.00; $ADV20 $3,106,531 < $30,000,000"
LUMN,filters,"Price $3.50 < $5.00; $ADV20 $3,106,531 < $30,000,000"
WASH,filters,"$ADV20 $653,426 < $30,000,000"
HUT,filters,"$ADV20 $3,118,902 < $30,000,000"
NEON,filters,"$ADV20 $3,118,902 < $30,000,000"
XPOF,scoring,tech_score_below_min_5.5
PRSU,scoring,tech_score_below_min_5.5
GRPN,filters,"Price $3.61 < $5.00; $ADV20 $3,736,825 < $30,000,000; 5d return 18.0% > 15.0% (avoiding chased names)"
ACLX,scoring,tech_score_below_min_5.5
UPWK,scoring,tech_score_below_min_5.5
WTW,scoring,tech_score_below_min_5.5
TWST,scoring,tech_score_below_min_5.5
CPB,filters,"$ADV20 $12,311,391 < $30,000,000"
AAPL,scoring,tech_score_below_min_5.5
RR,scoring,tech_score_below_min_5.5
PBF,scoring,tech_score_below_min_5.5
ZGN,scoring,tech_score_below_min_5.5
ELVN,scoring,tech_score_below_min_5.5
KGS,scoring,tech_score_below_min_5.5
CTRI,scoring,tech_score_below_min_5.5
TZOO,scoring,tech_score_below_min_5.5
PWP,filters,"$ADV20 $22,664,038 < $30,000,000"
REAL,filters,"$ADV20 $22,664,038 < $30,000,000"
KALU,scoring,tech_score_below_min_5.5
BLZE,scoring,tech_score_below_min_5.5
ALRS,filters,"Price $3.88 < $5.00; $ADV20 $4,749,557 < $30,000,000"
USAU,filters,"Price $3.88 < $5.00; $ADV20 $4,749,557 < $30,000,000"
JOBY,filters,"$ADV20 $3,304,801 < $30,000,000"
DSP,scoring,tech_score_below_min_5.5
PACK,filters,"$ADV20 $2,016,194 < $30,000,000"
AMC,filters,"$ADV20 $2,530,010 < $30,000,000"
EVI,filters,"$ADV20 $2,530,010 < $30,000,000"
RVLV,filters,"$ADV20 $2,530,010 < $30,000,000"
ORKA,scoring,tech_score_below_min_5.5
MSCI,filters,"$ADV20 $11,240,630 < $30,000,000"
RNGR,scoring,tech_score_below_min_5.5
CME,filters,"$ADV20 $2,563,717 < $30,000,000"
XMTR,scoring,tech_score_below_min_5.5
REX,scoring,tech_score_below_min_5.5
IMKTA,scoring,tech_score_below_min_5.5
IR,scoring,tech_score_below_min_5.5
KWR,scoring,tech_score_below_min_5.5
BKNG,scoring,tech_score_below_min_5.5
BCO,filters,"$ADV20 $13,059,142 < $30,000,000"
CTS,scoring,tech_score_below_min_5.5
ESNT,scoring,tech_score_below_min_5.5
KFY,scoring,tech_score_below_min_5.5
MMSI,scoring,tech_score_below_min_5.5
BF-B,filters,"$ADV20 $12,253,572 < $30,000,000"
BATRK,filters,"$ADV20 $15,649,781 < $30,000,000"
PRLB,filters,"$ADV20 $14,955,133 < $30,000,000"
TECX,filters,"$ADV20 $12,751,165 < $30,000,000"
BSET,filters,"$ADV20 $14,955,133 < $30,000,000"
DENN,filters,"$ADV20 $9,104,080 < $30,000,000"
IHRT,filters,"$ADV20 $9,104,080 < $30,000,000"
TT,filters,"$ADV20 $9,104,080 < $30,000,000"
XEL,filters,"$ADV20 $382,469 < $30,000,000"
LZM,filters,"Price $4.75 < $5.00; $ADV20 $976,764 < $30,000,000"
COHU,filters,"Price $4.75 < $5.00; $ADV20 $976,764 < $30,000,000"
SHOO,filters,"Price $4.75 < $5.00; $ADV20 $976,764 < $30,000,000"
UCTT,scoring,tech_score_below_min_5.5
CLNE,scoring,tech_score_below_min_5.5
CCOI,filters,"Price $2.29 < $5.00; $ADV20 $3,385,936 < $30,000,000"
ETON,filters,"Price $2.29 < $5.00; $ADV20 $3,385,936 < $30,000,000"
JBIO,filters,"$ADV20 $5,302,262 < $30,000,000"
APTV,scoring,tech_score_below_min_5.5
SONO,scoring,tech_score_below_min_5.5
MCFT,scoring,tech_score_below_min_5.5
ADNT,filters,"$ADV20 $26,047,206 < $30,000,000"
CMCO,filters,"$ADV20 $26,047,206 < $30,000,000"
DBRG,filters,"$ADV20 $26,047,206 < $30,000,000"
KREF,filters,"$ADV20 $11,151,899 < $30,000,000"
LVWR,filters,"$ADV20 $11,151,899 < $30,000,000"
COUR,filters,"$ADV20 $9,288,058 < $30,000,000"
HLX,filters,"Price $1.52 < $5.00; $ADV20 $650,263 < $30,000,000"
SAFX,filters,"$ADV20 $22,595,630 < $30,000,000"
AVNW,filters,"$ADV20 $3,878,831 < $30,000,000"
EEX,filters,"$ADV20 $3,878,831 < $30,000,000"
EQBK,filters,"$ADV20 $5,017,069 < $30,000,000"
WSBC,filters,"$ADV20 $5,017,069 < $30,000,000"
DDOG,scoring,tech_score_below_min_5.5
RWT,filters,"$ADV20 $19,024,411 < $30,000,000"
PRVA,filters,"$ADV20 $19,024,411 < $30,000,000"
ROG,filters,"$ADV20 $20,501,489 < $30,000,000"
CDNS,filters,"$ADV20 $18,955,966 < $30,000,000"
BLMN,filters,"$ADV20 $304,436 < $30,000,000"
ROOT,filters,"$ADV20 $18,847,419 < $30,000,000"
PAMT,filters,"$ADV20 $304,436 < $30,000,000"
TRUE,filters,"$ADV20 $304,436 < $30,000,000"
TSHA,filters,"$ADV20 $304,436 < $30,000,000"
ASTE,scoring,tech_score_below_min_5.5
F,scoring,tech_score_below_min_5.5
NXT,scoring,tech_score_below_min_5.5
PFG,scoring,tech_score_below_min_5.5
PKST,filters,"$ADV20 $991,387 < $30,000,000"
MAMA,filters,"$ADV20 $991,387 < $30,000,000"
REZI,filters,"$ADV20 $9,316,602 < $30,000,000"
YELP,scoring,tech_score_below_min_5.5
CXM,scoring,tech_score_below_min_5.5
NTB,filters,"$ADV20 $17,210,072 < $30,000,000"
HD,filters,"$ADV20 $8,529,058 < $30,000,000"
INNV,scoring,tech_score_below_min_5.5
FIZZ,scoring,tech_score_below_min_5.5
AMTB,scoring,tech_score_below_min_5.5
THR,scoring,tech_score_below_min_5.5
TR,scoring,tech_score_below_min_5.5
SNDK,scoring,tech_score_below_min_5.5
FRME,filters,"$ADV20 $5,591,249 < $30,000,000"
AZO,filters,"$ADV20 $5,591,249 < $30,000,000"
MDGL,scoring,tech_score_below_min_5.5
TG,scoring,tech_score_below_min_5.5
PCB,filters,"$ADV20 $592,377 < $30,000,000"
HOLX,filters,"$ADV20 $592,377 < $30,000,000"
CIX,filters,"$ADV20 $592,377 < $30,000,000"
AEYE,scoring,tech_score_below_min_5.5
UVE,filters,"$ADV20 $72,263 < $30,000,000"
IIIV,filters,"$ADV20 $10,408,132 < $30,000,000"
HPE,filters,"$ADV20 $10,408,132 < $30,000,000"
ABBV,filters,"$ADV20 $10,408,132 < $30,000,000"
BAC,scoring,tech_score_zero
PENG,scoring,tech_score_below_min_5.5
ALEC,scoring,tech_score_below_min_5.5
FBNC,scoring,tech_score_below_min_5.5
AIOT,filters,"Price $2.21 < $5.00; $ADV20 $1,964,294 < $30,000,000"
EXE,filters,"Price $3.49 < $5.00; $ADV20 $8,384,436 < $30,000,000"
CELC,filters,"Price $3.49 < $5.00; $ADV20 $8,384,436 < $30,000,000"
DLX,scoring,tech_score_below_min_5.5
BHVN,filters,"$ADV20 $13,786,135 < $30,000,000"
PLMR,filters,"$ADV20 $13,786,135 < $30,000,000"
SPGI,filters,"$ADV20 $13,786,135 < $30,000,000"
TBBK,scoring,tech_score_below_min_5.5
MDXG,scoring,tech_score_below_min_5.5
STAA,filters,"Price $4.88 < $5.00; $ADV20 $4,979,764 < $30,000,000"
BTBT,filters,"$ADV20 $28,062,013 < $30,000,000"
KFS,filters,"$ADV20 $893,238 < $30,000,000"
VICR,filters,"$ADV20 $893,238 < $30,000,000"
NOVT,filters,"$ADV20 $893,238 < $30,000,000"
CTVA,filters,"$ADV20 $893,238 < $30,000,000"
FIGS,scoring,tech_score_below_min_5.5
OOMA,scoring,tech_score_below_min_5.5
GBCI,filters,"$ADV20 $12,769,454 < $30,000,000"
MKC,scoring,tech_score_below_min_5.5
IRTC,scoring,tech_score_below_min_5.5
TTD,scoring,tech_score_below_min_5.5
VMC,scoring,tech_score_below_min_5.5
FSLR,scoring,tech_score_below_min_5.5
JBTM,scoring,tech_score_below_min_5.5
USPH,scoring,tech_score_below_min_5.5
NPWR,scoring,tech_score_below_min_5.5
LVS,filters,"Price $2.12 < $5.00; $ADV20 $1,674,482 < $30,000,000"
PNTG,scoring,tech_score_below_min_5.5
BLX,scoring,tech_score_below_min_5.5
CZFS,filters,"$ADV20 $7,860,161 < $30,000,000"
CIA,filters,"$ADV20 $7,860,161 < $30,000,000"
