ticker,weight,prob_hit_10,expected_value,technical_score,breakout_score,adv_20,notional_usd
Q,0.05,,,10.0,2.0,294091023.4980499,5000.0
CF,0.05,,,10.0,8.0,208813987.51367244,5000.0
EME,0.05,,,10.0,8.0,208813987.51367244,5000.0
AMBQ,0.05,,,10.0,8.0,208813987.51367244,5000.0
SB,0.05,,,10.0,2.0,83225889.1899887,5000.0
