ticker,confluence_score,signal_count,conviction,thesis,signals
AMBQ,8.0,2,HIGH,Multi-factor alignment (2 signals),"pro30,weekly"
HFFG,7.5,2,HIGH,Multi-factor alignment (2 signals),"pro30,weekly"
