Ticker,Last,RVOL,ATR%,RSI14,Dist_to_52W_High%,$ADV20,MA20,MA50,Above_MA20,Above_MA50,Ret20d%,Ret5d%,Setup,Score,Is_Leveraged_ETF
UAL,94.52,2.53,7.61,32.2,20.71,764628760.0,108.14,110.03,0,0,-18.45,-8.42,Reversal,27.11,False
CCL,26.39,2.31,6.52,25.7,22.45,727202861.0,30.77,30.67,0,0,-22.36,-9.44,Reversal,25.41,False
DAL,60.58,2.59,5.87,30.2,20.7,719047027.0,67.67,68.87,0,0,-19.6,-5.71,Reversal,24.88,False
RCL,290.55,2.03,5.65,34.7,20.72,830788796.0,312.63,304.2,0,0,-16.51,-3.42,Reversal,23.29,False
IP,38.39,1.61,5.16,7.6,31.61,286908839.0,44.99,43.06,0,0,-17.58,-10.49,Reversal,22.46,False
CF,111.04,2.72,5.5,72.7,8.83,392578582.0,100.03,91.55,1,1,19.86,6.46,Breakout,22.38,False
DOW,34.31,2.06,4.48,66.3,4.03,443677273.0,31.84,28.92,1,1,7.96,12.12,Breakout,20.08,False
