as_of_date,ticker,listed_on_or_before,delisted_after,source_file,source_sha256
2021-01-29,000672.SZ,1996-12-18,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000685.SZ,1997-01-23,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000686.SZ,1997-02-27,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000688.SZ,1997-01-20,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000690.SZ,1997-01-28,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000703.SZ,1997-03-28,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000708.SZ,1997-03-26,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000709.SZ,1997-04-16,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000710.SZ,1997-04-22,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000712.SZ,1997-04-15,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000717.SZ,1997-05-08,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000723.SZ,1997-05-15,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000725.SZ,2001-01-12,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000728.SZ,1997-06-16,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000729.SZ,1997-07-16,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
2021-01-29,000733.SZ,1997-07-03,,sources/daily_basic_20210129.csv,9a68230e841d24b532e822f8561fc45834fa855814c969f75b56e42ce49871cc
