ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000905.SH,2014-01-02,3847.879,3823.316,3848.253,3813.806,3829.096,18.783,0.4905,30800260.0,31417807.017
000905.SH,2014-01-03,3816.316,3841.219,3843.36,3802.992,3847.879,-31.563,-0.8203,34817561.0,35851633.239
000905.SH,2014-01-06,3710.898,3806.585,3806.585,3709.909,3816.316,-105.418,-2.7623,34511866.0,33089075.606
000905.SH,2014-01-07,3733.662,3699.901,3740.717,3688.421,3710.898,22.764,0.6134,27208621.0,27587590.271
000905.SH,2014-01-08,3738.205,3735.503,3768.503,3726.114,3733.662,4.543,0.1217,31943441.0,32589003.76
000905.SH,2014-01-09,3696.023,3732.861,3768.618,3693.64,3738.205,-42.182,-1.1284,33354135.0,34352021.52
000905.SH,2014-01-10,3628.634,3685.019,3689.187,3619.679,3696.023,-67.389,-1.8233,31393303.0,29759859.726
000905.SH,2014-01-13,3612.02,3628.533,3657.686,3588.742,3628.634,-16.614,-0.4579,27842415.0,27652484.466
000905.SH,2014-01-14,3683.534,3610.638,3683.534,3601.993,3612.02,71.514,1.9799,28565104.0,27864934.16
000905.SH,2014-01-15,3708.142,3681.042,3708.542,3675.635,3683.534,24.608,0.6681,29479193.0,30178561.089
000905.SH,2014-01-16,3714.314,3709.383,3738.083,3703.191,3708.142,6.172,0.1664,29583312.0,29674608.914
000905.SH,2014-01-17,3671.915,3704.356,3704.96,3669.587,3714.314,-42.399,-1.1415,25325293.0,25832781.201
000905.SH,2014-01-20,3644.125,3666.303,3680.01,3627.65,3671.915,-27.79,-0.7568,23805747.0,24791854.467
000905.SH,2014-01-21,3700.108,3645.344,3700.594,3645.344,3644.125,55.983,1.5363,28497804.0,29215573.162
000905.SH,2014-01-22,3799.042,3707.082,3799.057,3707.033,3700.108,98.934,2.6738,41849047.0,42102246.756
000905.SH,2014-01-23,3825.486,3801.749,3841.028,3795.475,3799.042,26.444,0.6961,40705802.0,44043320.024
000905.SH,2014-01-24,3882.668,3817.078,3890.528,3811.137,3825.486,57.182,1.4948,45790748.0,48820004.18
000905.SH,2014-01-27,3881.947,3867.566,3916.666,3854.866,3882.668,-0.721,-0.0186,42636805.0,45982997.025
000905.SH,2014-01-28,3873.81,3882.006,3906.573,3847.029,3881.947,-8.137,-0.2096,31946533.0,35468332.899
000905.SH,2014-01-29,3908.45,3878.314,3913.124,3878.314,3873.81,34.64,0.8942,33008381.0,36653826.332
000905.SH,2014-01-30,3885.416,3900.013,3908.605,3877.57,3908.45,-23.034,-0.5893,28549940.0,30952128.22
000905.SH,2014-02-07,3957.671,3864.891,3957.933,3854.982,3885.416,72.255,1.8596,34036566.0,37584978.982
000905.SH,2014-02-10,4074.63,3972.857,4074.63,3972.857,3957.671,116.959,2.9552,57754949.0,62830622.725
000905.SH,2014-02-11,4080.378,4081.544,4099.775,4031.951,4074.63,5.748,0.1411,61876821.0,66427604.053
000905.SH,2014-02-12,4125.412,4083.819,4125.709,4064.346,4080.378,45.034,1.1037,59039266.0,60189976.732
000905.SH,2014-02-13,4064.423,4123.215,4137.588,4064.423,4125.412,-60.989,-1.4784,61051500.0,62110135.188
000905.SH,2014-02-14,4134.16,4063.791,4134.226,4060.092,4064.423,69.737,1.7158,50631158.0,52265409.79
000905.SH,2014-02-17,4212.745,4152.041,4213.142,4152.041,4134.16,78.585,1.9009,62469417.0,65593955.445
000905.SH,2014-02-18,4207.699,4216.606,4219.034,4188.069,4212.745,-5.046,-0.1198,63913296.0,66766223.925
000905.SH,2014-02-19,4207.994,4206.02,4232.877,4180.914,4207.699,0.295,0.007,61217761.0,63154497.739
000905.SH,2014-02-20,4149.071,4211.696,4221.63,4139.199,4207.994,-58.923,-1.4003,62564478.0,62300133.273
000905.SH,2014-02-21,4121.917,4142.3,4156.794,4085.817,4149.071,-27.154,-0.6545,48017883.0,47228926.62
000905.SH,2014-02-24,4105.792,4102.559,4105.792,4043.506,4121.917,-16.125,-0.3912,51238733.0,52821387.266
000905.SH,2014-02-25,3961.439,4109.494,4141.259,3937.174,4105.792,-144.353,-3.5158,65665271.0,70061216.332
000905.SH,2014-02-26,3987.48,3941.118,3988.059,3883.963,3961.439,26.041,0.6574,48856736.0,49764846.08
000905.SH,2014-02-27,3934.727,3992.716,4053.854,3932.311,3987.48,-52.753,-1.323,54510923.0,57316272.091
000905.SH,2014-02-28,3975.929,3926.772,3976.128,3874.722,3934.727,41.202,1.0471,46601199.0,48254509.395
000905.SH,2014-03-03,4058.799,3975.536,4059.187,3969.299,3975.929,82.87,2.0843,51290257.0,53495701.236
000905.SH,2014-03-04,4059.567,4045.201,4067.425,4016.027,4058.799,0.768,0.0189,53655609.0,54602426.627
000905.SH,2014-03-05,4037.784,4064.963,4075.753,4031.916,4059.567,-21.783,-0.5366,53143631.0,51928401.778
000905.SH,2014-03-06,4032.756,4030.651,4042.214,3980.279,4037.784,-5.028,-0.1245,48189903.0,46614619.335
000905.SH,2014-03-07,4012.447,4032.138,4051.032,3992.94,4032.756,-20.309,-0.5036,45686320.0,45596345.165
000905.SH,2014-03-10,3860.244,3981.513,3981.513,3856.103,4012.447,-152.203,-3.7933,49665554.0,47348547.414
000905.SH,2014-03-11,3864.26,3848.17,3889.238,3826.928,3860.244,4.016,0.104,39939678.0,37450245.319
000905.SH,2014-03-12,3865.662,3857.577,3894.063,3803.732,3864.26,1.402,0.0363,41221160.0,36976695.865
000905.SH,2014-03-13,3907.146,3865.916,3907.851,3861.706,3865.662,41.484,1.0731,37064658.0,34137589.291
000905.SH,2014-03-14,3888.975,3891.196,3913.503,3860.317,3907.146,-18.171,-0.4651,35140833.0,33406192.196
000905.SH,2014-03-17,3967.15,3889.904,3967.854,3889.904,3888.975,78.175,2.0102,39288171.0,38774435.121
000905.SH,2014-03-18,3989.201,3970.664,4009.346,3968.889,3967.15,22.051,0.5558,44270842.0,44080433.148
000905.SH,2014-03-19,3980.673,3979.246,3980.743,3944.091,3989.201,-8.528,-0.2138,42668958.0,39248886.485
000905.SH,2014-03-20,3876.578,3973.15,4000.369,3876.428,3980.673,-104.095,-2.615,49863056.0,44829609.97
000905.SH,2014-03-21,3952.392,3857.823,3954.258,3828.92,3876.578,75.814,1.9557,52362721.0,45269601.668
000905.SH,2014-03-24,3985.861,3954.054,3995.865,3944.692,3952.392,33.469,0.8468,54202978.0,45816784.065
000905.SH,2014-03-25,3991.144,3977.878,4007.935,3967.621,3985.861,5.283,0.1325,53667026.0,45244076.393
000905.SH,2014-03-26,4001.502,3997.174,4009.884,3987.192,3991.144,10.358,0.2595,46277502.0,39747128.884
000905.SH,2014-03-27,3944.044,3994.817,3996.252,3943.792,4001.502,-57.458,-1.4359,49459872.0,41581287.209
000905.SH,2014-03-28,3865.295,3935.198,3951.726,3855.478,3944.044,-78.749,-1.9967,53458265.0,43844891.578
000905.SH,2014-03-31,3840.536,3865.004,3878.0,3815.739,3865.295,-24.759,-0.6405,38337778.0,31097095.713
000905.SH,2014-04-01,3899.488,3836.502,3899.658,3835.227,3840.536,58.952,1.535,34655220.0,29332505.803
000905.SH,2014-04-02,3902.043,3901.19,3922.079,3891.554,3899.488,2.555,0.0655,43981943.0,34207477.515
000905.SH,2014-04-03,3896.28,3902.067,3919.169,3880.404,3902.043,-5.763,-0.1477,42342712.0,33958648.555
000905.SH,2014-04-04,3939.229,3888.729,3939.613,3881.964,3896.28,42.949,1.1023,38203218.0,32452790.131
000905.SH,2014-04-08,3981.625,3927.506,3981.625,3918.976,3939.229,42.396,1.0763,42618208.0,37712924.941
000905.SH,2014-04-09,4018.547,3987.425,4019.085,3987.425,3981.625,36.922,0.9273,43685035.0,39980312.964
000905.SH,2014-04-10,4038.84,4022.048,4052.844,4012.659,4018.547,20.293,0.505,51174181.0,46752707.217
000905.SH,2014-04-11,4021.194,4021.964,4031.208,4001.797,4038.84,-17.646,-0.4369,43247393.0,39566857.902
000905.SH,2014-04-14,4051.33,4019.505,4051.49,4018.736,4021.194,30.136,0.7494,41571742.0,37820284.322
000905.SH,2014-04-15,4021.906,4050.333,4050.333,4015.089,4051.33,-29.424,-0.7263,45456868.0,41713771.291
000905.SH,2014-04-16,4019.883,4010.358,4026.764,3992.496,4021.906,-2.023,-0.0503,38105115.0,34759895.561
000905.SH,2014-04-17,4014.94,4025.377,4035.366,4012.71,4019.883,-4.943,-0.123,38718390.0,35587633.381
000905.SH,2014-04-18,4029.262,4006.875,4029.762,3995.549,4014.94,14.322,0.3567,34736479.0,32247621.176
000905.SH,2014-04-21,3965.337,4004.614,4032.846,3962.286,4029.262,-63.925,-1.5865,40253951.0,38253411.038
000905.SH,2014-04-22,3947.169,3957.22,3974.628,3889.777,3965.337,-18.168,-0.4582,41934820.0,39218301.992
000905.SH,2014-04-23,3929.168,3942.498,3956.408,3913.175,3947.169,-18.001,-0.456,30741912.0,29374317.387
000905.SH,2014-04-24,3884.811,3924.454,3931.512,3884.591,3929.168,-44.357,-1.1289,32345720.0,29781616.866
000905.SH,2014-04-25,3800.681,3879.448,3886.763,3797.471,3884.811,-84.13,-2.1656,36000619.0,31763963.15
000905.SH,2014-04-28,3684.593,3785.957,3785.957,3679.958,3800.681,-116.088,-3.0544,36670330.0,31495246.462
000905.SH,2014-04-29,3738.926,3678.621,3739.249,3678.007,3684.593,54.333,1.4746,28297418.0,24757446.877
