,ivol,momentum,reversal,low_vol,value,multifactor,CSI300,low_vol_timed,multifactor_timed,momentum_timed
2014-08-29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014-11-28,1.3646265225654173,1.1450081716229936,1.1653858744453294,1.238228964630079,1.22959644643126,1.2354680706211625,1.2012293614941194,1.2397289646300789,1.2369680706211623,1.1465081716229935
2015-02-27,1.6830340177090533,1.3767404458143369,1.379443110002503,1.503996697577793,1.4943719146791226,1.4550034492261519,1.5279745386259256,1.5058186506339795,1.4567699903660953,1.378544023046274
2015-05-29,2.192620395928659,2.0791198406393114,1.9562059534277783,2.1390802868900787,1.8878529676364775,1.8484927513630371,2.0702458680221887,2.141590916187843,1.8506589924167374,2.0817697084105427
2015-08-31,1.618656352041659,1.0260006498505363,1.2807157826737559,1.4664831424821878,1.5214014871691897,1.207629252200944,1.439744522378989,1.468204347415335,1.2090444679554218,1.0273083022533267
2015-11-30,1.70558926754468,0.9645813031223478,1.4363243061971642,1.572547352528296,1.5915016759697498,1.239988573569075,1.5252243201967934,1.466002040894212,1.2072309012534888,1.0257673397999467
2016-02-29,1.417788492894074,0.7142763598943199,1.0007240127281498,1.312954715465342,1.3463653140076477,1.0783797346425472,1.2305874343055405,1.466002040894212,1.2072309012534888,1.0257673397999467
2016-05-31,1.5325383594480968,0.7071919784390235,1.1118483081362334,1.3963777334820613,1.4626854077780542,1.131679828153867,1.3555050342408776,1.466002040894212,1.2072309012534888,1.0257673397999467
2016-08-31,1.626961402208624,0.7265728338301147,1.2202802534410584,1.4254508631609506,1.5397251740239868,1.1611093628888438,1.4231759403358095,1.466002040894212,1.2072309012534888,1.0257673397999467
2016-11-30,1.7651951282427385,0.7273780239441395,1.250862708080903,1.4815254643242983,1.6143412276416278,1.1953231116420653,1.5130738869950522,1.466002040894212,1.2072309012534888,1.0257673397999467
2017-02-28,1.8175996010223492,0.7119887772136922,1.2024908945808856,1.4730665506431808,1.617558326596778,1.1902332106306268,1.476640934153934,1.4580108981672983,1.201653193886488,1.0046486514842505
2017-05-31,1.792903775813038,0.6067205696221868,1.0728421220966289,1.4962665751962299,1.660393012101563,1.1939364945968236,1.4937792067440823,1.4809738041007237,1.205392009915232,0.856110407363545
2017-08-31,1.8777735506873143,0.659008703279783,1.1631267452527287,1.5564304253560728,1.6910803020650267,1.2161690754982861,1.634569580209786,1.540443404567721,1.227773332172539,0.9298454867153934
2017-11-30,1.8046159596270523,0.6666764206432079,1.192085935319203,1.5767937795637494,1.6900179181629094,1.2739500661849392,1.713262443831745,1.5606772727838756,1.2861691542243407,0.9407125476090941
