trade_date,open,close
20090105,1848.326,1882.959
20090106,1880.672,1942.795
20090107,1942.671,1931.178
20090108,1894.664,1887.991
20090109,1886.488,1918.365
20090112,1911.736,1920.687
20090113,1892.655,1876.185
20090114,1873.626,1955.244
20090115,1935.386,1954.874
20090116,1965.44,1990.214
20090119,2010.579,2012.465
20090120,2006.525,2025.19
20090121,1993.67,2021.71
20090122,2034.286,2044.551
20090123,2039.522,2032.682
20090202,2052.439,2057.063
20090203,2056.795,2108.91
20090204,2118.563,2166.414
20090205,2164.546,2150.971
20090206,2158.084,2237.28
20090209,2271.593,2296.672
20090210,2288.071,2326.755
20090211,2287.232,2331.138
20090212,2335.401,2318.343
20090213,2321.56,2399.065
20090216,2421.187,2462.245
20090217,2460.569,2385.293
20090218,2331.662,2275.843
20090219,2295.653,2298.412
20090220,2300.806,2344.32
20090223,2333.809,2410.481
20090224,2376.697,2301.849
20090225,2325.039,2304.251
20090226,2295.426,2190.185
20090227,2164.54,2140.489
20090302,2123.367,2164.666
20090303,2109.841,2142.154
20090304,2150.239,2285.149
20090305,2314.079,2304.919
20090306,2260.756,2286.576
20090309,2302.011,2202.527
20090310,2175.306,2240.782
20090311,2288.053,2220.38
20090312,2208.041,2215.7
20090313,2229.25,2205.422
20090316,2197.248,2241.614
20090317,2244.11,2322.403
20090318,2335.417,2332.652
20090319,2337.524,2382.564
20090320,2389.892,2379.838
20090323,2384.67,2439.395
20090324,2477.567,2451.783
20090325,2435.633,2401.327
20090326,2407.762,2479.789
20090327,2500.998,2498.931
20090330,2501.312,2484.487
20090331,2436.778,2507.789
20090401,2519.886,2548.222
20090402,2558.768,2576.4
20090403,2597.916,2570.503
20090407,2570.625,2576.95
20090408,2563.722,2479.348
20090409,2477.419,2517.669
20090410,2540.108,2595.53
20090413,2621.979,2656.518
20090414,2651.197,2676.872
20090415,2662.728,2686.99
20090416,2690.515,2687.106
20090417,2675.668,2650.691
20090420,2643.726,2707.667
20090421,2670.277,2675.442
20090422,2687.857,2576.281
20090423,2555.527,2593.564
20090424,2605.703,2572.888
20090427,2566.92,2513.292
20090428,2490.526,2518.531
20090429,2518.854,2605.37
20090430,2616.485,2622.926
20090504,2635.129,2714.301
20090505,2733.107,2727.014
20090506,2721.817,2764.979
20090507,2783.577,2767.076
20090508,2751.499,2789.219
20090511,2808.139,2725.316
20090512,2702.742,2788.562
20090513,2792.42,2814.005
20090514,2781.048,2792.597
20090515,2800.571,2796.116
20090518,2782.585,2810.573
20090519,2836.337,2840.084
20090520,2843.545,2812.865
20090521,2795.828,2750.01
20090522,2733.017,2740.677
20090525,2684.213,2752.716
20090526,2757.31,2719.764
20090527,2734.418,2759.712
20090601,2798.927,2858.342
20090602,2878.528,2865.099
20090603,2865.732,2939.387
20090604,2924.267,2953.751
20090605,2966.065,2939.306
20090608,2937.635,2948.478
20090609,2948.949,2960.556
20090610,2972.423,2989.595
20090611,2982.969,2961.629
20090612,2955.569,2906.286
20090615,2911.423,2966.192
20090616,2936.508,2961.22
20090617,2957.576,3010.588
20090618,3014.437,3057.428
20090619,3061.903,3080.001
20090622,3106.387,3082.563
20090623,3036.404,3083.895
20090624,3079.495,3120.73
20090625,3125.662,3117.921
20090626,3126.228,3128.421
20090629,3132.113,3179.972
20090630,3191.641,3166.474
20090701,3153.537,3237.903
20090702,3248.204,3282.359
20090703,3254.93,3327.135
20090706,3333.096,3374.753
20090707,3368.33,3340.493
20090708,3306.428,3352.269
20090709,3348.221,3396.304
20090710,3398.911,3398.31
20090713,3382.574,3361.011
20090714,3375.873,3454.753
20090715,3467.132,3493.305
20090716,3516.778,3501.24
20090717,3499.51,3519.809
20090720,3532.519,3591.123
20090721,3603.402,3539.832
20090722,3532.632,3606.924
20090723,3613.598,3651.969
20090724,3672.206,3667.556
20090727,3680.15,3743.626
20090728,3745.549,3755.818
20090729,3741.784,3558.508
20090730,3587.047,3634.818
20090731,3670.191,3734.622
20090803,3754.218,3787.033
20090804,3803.061,3786.615
20090805,3781.401,3740.936
20090806,3707.907,3663.12
20090807,3655.462,3555.095
20090810,3589.716,3544.539
20090811,3558.645,3556.375
20090812,3546.5,3397.4
20090813,3398.889,3440.82
20090814,3437.951,3344.462
20090817,3283.436,3140.271
20090818,3110.708,3171.986
20090819,3178.281,3014.568
20090820,3021.251,3144.39
20090821,3135.373,3203.624
20090824,3222.397,3229.6
20090825,3210.851,3109.83
20090826,3082.68,3172.386
20090827,3149.566,3156.301
20090828,3152.037,3046.781
20090831,3003.543,2830.271
20090901,2804.584,2843.7
20090902,2824.641,2890.926
20090903,2898.449,3051.964
20090904,3055.347,3077.142
20090907,3097.789,3104.208
20090908,3084.199,3170.967
20090909,3188.311,3194.909
20090910,3179.187,3162.914
20090911,3152.815,3238.133
20090914,3248.348,3293.394
20090915,3298.81,3302.642
20090916,3290.387,3258.236
20090917,3274.582,3320.096
20090918,3325.061,3199.689
20090921,3163.512,3208.604
20090922,3196.009,3131.026
20090923,3130.142,3060.069
20090924,3041.82,3080.926
20090925,3057.106,3058.528
20090928,3066.368,2972.643
20090929,2975.531,2972.286
20090930,2992.98,3004.805
20091009,3078.753,3163.708
20091012,3181.581,3151.632
20091013,3144.022,3198.517
20091014,3209.065,3227.399
20091015,3258.546,3239.643
20091016,3250.102,3241.709
20091019,3238.848,3329.158
20091020,3355.358,3377.574
20091021,3375.027,3369.285
20091022,3364.145,3347.32
20091023,3354.984,3413.252
20091026,3421.696,3414.239
20091027,3384.294,3314.722
20091028,3303.773,3329.327
20091029,3265.186,3247.051
20091030,3305.376,3280.372
20091102,3205.835,3392.803
20091103,3402.528,3435.425
20091104,3443.517,3453.888
20091105,3458.865,3464.318
20091106,3491.075,3483.021
20091109,3487.107,3495.788
20091110,3520.395,3503.776
20091111,3500.586,3495.674
20091112,3506.952,3499.992
20091113,3489.538,3518.722
20091116,3541.053,3625.798
20091117,3644.962,3628.354
20091118,3633.851,3630.229
20091119,3638.073,3642.437
20091120,3630.576,3631.013
20091123,3636.529,3665.509
20091124,3680.746,3548.08
20091125,3541.512,3629.629
20091126,3635.79,3485.773
20091127,3440.343,3382.51
20091130,3415.077,3511.669
20091201,3507.559,3560.831
20091202,3578.869,3597.329
20091203,3596.952,3590.876
20091204,3581.627,3643.491
20091207,3644.625,3668.832
20091208,3670.807,3624.019
20091209,3579.282,3554.478
20091210,3579.826,3577.237
20091211,3589.408,3575.02
20091214,3572.531,3612.753
20091215,3594.51,3583.341
20091216,3568.28,3560.723
20091217,3571.052,3480.153
20091218,3450.045,3391.735
20091221,3386.326,3396.622
20091222,3402.228,3305.543
20091223,3303.729,3336.48
20091224,3346.763,3438.817
20091225,3434.326,3424.783
20091228,3432.82,3478.433
20091229,3481.903,3500.737
20091230,3503.816,3558.857
20091231,3561.367,3575.684
20100104,3592.468,3535.229
20100105,3545.186,3564.038
20100106,3558.7,3541.727
20100107,3543.16,3471.456
20100108,3456.908,3480.13
20100111,3593.106,3482.052
20100112,3477.842,3534.916
20100113,3448.291,3421.144
20100114,3433.472,3469.051
20100115,3472.524,3482.738
20100118,3471.777,3500.684
20100119,3506.806,3507.482
20100120,3512.246,3394.434
20100121,3397.043,3408.574
20100122,3364.452,3366.197
20100125,3340.013,3328.014
20100126,3328.113,3242.797
20100127,3243.038,3198.566
20100128,3195.289,3206.57
20100129,3190.315,3204.155
20100201,3198.23,3152.707
20100202,3170.778,3146.189
20100203,3160.712,3230.715
20100204,3206.431,3218.802
20100205,3147.721,3153.087
20100208,3152.253,3150.988
20100209,3147.761,3169.19
20100210,3195.142,3214.13
20100211,3216.688,3220.398
20100212,3232.879,3251.278
20100222,3248.947,3233.345
20100223,3225.393,3198.634
20100224,3177.082,3244.483
20100225,3252.153,3292.128
20100226,3286.095,3281.666
20100301,3290.007,3324.423
20100302,3327.103,3311.236
20100303,3313.023,3335.081
20100304,3338.674,3250.573
20100305,3253.164,3259.764
20100308,3268.397,3286.178
20100309,3285.62,3305.863
20100310,3304.036,3279.694
20100311,3282.199,3276.705
20100312,3277.309,3233.126
20100315,3231.216,3183.183
20100316,3183.775,3203.971
20100317,3214.216,3273.916
20100318,3277.883,3267.555
20100319,3270.978,3293.871
20100322,3297.824,3302.628
20100323,3305.554,3275.573
20100324,3282.052,3276.669
20100325,3270.39,3229.128
20100326,3226.8,3275.002
20100329,3295.763,3358.54
20100330,3361.353,3366.708
20100331,3369.193,3345.607
20100401,3349.884,3391.935
20100402,3400.139,3407.346
20100406,3422.849,3405.145
20100407,3403.088,3386.949
20100408,3381.306,3346.744
20100409,3348.773,3379.17
20100412,3388.355,3351.478
20100413,3350.726,3391.716
20100414,3394.635,3403.707
20100415,3407.025,3394.574
20100416,3388.286,3356.332
20100419,3313.499,3176.423
20100420,3176.414,3173.374
20100421,3178.877,3236.679
20100422,3222.68,3201.541
20100423,3198.784,3190.003
20100426,3195.457,3171.997
20100427,3163.101,3108.409
20100428,3080.324,3097.353
20100429,3114.941,3060.064
20100430,3060.12,3067.365
20100504,3005.487,3019.449
20100505,2981.777,3036.394
20100506,3014.907,2896.856
20100507,2835.879,2836.789
20100510,2842.366,2858.233
20100511,2916.335,2800.817
20100512,2781.708,2818.16
20100513,2818.578,2886.911
20100514,2865.58,2868.023
20100517,2828.882,2714.715
20100518,2711.407,2771.348
20100519,2748.952,2762.174
20100520,2739.219,2726.022
20100521,2656.419,2768.791
20100524,2787.751,2873.469
20100525,2851.256,2813.943
20100526,2814.444,2813.944
20100527,2808.048,2859.979
20100528,2885.857,2850.302
20100531,2835.334,2773.264
20100601,2755.284,2744.162
20100602,2729.328,2757.527
20100603,2769.096,2736.076
20100604,2721.359,2744.391
20100607,2692.831,2695.715
20100608,2694.106,2699.336
20100609,2711.642,2782.133
20100610,2755.94,2750.023
20100611,2766.196,2758.866
20100617,2778.533,2742.733
20100618,2739.032,2696.166
20100621,2698.984,2780.663
20100622,2772.886,2783.72
20100623,2768.695,2758.495
20100624,2753.712,2757.498
20100625,2744.122,2736.287
20100628,2734.507,2716.777
20100629,2717.465,2592.019
20100630,2572.912,2563.07
20100701,2557.92,2526.071
20100702,2523.035,2534.105
20100705,2507.354,2512.651
20100706,2504.869,2562.902
20100707,2561.106,2580.477
20100708,2591.509,2575.921
20100709,2578.555,2647.104
20100712,2647.421,2676.218
20100713,2649.658,2634.593
20100714,2640.925,2653.609
20100715,2650.334,2608.519
20100716,2597.0,2616.128
20100719,2592.087,2682.472
20100720,2685.459,2741.503
20100721,2744.696,2747.335
20100722,2738.027,2781.286
20100723,2787.521,2793.076
20100726,2798.762,2811.055
20100727,2803.755,2795.724
20100728,2796.483,2863.724
20100729,2866.772,2877.976
20100730,2871.481,2868.846
20100802,2868.279,2917.275
20100803,2925.254,2865.971
20100804,2858.354,2876.434
20100805,2874.66,2850.829
20100806,2848.155,2897.659
20100809,2894.103,2918.241
20100810,2920.404,2832.638
20100811,2823.15,2850.211
20100812,2822.791,2816.386
20100813,2818.41,2855.547
20100816,2851.219,2922.083
20100817,2927.258,2942.291
20100818,2945.979,2937.362
20100819,2940.767,2955.395
20100820,2943.334,2898.333
20100823,2895.707,2896.192
20100824,2892.129,2911.827
20100825,2893.986,2843.023
20100826,2853.105,2850.093
20100827,2847.448,2858.566
20100830,2874.247,2915.01
20100831,2905.154,2903.188
20100901,2907.663,2884.042
20100902,2917.735,2921.393
20100903,2926.939,2920.205
20100906,2935.89,2975.09
20100907,2979.298,2983.108
20100908,2970.002,2980.967
20100909,2986.867,2926.46
20100910,2928.001,2932.554
20100913,2933.594,2962.319
20100914,2971.547,2965.009
20100915,2965.539,2913.194
20100916,2908.322,2857.789
20100917,2864.717,2861.369
20100920,2865.04,2849.828
20100921,2859.43,2857.476
20100927,2869.928,2905.029
20100928,2900.536,2880.907
20100929,2877.269,2874.812
20100930,2859.06,2935.574
20101008,2965.652,3044.233
20101011,3069.188,3132.895
20101012,3121.636,3172.726
20101013,3176.886,3217.577
20101014,3245.133,3224.14
20101015,3204.723,3327.683
20101018,3345.804,3306.16
20101019,3300.517,3375.674
20101020,3304.221,3396.879
20101021,3404.721,3374.685
20101022,3365.597,3378.655
20101025,3386.85,3481.081
20101026,3491.474,3466.084
20101027,3451.427,3403.872
20101028,3390.426,3397.692
20101029,3400.262,3379.983
20101101,3390.413,3472.995
20101102,3484.232,3463.131
20101103,3462.74,3420.341
20101104,3426.46,3480.505
20101105,3538.988,3520.798
20101108,3534.191,3548.566
20101109,3547.44,3523.954
20101110,3507.195,3499.111
20101111,3490.738,3509.975
20101112,3484.606,3291.833
20101115,3298.737,3314.893
20101116,3311.616,3169.538
20101117,3124.109,3103.906
20101118,3134.937,3147.962
20101119,3168.165,3178.846
20101122,3148.215,3171.941
20101123,3156.478,3107.176
20101124,3088.992,3177.043
20101125,3197.965,3223.484
20101126,3214.132,3194.853
20101129,3183.54,3190.05
20101130,3187.529,3136.985
20101201,3127.262,3136.024
20101202,3185.76,3155.059
20101203,3161.93,3158.156
20101206,3168.875,3165.57
20101207,3152.733,3200.339
20101208,3194.895,3171.882
20101209,3155.996,3123.366
20101210,3107.379,3161.977
20101213,3176.335,3261.061
20101214,3270.201,3269.474
20101215,3270.781,3247.644
20101216,3246.013,3230.665
20101217,3229.297,3225.661
20101220,3239.022,3178.657
20101221,3184.7,3249.509
20101222,3253.821,3215.453
20101223,3210.67,3188.607
20101224,3170.642,3162.955
20101227,3176.107,3099.709
20101228,3084.823,3044.931
20101229,3049.928,3061.83
20101230,3063.05,3064.098
20101231,3069.053,3128.261
20110104,3155.557,3189.682
20110105,3170.181,3175.662
20110106,3177.835,3159.643
20110107,3156.362,3166.624
20110110,3162.085,3108.187
20110111,3096.249,3124.922
20110112,3135.18,3142.337
20110113,3153.985,3141.284
20110114,3129.667,3091.862
20110117,3067.433,2974.35
20110118,2965.424,2977.648
20110119,2978.457,3044.851
20110120,3037.862,2944.713
20110121,2935.233,2983.456
20110124,2986.092,2954.232
20110125,2949.647,2938.654
20110126,2939.773,2978.431
20110127,2953.589,3026.466
20110128,3020.122,3036.735
20110131,3035.418,3076.508
20110201,3083.493,3077.283
20110209,3055.398,3040.949
20110210,3034.079,3104.163
20110211,3100.274,3120.956
20110214,3123.246,3219.143
20110215,3223.222,3217.671
20110216,3211.135,3248.527
20110217,3255.626,3245.907
20110218,3240.051,3211.876
20110221,3192.146,3257.908
20110222,3267.615,3163.578
20110223,3152.441,3174.742
20110224,3170.236,3190.935
20110225,3190.872,3197.617
20110228,3200.677,3239.559
20110301,3241.714,3254.893
20110302,3237.116,3243.298
20110303,3248.156,3221.718
20110304,3223.507,3270.666
20110307,3287.405,3334.51
20110308,3335.71,3337.457
20110309,3344.1,3338.858
20110310,3330.444,3280.259
20110311,3263.081,3247.376
20110314,3238.905,3262.92
20110315,3250.595,3203.961
20110316,3204.919,3248.195
20110317,3216.288,3197.1
20110318,3228.915,3215.685
20110321,3220.677,3207.11
20110322,3217.8,3222.961
20110323,3222.325,3264.926
20110324,3269.575,3251.361
20110325,3256.179,3294.484
20110328,3307.405,3290.571
20110329,3288.564,3257.979
20110330,3256.722,3256.08
20110331,3257.164,3223.288
20110401,3227.564,3272.729
20110406,3269.19,3311.067
20110407,3313.467,3324.419
20110408,3321.54,3353.358
20110411,3363.37,3333.427
20110412,3324.754,3326.771
20110413,3311.324,3372.031
20110414,3374.324,3353.56
20110415,3345.134,3358.944
20110418,3346.149,3359.438
20110419,3334.912,3295.812
20110420,3300.418,3295.758
20110421,3312.271,3317.367
20110422,3317.083,3299.942
20110425,3292.48,3249.574
20110426,3242.529,3230.96
20110427,3242.619,3209.503
20110428,3224.413,3161.776
20110429,3161.158,3192.723
20110503,3192.845,3211.132
20110504,3192.844,3129.028
20110505,3115.003,3126.117
20110506,3093.809,3121.396
20110509,3126.26,3129.759
20110510,3135.146,3153.221
20110511,3153.648,3145.085
20110512,3123.158,3101.603
