ts_code,circ_mv,list_date,delist_date
600519.SH,241692456.7200,2001-08-27,
601398.SH,118090149.0921,2006-10-27,
300750.SZ,95413333.0941,2018-06-11,
601857.SH,86466389.5548,2007-11-05,
601288.SH,85296093.3967,2010-07-15,
600036.SH,72304450.2236,2002-04-09,
000858.SZ,64893882.9676,1998-04-27,
601988.SH,64072716.5132,2006-07-05,
601628.SH,63928237.1000,2007-01-09,
600900.SH,54534978.4335,2003-11-18,
601088.SH,50033809.1555,2007-10-09,
601318.SH,47490401.1592,2007-03-01,
600028.SH,40803168.2366,2001-08-08,
601012.SH,38799185.8995,2012-04-11,
601888.SH,38170896.8852,2009-10-15,
603288.SH,37330164.9881,2014-02-11,
000333.SZ,36465923.0234,2013-09-18,
300760.SZ,36191346.5072,2018-10-16,
600809.SH,35678991.5446,1994-01-06,
601166.SH,35544726.2877,2007-02-05,
000568.SZ,34298696.6781,1994-05-09,
002594.SZ,33542891.0660,2011-06-30,
600309.SH,27808735.8665,2001-01-05,
002415.SZ,27407732.6165,2010-05-28,
002475.SZ,26544139.0016,2010-09-15,
000001.SZ,24742072.3613,1991-04-03,
002304.SZ,24713568.8902,2009-11-06,
300059.SZ,24616849.7954,2010-03-19,
002352.SZ,23945323.1863,2010-02-05,
600438.SH,23804186.7970,2004-03-02,
603259.SH,22936752.0336,2018-05-08,
600887.SH,22438428.2303,1996-03-12,
600030.SH,22187765.8894,2003-01-06,
600276.SH,22109621.8817,2000-10-18,
600000.SH,21339029.9811,1999-11-10,
601225.SH,21329000.0000,2014-01-28,
002714.SZ,21109686.9947,2014-01-28,
601668.SH,20989378.5578,2009-07-29,
600048.SH,20708867.1131,2006-07-31,
601633.SH,20513940.7382,2011-09-28,
002142.SZ,19457851.4597,2007-07-19,
601138.SH,18388524.7845,2018-06-08,
600406.SH,18192825.7169,2003-10-16,
600436.SH,18159244.7038,2003-06-16,
601919.SH,18086172.1547,2007-06-26,
600104.SH,18074314.7317,1997-11-25,
601899.SH,18035319.8432,2008-04-25,
601328.SH,17976895.7189,2007-05-15,
000651.SZ,17840854.1395,1996-11-18,
300014.SZ,17475706.8263,2009-10-30,
300015.SZ,17029224.4334,2009-10-30,
002466.SZ,16845677.6154,2010-08-31,
600690.SH,16320225.7159,1993-11-19,
601319.SH,16221560.6759,2018-11-16,
000002.SZ,16159970.9106,1991-01-29,
002129.SZ,15539914.6250,2007-04-20,
601998.SH,15255600.9446,2007-04-27,
000792.SZ,15092303.3914,1997-09-04,
601601.SH,14354051.9311,2007-12-25,
600188.SH,14337425.4720,1998-07-01,
002812.SZ,14322675.1553,2016-09-14,
002371.SZ,13873152.0372,2010-03-16,
300124.SZ,13726702.1515,2010-09-28,
600346.SH,13515071.5891,2001-08-20,
000725.SZ,13493619.7635,2001-01-12,
002493.SZ,13449566.2500,2010-11-02,
600031.SH,13376925.4831,2003-07-03,
002049.SZ,13254730.9134,2005-06-06,
600025.SH,13086000.0000,2017-12-15,
600585.SH,12767050.6322,2002-02-07,
600016.SH,12766364.3567,2000-12-19,
300498.SZ,12656419.6435,2015-11-02,
601816.SH,12653185.8503,2020-01-16,
300274.SZ,12568510.2505,2011-11-02,
600018.SH,12536957.9857,2006-10-26,
601766.SH,12188226.8220,2008-08-18,
601985.SH,12007705.9192,2015-06-10,
601818.SH,11868366.5489,2010-08-18,
603799.SH,11804165.7438,2015-01-29,
601390.SH,11709035.0877,2007-12-03,
600019.SH,11667855.4665,2000-12-12,
600760.SH,11511449.7046,1996-10-11,
001979.SZ,11313026.3719,2015-12-30,
003816.SZ,11053131.0941,2019-08-26,
000625.SZ,11041618.0157,1997-06-10,
603501.SH,11038723.0262,2017-05-04,
600050.SH,10991656.2376,2002-10-09,
601211.SH,10985453.8594,2015-06-26,
600111.SH,10950060.9240,1997-09-24,
600893.SH,10707639.8933,1996-04-08,
600919.SH,10648834.6108,2016-08-02,
603260.SH,10524360.0000,2017-10-30,
000596.SZ,10425429.0000,1996-09-27,
002460.SZ,10345575.0644,2010-08-10,
601111.SH,10270957.9075,2006-08-18,
601066.SH,10153468.4160,2018-06-20,
002311.SZ,10115914.0404,2009-11-27,
601238.SH,10103161.3066,2012-03-29,
600999.SH,9834156.9854,2009-11-17,
002241.SZ,9758854.4844,2008-05-22,
000776.SZ,9731315.1668,1997-06-11,
601688.SH,9608120.8445,2010-02-26,
600703.SH,9600612.2805,1996-05-28,
601006.SH,9589167.7950,2006-08-01,
000063.SZ,9541663.6406,1997-11-18,
688599.SH,9454701.8641,2020-06-10,
002179.SZ,9452502.2110,2007-11-01,
601800.SH,9444777.2817,2012-03-09,
000166.SZ,9419842.0581,2015-01-26,
600089.SH,9393585.7701,1997-06-18,
601009.SH,9325340.9641,2007-07-19,
000301.SZ,9312199.5515,2000-05-29,
300316.SZ,9164362.9556,2012-05-11,
601898.SH,9133696.3992,2008-02-01,
002050.SZ,9044732.0014,2005-06-07,
600011.SH,8996126.7137,2001-12-06,
603659.SH,8785956.0737,2017-11-03,
002027.SZ,8751973.0340,2004-08-04,
601169.SH,8732052.5043,2007-09-19,
601689.SH,8712780.1982,2015-03-19,
300122.SZ,8703643.5214,2010-09-28,
603993.SH,8691560.1108,2012-10-09,
603806.SH,8639065.5625,2014-09-05,
601186.SH,8546911.4065,2008-03-10,
601669.SH,8485362.0653,2011-10-18,
002920.SZ,8412705.0000,2017-12-26,
600837.SH,8411965.3586,1994-02-24,2025-03-04
601989.SH,8369761.4439,2009-12-16,2025-09-05
600256.SH,8305680.2508,2000-05-26,
002736.SZ,8165084.7457,2014-12-29,
601229.SH,8162711.1700,2016-11-16,
600196.SH,8116226.6696,1998-08-07,
300450.SZ,8008080.4523,2015-05-18,
603833.SH,7949432.9214,2017-03-28,
002230.SZ,7889646.2994,2008-05-12,
600660.SH,7823664.6128,1993-06-10,
688981.SH,7794559.7230,2020-07-16,
600886.SH,7766948.7819,1996-01-18,
600795.SH,7758494.3007,1997-03-18,
000768.SZ,7735580.7076,1997-06-26,
603986.SH,7687581.7412,2016-08-18,
600522.SH,7597225.9254,2002-10-24,
688012.SH,7590899.5046,2019-07-22,
600600.SH,7562948.8860,1993-08-27,
000963.SZ,7378457.0172,2000-01-27,
601728.SH,7346409.5183,2021-08-20,
600926.SH,7251656.1868,2016-10-27,
000876.SZ,7071221.1530,1998-03-11,
002459.SZ,7035988.7189,2010-08-10,
002001.SZ,6863535.9970,2004-06-25,
600588.SH,6838427.8696,2001-05-18,
601877.SH,6800366.3418,2010-01-21,
300142.SZ,6786363.7387,2010-11-12,
601865.SH,6779373.7358,2019-02-15,
300763.SZ,6756727.5144,2019-03-19,
600233.SH,6741720.3237,2000-06-08,
000661.SZ,6740824.2667,1996-12-18,
002938.SZ,6641851.7834,2018-09-18,
002709.SZ,6594366.5789,2014-01-23,
600015.SH,6590860.9396,2003-09-12,
600029.SH,6581605.7275,2003-07-25,
600547.SH,6469853.5911,2003-08-28,
600958.SH,6468572.1602,2015-03-23,
600085.SH,6411623.4749,1997-06-25,
300759.SZ,6409705.1648,2019-01-28,
600570.SH,6391621.6709,2003-12-16,
601100.SH,6388431.8400,2011-10-28,
601881.SH,6381811.3828,2017-01-23,
601127.SH,6381603.9167,2016-06-15,
600010.SH,6367119.5290,2001-03-09,
688008.SH,6291795.4121,2019-07-22,
601788.SH,6266344.9378,2009-08-18,
600009.SH,6169393.8319,1998-02-18,
600426.SH,6152453.5484,2002-06-20,
000617.SZ,6144050.4324,1996-10-22,
300347.SZ,6130002.8390,2012-08-17,
600150.SH,6118042.6411,1998-05-20,
600745.SH,6062527.3952,1996-08-28,
601336.SH,6008150.7385,2011-12-16,
002271.SZ,6007239.7944,2008-09-10,
601600.SH,5898496.8493,2007-04-30,
600741.SH,5886135.6781,1996-08-26,
000338.SZ,5871655.7043,2007-04-30,
600674.SH,5813489.0178,1993-09-24,
000733.SZ,5810652.3843,1997-07-03,
603369.SH,5795790.0000,2014-07-03,
600176.SH,5768520.0250,1999-04-22,
601872.SH,5737400.3746,2006-12-01,
601618.SH,5730690.7536,2009-09-21,
601901.SH,5721310.4695,2011-08-10,
601615.SH,5654069.7177,2019-01-23,
601838.SH,5651417.6734,2018-01-31,
002821.SZ,5611457.8663,2016-11-18,
000100.SZ,5568091.0764,2004-01-30,
600702.SH,5549114.7649,1996-05-24,
300751.SZ,5532997.6728,2018-11-09,
600115.SH,5500541.1302,1997-11-05,
600845.SH,5445846.6291,1994-03-11,
600132.SH,5405958.2817,1997-10-30,
300433.SZ,5397105.3944,2015-03-18,
300661.SZ,5396361.6067,2017-06-06,
601727.SH,5365858.6870,2008-12-05,
601939.SH,5295698.9985,2007-09-25,
600460.SH,5289540.8373,2003-03-11,
600754.SH,5275862.3316,1996-10-11,
002648.SZ,5267587.5746,2011-12-28,
600383.SH,5264004.4450,2001-04-12,
000983.SZ,5255886.4800,2000-07-26,
601360.SH,5230405.8602,2012-01-16,
600905.SH,5228310.0000,2021-06-10,
002180.SZ,5200157.5271,2007-11-13,
603185.SH,5175800.3463,2018-12-28,
601018.SH,5150583.4933,2010-09-28,
601658.SH,5084782.0995,2019-12-10,
600039.SH,5027513.9556,2003-03-25,
300408.SZ,5014608.8778,2014-12-03,
600221.SH,4996646.8517,1999-11-25,
601117.SH,4962128.3531,2010-01-07,
300896.SZ,4951423.7227,2020-09-28,
000938.SZ,4947938.1820,1999-11-04,
000408.SZ,4946710.1335,1996-06-28,
603613.SH,4940677.7924,2019-07-30,
603606.SH,4928856.0425,2014-10-15,
000629.SZ,4921744.1475,1996-11-15,
002410.SZ,4881957.3302,2010-05-25,
600236.SH,4863427.1038,2000-03-23,
000799.SZ,4849889.9555,1997-07-18,
600023.SH,4787442.8758,2013-12-19,
603688.SH,4749349.0984,2014-10-31,
601699.SH,4747366.4004,2006-09-22,
002120.SZ,4740610.5092,2007-03-06,
688122.SH,4730021.5813,2019-07-22,
601155.SH,4706434.7840,2015-12-04,
603486.SH,4600460.6549,2018-05-28,
300769.SZ,4544314.2458,2019-04-15,
600096.SH,4543579.0101,1997-07-09,
601698.SH,4532000.0000,2019-06-28,
000723.SZ,4514679.0632,1997-05-15,
601021.SH,4507163.6225,2015-01-21,
603605.SH,4502668.2400,2017-11-15,
600348.SH,4497350.0000,2003-08-21,
600027.SH,4447575.7069,2005-02-03,
000538.SZ,4444866.1559,1993-12-15,
600584.SH,4411511.8870,2003-06-03,
600606.SH,4370861.8957,1992-03-27,
002202.SZ,4353982.4710,2007-12-26,
601808.SH,4331164.6840,2007-09-28,
920185.BJ,4315128.0035,2020-07-27,
002916.SZ,4314766.9337,2017-12-13,
603568.SH,4313467.3928,2015-05-28,
002013.SZ,4312099.9991,2004-07-05,2023-03-17
600884.SH,4301614.0212,1996-01-30,
000786.SZ,4291712.7194,1997-06-06,
603198.SH,4284000.0000,2015-05-28,
300207.SZ,4280607.2700,2011-04-21,
300782.SZ,4276580.6292,2019-06-18,
600141.SH,4255259.3425,1999-06-16,
002074.SZ,4254967.9440,2006-10-18,
000519.SZ,4253817.2792,1993-10-08,
601878.SH,4238838.4929,2017-06-26,
600160.SH,4238601.3472,1998-06-26,
002340.SZ,4237447.7662,2010-01-22,
600061.SH,4221424.8719,1997-05-19,
601377.SH,4158633.1096,2010-10-13,
603899.SH,4099950.5280,2015-01-27,
300496.SZ,4097332.3505,2015-12-10,
000157.SZ,4078655.4692,2000-10-12,
600219.SH,4051213.2353,1999-12-23,
600026.SH,4051010.6492,2002-05-23,
300957.SZ,4047870.8988,2021-03-25,
002738.SZ,4008968.3331,2014-12-30,
601799.SH,4007510.8897,2011-02-01,
600298.SH,4001737.0592,2000-08-18,
600563.SH,3999150.0000,2002-12-10,
000895.SZ,3991537.7177,1998-12-10,
601236.SH,3990402.4297,2019-07-05,
601991.SH,3979144.6030,2006-12-20,
603816.SH,3977954.9520,2016-10-14,
600487.SH,3975600.9195,2003-08-22,
600875.SH,3951785.7220,1995-10-10,
600765.SH,3932271.5337,1996-11-06,
002945.SZ,3931200.0000,2019-01-17,
688111.SH,3930606.1803,2019-11-18,
600885.SH,3928791.7246,1996-02-05,
002080.SZ,3889890.4677,2006-11-20,
601995.SH,3876520.7418,2020-11-02,
300699.SZ,3870878.5024,2017-09-01,
000999.SZ,3863683.0713,2000-03-09,
600157.SH,3843673.1971,1998-05-13,
603939.SH,3837375.9582,2015-02-17,
600332.SH,3824023.3813,2001-02-06,
300073.SZ,3822905.3022,2010-04-27,
603019.SH,3813966.4726,2014-11-06,
002600.SZ,3788849.1977,2011-07-15,
002176.SZ,3784382.1954,2007-10-12,
000069.SZ,3775175.9228,1997-09-10,
000009.SZ,3765911.1582,1991-06-25,
603345.SH,3759835.1683,2017-02-22,
002414.SZ,3737625.4044,2010-07-16,
600763.SH,3731928.9600,1996-10-30,
002240.SZ,3713090.9746,2008-05-23,
002756.SZ,3704475.3350,2015-05-15,
002032.SZ,3699171.8240,2004-08-17,
600183.SH,3693033.3019,1998-10-28,
300628.SZ,3671345.5384,2017-03-17,
600161.SH,3671319.6507,1998-06-16,
601216.SH,3670537.5647,2011-02-22,
600985.SH,3669452.1331,2004-04-28,
601231.SH,3617598.0016,2012-02-20,
002384.SZ,3595252.0292,2010-04-09,
000933.SZ,3588188.1769,1999-08-31,
600372.SH,3580693.8901,2001-07-06,
600779.SH,3564061.4826,1996-12-06,
603290.SH,3557236.3835,2020-02-04,
600549.SH,3555890.8398,2002-11-07,
688099.SH,3542209.9200,2019-08-08,
600486.SH,3526959.4606,2002-04-25,
601108.SH,3524591.9747,2017-10-24,
603596.SH,3518580.7152,2018-04-27,
688063.SH,3511414.5924,2020-12-30,
603737.SH,3508397.3695,2016-06-03,
603127.SH,3494511.2574,2017-08-25,
300724.SZ,3477989.2436,2018-08-10,
601555.SH,3435146.8186,2011-12-12,
002430.SZ,3415496.4322,2010-06-10,
600546.SH,3411807.0169,2003-07-31,
603456.SH,3409996.9407,2014-10-10,
600378.SH,3403584.9676,2001-01-11,
002056.SZ,3400138.0660,2006-08-02,
600362.SH,3399255.2494,2002-01-11,
000977.SZ,3392967.6716,2000-06-08,
300012.SZ,3350454.8572,2009-10-30,
600515.SH,3349244.5654,2002-08-06,
300223.SZ,3344947.0004,2011-05-31,
300390.SZ,3334828.1777,2014-07-31,
600399.SH,3332849.0000,2000-12-29,
000738.SZ,3330188.1279,1997-06-26,
603077.SH,3329381.3360,2012-07-31,
600153.SH,3328525.4222,1998-06-16,
601607.SH,3325766.2007,1994-03-24,
002025.SZ,3324965.8727,2004-07-26,
000703.SZ,3300633.8351,1997-03-28,
601233.SH,3264306.7898,2011-05-18,
000987.SZ,3245743.1231,2000-07-18,
600862.SH,3244411.3702,1994-05-20,
600482.SH,3229699.8068,2004-07-14,
603868.SH,3223440.0000,2016-04-18,
600489.SH,3210918.6506,2003-08-14,
002555.SZ,3202641.4769,2011-03-02,
000883.SZ,3200730.7619,1998-05-19,
600004.SH,3197436.4003,2003-04-28,
600873.SH,3185461.3230,1995-02-17,
002078.SZ,3164954.3795,2006-11-16,
603233.SH,3158680.2099,2017-07-31,
000783.SZ,3146545.8056,1997-07-31,
000807.SZ,3145675.2735,1998-04-08,
601880.SH,3144334.4194,2010-12-06,
000728.SZ,3141223.6981,1997-06-16,
600655.SH,3115452.2588,1992-09-02,
002192.SZ,3109183.6158,2007-12-05,
002007.SZ,3105956.6778,2004-06-25,
600352.SH,3103678.5944,2003-08-01,
601966.SH,3097188.4148,2016-07-06,
601933.SH,3094587.6146,2010-12-15,
603882.SH,3084604.7359,2017-09-08,
601990.SH,3084180.8431,2018-06-13,
600941.SH,3077792.6585,2022-01-05,
002185.SZ,3075503.2800,2007-11-20,
600733.SH,3059375.1294,1996-08-16,
000630.SZ,3052650.3378,1996-11-20,
600673.SH,3052018.2384,1993-09-17,
601636.SH,3040397.8704,2011-08-12,
600392.SH,3035895.6192,2003-05-29,
603589.SH,3033000.0000,2015-06-29,
002372.SZ,3030633.9441,2010-03-18,
000027.SZ,3030457.3765,1993-09-03,
300373.SZ,3007225.0522,2014-01-23,
601666.SH,3005459.5811,2006-11-23,
002841.SZ,3004204.7183,2017-01-19,
600705.SH,3003820.5854,1996-05-16,2025-05-27
600803.SH,3000974.8680,1994-01-03,
600988.SH,2990420.5780,2004-04-14,
605117.SH,2989144.8510,2021-04-20,
601058.SH,2983453.0061,2011-06-30,
600848.SH,2981467.6514,1994-03-24,
600499.SH,2979714.3776,2002-10-10,
002405.SZ,2959336.7866,2010-05-18,
002497.SZ,2948442.6583,2010-11-09,
002603.SZ,2943243.2410,2011-07-28,
300438.SZ,2940639.5888,2015-04-24,
600418.SH,2936527.0935,2001-08-24,
600989.SH,2930971.4000,2019-05-16,
600177.SH,2922109.4227,1998-11-19,
002008.SZ,2920223.3676,2004-06-25,
600663.SH,2918794.1328,1993-06-28,
600642.SH,2915471.5583,1993-04-16,
300003.SZ,2911656.9197,2009-10-30,
300601.SZ,2909795.0043,2017-02-07,
688005.SH,2904861.2808,2019-07-22,
002252.SZ,2903811.3442,2008-06-23,
300144.SZ,2903074.6330,2010-12-09,
688188.SH,2900502.1038,2019-08-08,
603707.SH,2896643.5164,2017-07-19,
600521.SH,2896133.8976,2003-03-04,
600377.SH,2889659.0808,2001-01-16,
002236.SZ,2887946.3554,2008-05-20,
002939.SZ,2883063.5711,2018-10-26,
600299.SH,2858906.7570,2000-04-20,
000066.SZ,2857288.2946,1997-06-26,
002294.SZ,2849781.9515,2009-09-10,
601298.SH,2841623.5250,2019-01-21,
603517.SH,2840479.4536,2017-03-17,
300413.SZ,2840325.8832,2015-01-21,
002601.SZ,2834134.9913,2011-07-15,
603885.SH,2821311.1589,2015-05-27,
002385.SZ,2820743.5489,2010-04-09,
600518.SH,2817876.1177,2001-03-19,
002268.SZ,2814281.1705,2008-08-11,
000975.SZ,2805784.8564,2000-06-08,
002602.SZ,2794950.2070,2011-07-28,
603392.SH,2791459.1227,2020-04-29,
000825.SZ,2791114.5564,1998-10-21,
603236.SH,2790320.3521,2019-07-16,
000683.SZ,2788582.1581,1997-01-31,
601001.SH,2778342.0000,2006-06-23,
002407.SZ,2777866.6629,2010-05-18,
688126.SH,2773295.6000,2020-04-20,
000537.SZ,2771430.8314,1993-12-10,
600143.SH,2766644.0187,2004-06-23,
300363.SZ,2757610.3925,2014-01-29,
600497.SH,2754388.7383,2004-04-20,
603267.SH,2749225.1248,2019-05-15,
300682.SZ,2747640.8305,2017-08-01,
002299.SZ,2744679.8471,2009-10-21,
603876.SH,2739989.4663,2018-04-18,
001872.SZ,2726964.0523,1993-05-05,
603826.SH,2713932.0000,2017-04-14,
603658.SH,2707405.2782,2016-09-01,
002625.SZ,2705720.2682,2011-11-03,
002624.SZ,2704494.1202,2011-10-28,
600872.SH,2701693.2680,1995-01-24,
688036.SH,2699854.1551,2019-09-30,
603305.SH,2691189.5763,2017-07-10,
601198.SH,2686162.2271,2015-02-26,
300395.SZ,2677006.0608,2014-09-10,
605358.SH,2676163.9174,2020-09-11,
600968.SH,2673422.4043,2019-06-26,
002507.SZ,2670756.4072,2010-11-23,
300595.SZ,2666746.3307,2017-01-17,
002673.SZ,2662758.1060,2012-05-03,
600415.SH,2661731.7321,2002-05-09,
600516.SH,2652761.3465,2002-08-30,
000155.SZ,2639255.1853,2000-09-26,
601868.SH,2637593.4035,2021-09-28,
601162.SH,2634390.2691,2018-10-19,
300604.SZ,2615591.9943,2017-04-17,
300748.SZ,2615154.0414,2018-09-21,
600109.SH,2613046.4438,1997-08-07,
300454.SZ,2611350.5868,2018-05-16,
002608.SZ,2610653.0755,2011-08-10,
600598.SH,2609634.1064,2002-03-29,
603160.SH,2607354.9517,2016-10-17,
600481.SH,2597100.2696,2003-04-22,
601825.SH,2592809.2926,2021-08-19,
600871.SH,2591751.3032,1995-04-11,
600079.SH,2585804.7172,1997-06-06,
000831.SZ,2582680.6870,1998-09-11,
600338.SH,2580815.3043,2000-12-27,
300251.SZ,2578181.6025,2011-08-03,
000762.SZ,2572755.0529,1997-07-08,
601958.SH,2571603.7068,2008-04-17,
600021.SH,2570055.2415,2003-10-29,
000709.SZ,2569288.0094,1997-04-16,
000893.SZ,2559466.3909,1998-12-24,
002223.SZ,2558342.0190,2008-04-18,
000932.SZ,2550188.8350,1999-08-03,
002797.SZ,2545558.4000,2016-05-11,
601168.SH,2537895.0000,2007-07-12,
601158.SH,2534400.0000,2010-03-29,
600859.SH,2525914.6051,1994-05-06,
000425.SZ,2521217.6003,1996-08-28,
600350.SH,2514977.6776,2002-03-18,
688006.SH,2512582.4640,2019-07-22,
002487.SZ,2508888.4603,2010-10-15,
002444.SZ,2505539.9877,2010-07-13,
300285.SZ,2498898.9096,2012-01-13,
688567.SH,2497540.2505,2020-07-17,
000708.SZ,2489351.7066,1997-03-26,
002244.SZ,2489224.2707,2008-05-29,
600038.SH,2485233.8347,2000-12-18,
300676.SZ,2481162.2820,2017-07-14,
300999.SZ,2478811.9391,2020-10-15,
688390.SH,2472961.7952,2020-09-04,
600118.SH,2472584.7813,1997-09-08,
002156.SZ,2469041.9241,2007-08-16,
002128.SZ,2467306.2153,2007-04-18,
