ts_code,circ_mv,list_date,delist_date
600519.SH,257520549.0000,2001-08-27,
601398.SH,124830454.4056,2006-10-27,
300750.SZ,119873002.7880,2018-06-11,
600036.SH,100483588.3137,2002-04-09,
601288.SH,87989654.2408,2010-07-15,
000858.SZ,86425661.2695,1998-04-27,
601857.SH,79503740.2086,2007-11-05,
601988.SH,64283482.0280,2006-07-05,
601628.SH,62658001.7700,2007-01-09,
601318.SH,54607461.7344,2007-03-01,
600900.SH,51624020.4521,2003-11-18,
000333.SZ,50402780.0097,2013-09-18,
601012.SH,46658619.2015,2012-04-11,
300760.SZ,46293523.4093,2018-10-16,
603288.SH,44278388.1229,2014-02-11,
601888.SH,42839265.9109,2009-10-15,
002415.SZ,42603753.8979,2010-05-28,
600028.SH,40420937.1525,2001-08-08,
600809.SH,38378371.9406,1994-01-06,
601166.SH,37347437.0491,2007-02-05,
000568.SZ,37172674.9698,1994-05-09,
601088.SH,37137817.4747,2007-10-09,
002475.SZ,34658603.3687,2010-09-15,
600276.SH,32347920.5315,2000-10-18,
000001.SZ,31980683.3748,1991-04-03,
300059.SZ,31668046.4148,2010-03-19,
002352.SZ,31038242.3274,2010-02-05,
002594.SZ,30969421.3968,2011-06-30,
603259.SH,30199325.1078,2018-05-08,
601633.SH,29510399.9518,2011-09-28,
600436.SH,26374011.8352,2003-06-16,
600030.SH,25920521.5497,2003-01-06,
600000.SH,25037397.2414,1999-11-10,
002142.SZ,24973228.7046,2007-07-19,
600887.SH,24711346.9459,1996-03-12,
603501.SH,24524710.8070,2017-05-04,
600104.SH,24102980.7960,1997-11-25,
601138.SH,23532942.2304,2018-06-08,
600406.SH,22063844.8100,2003-10-16,
000651.SZ,21732970.9323,1996-11-18,
300014.SZ,21725685.6654,2009-10-30,
601919.SH,21178068.9522,2007-06-26,
002304.SZ,20573813.7084,2009-11-06,
601668.SH,20322291.4220,2009-07-29,
600438.SH,20238960.6353,2004-03-02,
601899.SH,19879841.1908,2008-04-25,
600031.SH,19362285.6175,2003-07-03,
000792.SZ,19212863.6058,1997-09-04,
000002.SZ,19201885.2516,1991-01-29,
002714.SZ,18943242.1089,2014-01-28,
600690.SH,18856263.8828,1993-11-19,
300015.SZ,18851483.9558,2009-10-30,
600048.SH,18709278.1522,2006-07-31,
002812.SZ,18590868.8235,2016-09-14,
601601.SH,18563752.4260,2007-12-25,
601328.SH,18094648.3109,2007-05-15,
002493.SZ,17248878.7500,2010-11-02,
000725.SZ,16936403.6973,2001-01-12,
600111.SH,16639442.2800,1997-09-24,
600346.SH,16168812.2084,2001-08-20,
600585.SH,16118801.3934,2002-02-07,
002241.SZ,16106798.9410,2008-05-22,
002371.SZ,15983941.8123,2010-03-16,
300274.SZ,15981756.2066,2011-11-02,
600019.SH,15904045.0609,2000-12-12,
002466.SZ,15769255.9359,2010-08-31,
601998.SH,15732337.9253,2007-04-27,
300124.SZ,15329511.2487,2010-09-28,
600703.SH,15318564.0296,1996-05-28,
601319.SH,15278824.6847,2018-11-16,
601766.SH,14815629.0112,2008-08-18,
600893.SH,14780038.0239,1996-04-08,
000776.SZ,14555537.7100,1997-06-11,
600309.SH,14379939.8420,2001-01-05,
601985.SH,14167279.7110,2015-06-10,
600016.SH,13830228.0531,2000-12-19,
601818.SH,13729256.6547,2010-08-18,
002049.SZ,13653404.2800,2005-06-06,
603799.SH,13355910.3933,2015-01-29,
600760.SH,13329459.4605,1996-10-11,
601211.SH,13288016.3895,2015-06-26,
601816.SH,13199759.7531,2020-01-16,
600999.SH,13099839.3051,2009-11-17,
000063.SZ,13025246.0391,1997-11-18,
601688.SH,12986318.5843,2010-02-26,
600018.SH,12699173.7082,2006-10-26,
002129.SZ,12655563.8983,2007-04-20,
603806.SH,12416659.4301,2014-09-05,
603260.SH,12378786.0000,2017-10-30,
002460.SZ,12277279.4053,2010-08-10,
002311.SZ,12150484.4436,2009-11-27,
600745.SH,12105570.5027,1996-08-28,
600050.SH,12086968.1753,2002-10-09,
600025.SH,11862000.0000,2017-12-15,
002027.SZ,11828161.5756,2004-08-04,
601225.SH,11827900.0000,2014-01-28,
601390.SH,11790489.2449,2007-12-03,
600588.SH,11630160.7346,2001-05-18,
601877.SH,11586207.4663,2010-01-21,
000166.SZ,11538179.7458,2015-01-26,
300122.SZ,11486986.4515,2010-09-28,
300433.SZ,11398963.3374,2015-03-18,
601066.SH,11148233.9027,2018-06-20,
603659.SH,11120040.7778,2017-11-03,
002230.SZ,10923764.5996,2008-05-12,
601238.SH,10872189.6722,2012-03-29,
603986.SH,10856210.5003,2016-08-18,
300450.SZ,10789676.8184,2015-05-18,
002179.SZ,10741225.8960,2007-11-01,
601100.SH,10677844.8000,2011-10-28,
600011.SH,10656780.9115,2001-12-06,
002709.SZ,10642659.0367,2014-01-23,
001979.SZ,10567574.6748,2015-12-30,
600837.SH,10399763.2954,1994-02-24,2025-03-04
002271.SZ,10296898.0547,2008-09-10,
002821.SZ,10158590.6700,2016-11-18,
002736.SZ,10133532.2033,2014-12-29,
000768.SZ,10105536.7154,1997-06-26,
601800.SH,10079127.9947,2012-03-09,
000661.SZ,10044727.4018,1996-12-18,
688981.SH,9914631.4218,2020-07-16,
601229.SH,9847715.7226,2016-11-16,
600196.SH,9841628.6722,1998-08-07,
603993.SH,9830430.6872,2012-10-09,
688599.SH,9575728.9002,2020-06-10,
601006.SH,9514814.0179,2006-08-01,
600660.SH,9442077.5690,1993-06-10,
601169.SH,9387485.0168,2007-09-19,
