ts_code,circ_mv,list_date,delist_date
601288.SH,220916993.8577,2010-07-15,
601398.SH,200861098.3416,2006-10-27,
601857.SH,197868779.0936,2007-11-05,
300750.SZ,185598659.9128,2018-06-11,
600519.SH,173413127.1030,2001-08-27,
601138.SH,124779652.2818,2018-06-08,
601988.SH,121190171.0365,2006-07-05,
300308.SZ,95037211.2883,2012-04-10,
601088.SH,79156982.1840,2007-10-09,
600036.SH,78946970.3298,2002-04-09,
601628.SH,76359884.5100,2007-01-09,
688256.SH,71684792.1593,2020-07-20,
688041.SH,68858515.9459,2022-08-12,
601899.SH,68603971.1562,2008-04-25,
600900.SH,66847170.8001,2003-11-18,
601318.SH,63288806.3978,2007-03-01,
000333.SZ,55596026.4232,2013-09-18,
600028.SH,51071584.2271,2001-08-08,
002475.SZ,48704129.5020,2010-09-15,
601728.SH,46810726.4055,2021-08-20,
300502.SZ,46552995.0515,2016-03-03,
002371.SZ,38891676.0235,2010-03-16,
601166.SH,37945003.1263,2007-02-05,
000858.SZ,37681063.3225,1998-04-27,
601658.SH,36771594.9067,2019-12-10,
002594.SZ,35905145.8230,2011-06-30,
600276.SH,34370064.2523,2000-10-18,
601998.SH,34281682.4004,2007-04-27,
600030.SH,33144571.7512,2003-01-06,
002415.SZ,32829393.5076,2010-05-28,
603993.SH,32512088.1317,2012-10-09,
600000.SH,30874512.1041,1999-11-10,
300476.SZ,28420788.7483,2015-06-11,
600309.SH,28030242.9392,2001-01-05,
300059.SZ,27155666.2807,2010-03-19,
603259.SH,27094785.0949,2018-05-08,
002384.SZ,25886785.5336,2010-04-09,
601319.SH,25487389.2266,2018-11-16,
601601.SH,25484089.3370,2007-12-25,
600150.SH,25354387.2686,1998-05-20,
601225.SH,25333035.0000,2014-01-28,
601816.SH,23973582.8913,2020-01-16,
300394.SZ,23911116.2370,2015-02-17,
688981.SH,23740806.1443,2020-07-16,
688012.SH,23590917.1903,2019-07-22,
600989.SH,22513415.2000,2019-05-16,
000001.SZ,22297035.1503,1991-04-03,
000651.SZ,22115647.9434,1996-11-18,
002142.SZ,21910147.9081,2007-07-19,
300274.SZ,21848392.5011,2011-11-02,
601211.SH,21757019.2311,2015-06-26,
603288.SH,21486160.5020,2014-02-11,
603986.SH,20902873.9570,2016-08-18,
600406.SH,20797233.4927,2003-10-16,
000792.SZ,20790403.1827,1997-09-04,
002916.SZ,20775295.3125,2017-12-13,
600919.SH,20736996.6432,2016-08-02,
300760.SZ,20399963.9257,2018-10-16,
601668.SH,20288311.7080,2009-07-29,
688008.SH,19867571.6089,2019-07-22,
002463.SZ,19722267.1549,2010-08-18,
600111.SH,19174309.2260,1997-09-24,
600183.SH,18320331.3131,1998-10-28,
003816.SZ,18015492.7217,2019-08-26,
601919.SH,17729365.8174,2007-06-26,
601328.SH,17729258.9069,2007-05-15,
600025.SH,17718170.6384,2017-12-15,
002352.SZ,17696744.4421,2010-02-05,
600809.SH,17488187.1224,1994-01-06,
002050.SZ,17286254.8248,2005-06-07,
600887.SH,17283131.0139,1996-03-12,
600031.SH,17245383.7253,2003-07-03,
601898.SH,17132544.7488,2008-02-01,
002714.SZ,16986848.2630,2014-01-28,
601985.SH,16976073.0954,2015-06-10,
002938.SZ,16639466.3861,2018-09-18,
300124.SZ,16533671.9093,2010-09-28,
600487.SH,16064839.9913,2003-08-22,
300408.SZ,16024219.7829,2014-12-03,
600104.SH,15840492.4005,1997-11-25,
000338.SZ,15610898.2286,2007-04-30,
600346.SH,15549371.4273,2001-08-20,
601698.SH,15490821.3058,2019-06-28,
601600.SH,15346970.4242,2007-04-30,
300014.SZ,15182381.2163,2009-10-30,
601066.SH,14940043.3805,2018-06-20,
000725.SZ,14827398.7863,2001-01-12,
000063.SZ,14781369.9214,1997-11-18,
688521.SH,14771908.1880,2020-08-18,
000568.SZ,14727276.5340,1994-05-09,
601009.SH,14527191.5129,2007-07-19,
601766.SH,14523695.4347,2008-08-18,
300442.SZ,14515208.7411,2015-04-24,
601818.SH,14478926.4550,2010-08-18,
601869.SH,14380312.9325,2018-07-20,
601872.SH,14211187.7635,2006-12-01,
601100.SH,14075938.7740,2011-10-28,
000408.SZ,14015687.7209,1996-06-28,
600050.SH,14007664.9367,2002-10-09,
601688.SH,13992441.7730,2010-02-26,
601127.SH,13820180.1040,2016-06-15,
600176.SH,13810821.7116,1999-04-22,
600019.SH,13744495.4766,2000-12-12,
605117.SH,13697276.0801,2021-04-20,
600188.SH,13621689.3657,1998-07-01,
603019.SH,13597323.0077,2014-11-06,
