ts_code,circ_mv,list_date,delist_date
600519.SH,169586703.0000,2001-08-27,
601398.SH,111889068.2037,2006-10-27,
601288.SH,82602532.5526,2010-07-15,
601857.SH,77560675.2748,2007-11-05,
300750.SZ,73855098.6791,2018-06-11,
601988.SH,63440419.9686,2006-07-05,
601628.SH,55390589.8000,2007-01-09,
600036.SH,55326828.9586,2002-04-09,
000858.SZ,51817293.9540,1998-04-27,
601088.SH,46224379.3879,2007-10-09,
600900.SH,46075006.8000,2003-11-18,
300760.SZ,39457660.9959,2018-10-16,
601318.SH,39160082.1603,2007-03-01,
600028.SH,38892012.8157,2001-08-08,
601012.SH,36359358.1396,2012-04-11,
601888.SH,31309897.8236,2009-10-15,
601166.SH,31223688.8117,2007-02-05,
002594.SZ,28731248.4869,2011-06-30,
600809.SH,28297215.2052,1994-01-06,
603288.SH,27654720.0408,2014-02-11,
000333.SZ,27531874.6973,2013-09-18,
002415.SZ,26077260.1594,2010-05-28,
600276.SH,25643589.1415,2000-10-18,
600309.SH,25231003.8865,2001-01-05,
002352.SZ,23378541.3104,2010-02-05,
000568.SZ,22897528.7174,1994-05-09,
002475.SZ,20199360.5021,2010-09-15,
000001.SZ,20065335.5463,1991-04-03,
002304.SZ,19632906.3329,2009-11-06,
600438.SH,19582453.3770,2004-03-02,
600030.SH,19562062.0367,2003-01-06,
603259.SH,19547806.1010,2018-05-08,
600000.SH,19489843.3076,1999-11-10,
601668.SH,19396799.2509,2009-07-29,
601225.SH,19254270.0000,2014-01-28,
601633.SH,17879338.7538,2011-09-28,
601328.SH,17466634.4867,2007-05-15,
300059.SZ,17309415.5543,2010-03-19,
601319.SH,17216411.9428,2018-11-16,
002714.SZ,16846007.7835,2014-01-28,
600048.SH,16519211.9168,2006-07-31,
601138.SH,16232306.8955,2018-06-08,
601899.SH,16231787.8589,2008-04-25,
600406.SH,16171400.6373,2003-10-16,
600104.SH,16064759.3769,1997-11-25,
000651.SZ,16019332.5456,1996-11-18,
600887.SH,15921364.1653,1996-03-12,
002142.SZ,15498442.8657,2007-07-19,
300124.SZ,15312349.3552,2010-09-28,
300014.SZ,15277215.4422,2009-10-30,
300274.SZ,14778871.7057,2011-11-02,
601998.SH,14744810.7344,2007-04-27,
601919.SH,14305941.6898,2007-06-26,
300015.SZ,14295389.2307,2009-10-30,
600760.SH,14195364.9693,1996-10-11,
002466.SZ,14089661.5956,2010-08-31,
002049.SZ,13942921.6144,2005-06-06,
600436.SH,13755632.3880,2003-06-16,
000002.SZ,13137871.7205,1991-01-29,
600690.SH,13121789.5203,1993-11-19,
002371.SZ,13100307.8648,2010-03-16,
601601.SH,13026113.8889,2007-12-25,
002129.SZ,12758815.7907,2007-04-20,
601816.SH,12188598.0329,2020-01-16,
000725.SZ,12180727.0297,2001-01-12,
600188.SH,12127072.3784,1998-07-01,
600893.SH,12013981.9174,1996-04-08,
600018.SH,11980789.7941,2006-10-26,
600016.SH,11702500.6603,2000-12-19,
000792.SZ,11677534.0269,1997-09-04,
601766.SH,11555704.0728,2008-08-18,
600025.SH,11466000.0000,2017-12-15,
600031.SH,11435714.6909,2003-07-03,
601985.SH,11366792.2595,2015-06-10,
601818.SH,11248068.9701,2010-08-18,
002812.SZ,10985189.3683,2016-09-14,
600346.SH,10797979.0717,2001-08-20,
600019.SH,10529528.1039,2000-12-12,
600050.SH,10403370.4108,2002-10-09,
003816.SZ,10384436.3304,2019-08-26,
002179.SZ,10221440.3530,2007-11-01,
600919.SH,10164130.3073,2016-08-02,
002493.SZ,10163160.9375,2010-11-02,
601390.SH,10161406.1022,2007-12-03,
001979.SZ,10144581.1037,2015-12-30,
601211.SH,9819317.4791,2015-06-26,
600585.SH,9711277.8618,2002-02-07,
601111.SH,9633381.4709,2006-08-18,
002311.SZ,9576951.4071,2009-11-27,
