ts_code,circ_mv,list_date,delist_date
600519.SH,178540880.9184,2001-08-27,
601398.SH,157723144.3353,2006-10-27,
601288.SH,146533092.7466,2010-07-15,
601857.SH,145244103.8027,2007-11-05,
601988.SH,98216729.9182,2006-07-05,
300750.SZ,72565034.0405,2018-06-11,
600900.SH,71685667.9180,2003-11-18,
600036.SH,67518535.1161,2002-04-09,
601628.SH,67051766.6000,2007-01-09,
601088.SH,65551875.8711,2007-10-09,
600028.SH,61636809.2089,2001-08-08,
000858.SZ,49241037.6562,1998-04-27,
601138.SH,47351928.9392,2018-06-08,
601318.SH,45805871.1499,2007-03-01,
000333.SZ,43797715.6705,2013-09-18,
601166.SH,34796952.9958,2007-02-05,
601899.SH,34082333.8537,2008-04-25,
601658.SH,32420116.8816,2019-12-10,
300760.SZ,31173055.6129,2018-10-16,
601328.SH,28888635.9150,2007-05-15,
002594.SZ,28718835.3330,2011-06-30,
601816.SH,28088909.1975,2020-01-16,
002475.SZ,27478753.7761,2010-09-15,
600276.SH,26925768.5986,2000-10-18,
002415.SZ,26477881.3504,2010-05-28,
600000.SH,24655828.9950,1999-11-10,
600309.SH,24364433.8178,2001-01-05,
601998.SH,24186134.1351,2007-04-27,
601668.SH,23056777.8678,2009-07-29,
601225.SH,22676605.0000,2014-01-28,
600030.SH,22506033.0231,2003-01-06,
600809.SH,22487600.5041,1994-01-06,
000651.SZ,22343764.7792,1996-11-18,
601985.SH,20828263.2083,2015-06-10,
600025.SH,20592000.0000,2017-12-15,
601319.SH,20340214.5221,2018-11-16,
601601.SH,20227097.4995,2007-12-25,
000001.SZ,19929496.7177,1991-04-03,
603288.SH,19539950.3116,2014-02-11,
600406.SH,19178732.2830,2003-10-16,
000568.SZ,19171286.3192,1994-05-09,
601766.SH,18562109.9106,2008-08-18,
003816.SZ,18408773.4948,2019-08-26,
600150.SH,18328013.0503,1998-05-20,
002371.SZ,18176931.2636,2010-03-16,
600690.SH,17216040.1928,1993-11-19,
600104.SH,16992539.5853,1997-11-25,
002352.SZ,16783780.5982,2010-02-05,
601919.SH,16780486.1440,2007-06-26,
002714.SZ,16660453.4211,2014-01-28,
600887.SH,15819481.2449,1996-03-12,
300059.SZ,14882236.4529,2010-03-19,
600019.SH,14863384.9091,2000-12-12,
