ts_code,circ_mv,list_date,delist_date
600519.SH,196092476.5800,2001-08-27,
601398.SH,185762814.4394,2006-10-27,
601288.SH,165368501.1825,2010-07-15,
601857.SH,133099947.9664,2007-11-05,
601988.SH,118028688.3138,2006-07-05,
300750.SZ,98711259.8869,2018-06-11,
600036.SH,89302700.4331,2002-04-09,
601628.SH,78296472.8000,2007-01-09,
600900.SH,66764180.3348,2003-11-18,
601088.SH,63243130.5574,2007-10-09,
601728.SH,60939337.0287,2021-08-20,
601318.SH,55567601.6793,2007-03-01,
600028.SH,54344365.6396,2001-08-08,
000333.SZ,54141474.2173,2013-09-18,
000858.SZ,50983842.7884,1998-04-27,
601166.SH,44872505.5090,2007-02-05,
002594.SZ,43578898.6481,2011-06-30,
601138.SH,39436526.9375,2018-06-08,
601899.SH,37305344.2721,2008-04-25,
601658.SH,34970767.8992,2019-12-10,
600030.SH,32292213.1830,2003-01-06,
600276.SH,31384691.1881,2000-10-18,
600000.SH,30614321.9690,1999-11-10,
300059.SZ,30165251.2662,2010-03-19,
002475.SZ,29566814.8674,2010-09-15,
601328.SH,29241893.6912,2007-05-15,
601998.SH,28982492.4931,2007-04-27,
300760.SZ,28371105.8046,2018-10-16,
002415.SZ,27954406.3290,2010-05-28,
601816.SH,27352311.9283,2020-01-16,
600809.SH,26141393.3490,1994-01-06,
688256.SH,26007555.7119,2020-07-20,
000651.SZ,25073218.6798,1996-11-18,
601319.SH,24209469.9896,2018-11-16,
601211.SH,23161854.0034,2015-06-26,
603288.SH,22564917.0076,2014-02-11,
002371.SZ,22191106.0800,2010-03-16,
601601.SH,22013653.3193,2007-12-25,
000001.SZ,21850673.9031,1991-04-03,
601668.SH,21734525.3735,2009-07-29,
600309.SH,21102237.0733,2001-01-05,
002352.SZ,20652765.6221,2010-02-05,
601225.SH,19205795.0000,2014-01-28,
000568.SZ,19060348.0488,1994-05-09,
601127.SH,19006648.0277,2016-06-15,
601919.SH,18568573.4715,2007-06-26,
600104.SH,18277397.8237,1997-11-25,
600887.SH,17787191.0833,1996-03-12,
688981.SH,17762012.0994,2020-07-16,
601818.SH,17541776.2821,2010-08-18,
600406.SH,17511951.2200,2003-10-16,
600919.SH,17433758.2399,2016-08-02,
601985.SH,17391505.3625,2015-06-10,
601766.SH,17175425.4219,2008-08-18,
600050.SH,17106355.3266,2002-10-09,
600690.SH,17099805.9937,1993-11-19,
002142.SZ,16843930.4982,2007-07-19,
603259.SH,16836169.4202,2018-05-08,
600025.SH,16488000.0000,2017-12-15,
300124.SZ,16270523.5188,2010-09-28,
601633.SH,16166012.8365,2011-09-28,
600031.SH,16141259.6012,2003-07-03,
603501.SH,16140391.5565,2017-05-04,
601066.SH,15693541.2206,2018-06-20,
600019.SH,15683101.0193,2000-12-12,
000725.SZ,15293395.6097,2001-01-12,
002714.SZ,14758929.9427,2014-01-28,
003816.SZ,14278599.9543,2019-08-26,
601229.SH,13993593.4314,2016-11-16,
688111.SH,13839504.8076,2019-11-18,
600016.SH,13830228.0531,2000-12-19,
000063.SZ,13781672.8356,1997-11-18,
600150.SH,13640907.7119,1998-05-20,
600018.SH,13464455.0973,2006-10-26,
603993.SH,13349987.1904,2012-10-09,
600999.SH,13188903.3683,2009-11-17,
601006.SH,13176254.2263,2006-08-01,
605499.SH,12946763.6610,2021-05-27,
601169.SH,12770362.5003,2007-09-19,
300433.SZ,12578108.8292,2015-03-18,
688041.SH,12527052.9675,2022-08-12,
600436.SH,12202090.5723,2003-06-16,
600905.SH,12092576.0101,2021-06-10,
601688.SH,12064823.0142,2010-02-26,
600015.SH,12048196.3787,2003-09-12,
601881.SH,12038560.0894,2017-01-23,
601012.SH,12011194.3383,2012-04-11,
601888.SH,11753902.7749,2009-10-15,
600660.SH,11731490.9465,1993-06-10,
600760.SH,11604747.2454,1996-10-11,
688012.SH,11473897.8185,2019-07-22,
002304.SZ,11458139.1060,2009-11-06,
601390.SH,11322596.4414,2007-12-03,
000166.SZ,11110005.1068,2015-01-26,
300274.SZ,11036197.9752,2011-11-02,
300308.SZ,10842987.9142,2012-04-10,
600346.SH,10819096.3711,2001-08-20,
000625.SZ,10763728.2973,1997-06-10,
600886.SH,10756381.4471,1996-01-18,
601800.SH,10748720.4139,2012-03-09,
601336.SH,10740012.6010,2011-12-16,
601100.SH,10664890.1704,2011-10-28,
600989.SH,10655372.0800,2019-05-16,
002050.SZ,10581907.4451,2005-06-07,
300015.SZ,10532313.7817,2009-10-30,
002230.SZ,10414044.7600,2008-05-12,
688036.SH,10337277.9624,2019-09-30,
601009.SH,10264380.9703,2007-07-19,
002027.SZ,10138424.2077,2004-08-04,
601995.SH,10094992.0453,2020-11-02,
000538.SZ,10050192.1988,1993-12-15,
601689.SH,10039476.1457,2015-03-19,
600048.SH,9887586.2633,2006-07-31,
601600.SH,9797620.2290,2007-04-30,
600547.SH,9715623.7167,2003-08-28,
600585.SH,9715277.5644,2002-02-07,
600941.SH,9692115.8201,2022-01-05,
603019.SH,9679347.1350,2014-11-06,
601727.SH,9668669.8983,2008-12-05,
