ts_code,circ_mv,list_date,delist_date
600519.SH,191444544.7200,2001-08-27,
601398.SH,186571651.0770,2006-10-27,
601288.SH,170476408.5549,2010-07-15,
601857.SH,144758337.5693,2007-11-05,
601988.SH,116131798.6801,2006-07-05,
300750.SZ,103807998.4578,2018-06-11,
601628.SH,87292237.7600,2007-01-09,
600036.SH,81071751.6060,2002-04-09,
601088.SH,71703033.0283,2007-10-09,
600900.SH,70941442.9664,2003-11-18,
600028.SH,63354339.0005,2001-08-08,
601318.SH,56665392.7642,2007-03-01,
000858.SZ,54356888.8016,1998-04-27,
000333.SZ,51826810.9254,2013-09-18,
601138.SH,42707513.9850,2018-06-08,
601166.SH,39803562.0974,2007-02-05,
601658.SH,38125520.4736,2019-12-10,
600030.SH,35518999.1912,2003-01-06,
300059.SZ,34493657.5595,2010-03-19,
002594.SZ,32858024.1473,2011-06-30,
601899.SH,31082237.7304,2008-04-25,
300760.SZ,30917230.6845,2018-10-16,
601328.SH,30497921.3397,2007-05-15,
601816.SH,30249594.5204,2020-01-16,
600000.SH,30203390.7576,1999-11-10,
002475.SZ,29427682.1852,2010-09-15,
600276.SH,29279620.4377,2000-10-18,
002415.SZ,27954406.3290,2010-05-28,
688256.SH,27468654.3474,2020-07-20,
601998.SH,27372659.6334,2007-04-27,
601319.SH,27049290.5162,2018-11-16,
603288.SH,25523156.4970,2014-02-11,
000651.SZ,25067703.2335,1996-11-18,
601668.SH,24792234.2664,2009-07-29,
600104.SH,24030321.6478,1997-11-25,
601601.SH,23327901.2786,2007-12-25,
000001.SZ,22704572.5078,1991-04-03,
601225.SH,22550570.0000,2014-01-28,
600809.SH,22472960.9335,1994-01-06,
600309.SH,22402092.1765,2001-01-05,
002371.SZ,20827017.2217,2010-03-16,
601766.SH,20386694.7642,2008-08-18,
601127.SH,20138984.6724,2016-06-15,
600406.SH,20136870.4487,2003-10-16,
601919.SH,19779622.3618,2007-06-26,
601985.SH,19695266.1163,2015-06-10,
002352.SZ,19298580.8844,2010-02-05,
600887.SH,19117429.7327,1996-03-12,
688981.SH,18813854.0786,2020-07-16,
000568.SZ,18370417.7653,1994-05-09,
600919.SH,18021000.6227,2016-08-02,
601818.SH,17959437.6221,2010-08-18,
600690.SH,17806564.6175,1993-11-19,
600025.SH,17118000.0000,2017-12-15,
601066.SH,16726352.9151,2018-06-20,
600050.SH,16609754.6119,2002-10-09,
601633.SH,16290122.6475,2011-09-28,
000063.SZ,16270589.7884,1997-11-18,
003816.SZ,16245349.2593,2019-08-26,
000725.SZ,16177832.9462,2001-01-12,
600150.SH,16082853.8138,1998-05-20,
002142.SZ,15858867.1731,2007-07-19,
600019.SH,15300543.2888,2000-12-12,
002714.SZ,14648404.2396,2014-01-28,
600016.SH,14645856.8870,2000-12-19,
601728.SH,14622431.6258,2021-08-20,
600999.SH,14220562.1012,2009-11-17,
600018.SH,14207321.5854,2006-10-26,
601211.SH,13950802.1264,2015-06-26,
600031.SH,13949027.6994,2003-07-03,
600760.SH,13921305.1155,1996-10-11,
300308.SZ,13780190.5059,2012-04-10,
603259.SH,13765044.0417,2018-05-08,
300124.SZ,13361125.1327,2010-09-28,
688041.SH,13279740.0142,2022-08-12,
688111.SH,13246271.8899,2019-11-18,
601888.SH,13083538.6203,2009-10-15,
601390.SH,13050557.8519,2007-12-03,
601169.SH,13002935.3273,2007-09-19,
601229.SH,12999109.9665,2016-11-16,
600436.SH,12941154.1545,2003-06-16,
605499.SH,12923363.0760,2021-05-27,
601688.SH,12830727.7400,2010-02-26,
603501.SH,12696949.3033,2017-05-04,
002304.SZ,12552109.6331,2009-11-06,
600660.SH,12498634.7117,1993-06-10,
600905.SH,12492019.3193,2021-06-10,
600886.SH,12388846.8226,1996-01-18,
601006.SH,12379043.0846,2006-08-01,
600989.SH,12349378.2400,2019-05-16,
600015.SH,12325166.4104,2003-09-12,
601800.SH,12275861.0191,2012-03-09,
000166.SZ,12056496.4141,2015-01-26,
601012.SH,11905097.0900,2012-04-11,
688012.SH,11772632.4113,2019-07-22,
603993.SH,11747738.7677,2012-10-09,
300274.SZ,11738978.4831,2011-11-02,
601898.SH,11147136.4872,2008-02-01,
600893.SH,11046942.1219,1996-04-08,
601881.SH,11031725.0398,2017-01-23,
000625.SZ,10981112.0593,1997-06-10,
601989.SH,10967778.9908,2009-12-16,2025-09-05
300433.SZ,10873608.0499,2015-03-18,
688036.SH,10833330.4625,2019-09-30,
600346.SH,10805018.1715,2001-08-20,
