ts_code,circ_mv,list_date,delist_date
600519.SH,225047835.8700,2001-08-27,
601398.SH,129683474.2313,2006-10-27,
601288.SH,116843381.1444,2010-07-15,
601857.SH,116260051.8733,2007-11-05,
601988.SH,84095440.4236,2006-07-05,
300750.SZ,65044040.1234,2018-06-11,
601628.SH,62553884.1200,2007-01-09,
600036.SH,59390731.0111,2002-04-09,
000858.SZ,57892958.9029,1998-04-27,
600900.SH,53756192.1494,2003-11-18,
600028.SH,52028162.6622,2001-08-08,
601088.SH,51930278.5203,2007-10-09,
601318.SH,43911643.3956,2007-03-01,
000333.SZ,35604000.7441,2013-09-18,
300760.SZ,35266254.4675,2018-10-16,
002415.SZ,31688239.3046,2010-05-28,
600276.SH,30608946.7488,2000-10-18,
000568.SZ,30388772.9850,1994-05-09,
601166.SH,30330463.3036,2007-02-05,
601138.SH,29945985.8295,2018-06-08,
601658.SH,29466731.4928,2019-12-10,
600809.SH,29140065.4067,1994-01-06,
600309.SH,25322056.5387,2001-01-05,
601899.SH,24999814.4719,2008-04-25,
601816.SH,24798774.7286,2020-01-16,
600030.SH,24381535.7750,2003-01-06,
002594.SZ,23196287.0887,2011-06-30,
601328.SH,22922504.5848,2007-05-15,
002475.SZ,22713312.0839,2010-09-15,
603259.SH,21195383.6312,2018-05-08,
603288.SH,21191448.6732,2014-02-11,
002352.SZ,20543087.9981,2010-02-05,
601668.SH,20536234.0507,2009-07-29,
600000.SH,20106240.8313,1999-11-10,
300059.SZ,19662590.5646,2010-03-19,
601225.SH,18885860.0000,2014-01-28,
000001.SZ,18784569.4476,1991-04-03,
000651.SZ,18396886.4955,1996-11-18,
601998.SH,18371654.9046,2007-04-27,
601319.SH,17926367.0744,2018-11-16,
600406.SH,17539619.5345,2003-10-16,
002304.SZ,17519774.7473,2009-11-06,
601888.SH,17406319.4748,2009-10-15,
600104.SH,17384990.5111,1997-11-25,
600887.SH,17181381.5833,1996-03-12,
000625.SZ,16637186.8463,1997-06-10,
601633.SH,16586973.2837,2011-09-28,
601601.SH,16489704.8651,2007-12-25,
601012.SH,16088168.0311,2012-04-11,
300124.SZ,15311311.3632,2010-09-28,
600436.SH,15249445.8000,2003-06-16,
600025.SH,15012000.0000,2017-12-15,
002142.SZ,14952463.6729,2007-07-19,
000725.SZ,14419885.3891,2001-01-12,
002714.SZ,14209849.7518,2014-01-28,
600690.SH,13954518.4706,1993-11-19,
688111.SH,13932416.7514,2019-11-18,
600016.SH,13652917.4370,2000-12-19,
600019.SH,13595625.6080,2000-12-12,
600050.SH,13593921.3650,2002-10-09,
300015.SZ,13451936.5784,2009-10-30,
601818.SH,13411569.6971,2010-08-18,
601985.SH,13274949.2615,2015-06-10,
603501.SH,13142016.2095,2017-05-04,
601919.SH,12770502.4968,2007-06-26,
601766.SH,12650454.9850,2008-08-18,
002371.SZ,12397105.1613,2010-03-16,
600150.SH,12361793.0871,1998-05-20,
600048.SH,12281674.9469,2006-07-31,
600919.SH,12094556.3149,2016-08-02,
003816.SZ,11918500.7883,2019-08-26,
601995.SH,11869582.3064,2020-11-02,
600018.SH,11656358.3490,2006-10-26,
600031.SH,11553654.6175,2003-07-03,
600760.SH,11541618.2987,1996-10-11,
601390.SH,11485036.1556,2007-12-03,
601127.SH,11409448.7007,2016-06-15,
601211.SH,11253454.0498,2015-06-26,
601006.SH,11159631.9329,2006-08-01,
000002.SZ,11115867.2940,1991-01-29,
600438.SH,11029825.6131,2004-03-02,
600989.SH,10758039.1200,2019-05-16,
002050.SZ,10671749.9508,2005-06-07,
688981.SH,10598281.2536,2020-07-16,
000596.SZ,10564761.6000,1996-09-27,
688012.SH,10521557.3968,2019-07-22,
601688.SH,10498644.1639,2010-02-26,
300498.SZ,10468853.5569,2015-11-02,
600999.SH,10442761.4177,2009-11-17,
000063.SZ,10321254.2463,1997-11-18,
002493.SZ,10210652.3438,2010-11-02,
601728.SH,10167430.7733,2021-08-20,
000166.SZ,10163513.7995,2015-01-26,
600346.SH,9875856.9998,2001-08-20,
601066.SH,9825691.2824,2018-06-20,
002230.SZ,9598746.0797,2008-05-12,
600893.SH,9583788.6298,1996-04-08,
601169.SH,9577771.8752,2007-09-19,
002027.SZ,9445198.6208,2004-08-04,
300274.SZ,9370303.0470,2011-11-02,
300122.SZ,9264621.0896,2010-09-28,
600188.SH,9246330.1296,1998-07-01,
603993.SH,9203867.5157,2012-10-09,
600585.SH,9199315.9317,2002-02-07,
601800.SH,9045371.2773,2012-03-09,
000895.SZ,9041286.0447,1998-12-10,
000538.SZ,8983488.2223,1993-12-15,
688036.SH,8926257.0684,2019-09-30,
601111.SH,8896032.5495,2006-08-18,
601989.SH,8789353.7062,2009-12-16,2025-09-05
601186.SH,8730963.3345,2008-03-10,
002736.SZ,8681899.7167,2014-12-29,
603195.SH,8681796.6800,2020-02-06,
600886.SH,8637682.9503,1996-01-18,
600837.SH,8624926.5070,1994-02-24,2025-03-04
000792.SZ,8610992.5204,1997-09-04,
601881.SH,8583347.2388,2017-01-23,
601898.SH,8538816.3732,2008-02-01,
000776.SZ,8529698.9996,1997-06-11,
600011.SH,8479234.3475,2001-12-06,
688271.SH,8426975.3568,2022-08-22,
600547.SH,8385508.5650,2003-08-28,
601229.SH,8156246.4619,2016-11-16,
601689.SH,8120999.4863,2015-03-19,
002179.SZ,8117056.1940,2007-11-01,
001979.SZ,8062974.2806,2015-12-30,
300014.SZ,7853948.1016,2009-10-30,
600029.SH,7794102.6142,2003-07-25,
601698.SH,7688381.4498,2019-06-28,
000100.SZ,7565190.3696,2004-01-30,
601100.SH,7548822.1850,2011-10-28,
600660.SH,7543246.5263,1993-06-10,
000338.SZ,7523937.1153,2007-04-30,
600015.SH,7437158.2587,2003-09-12,
002466.SZ,7385693.1719,2010-08-31,
002311.SZ,7348517.4012,2009-11-27,
600085.SH,7289364.4425,1997-06-25,
600845.SH,7287451.8444,1994-03-11,
601238.SH,7272339.4730,2012-03-29,
000617.SZ,7269195.4704,1996-10-22,
601600.SH,7245603.6686,2007-04-30,
000708.SZ,7197220.6960,1997-03-26,
600111.SH,7172290.6305,1997-09-24,
601901.SH,7145464.0109,2011-08-10,
002920.SZ,7138702.5500,2017-12-26,
000963.SZ,7137136.6288,2000-01-27,
300308.SZ,7120949.2771,2012-04-10,
600795.SH,7045069.5374,1997-03-18,
600089.SH,7038425.0620,1997-06-18,
600703.SH,6924757.9931,1996-05-28,
600009.SH,6913926.9114,1998-02-18,
600941.SH,6901950.8440,2022-01-05,
603369.SH,6752973.5000,2014-07-03,
002129.SZ,6738251.9675,2007-04-20,
688008.SH,6711972.6349,2019-07-22,
601009.SH,6651515.0089,2007-07-19,
002459.SZ,6576012.9448,2010-08-10,
601699.SH,6542211.9204,2006-09-22,
601669.SH,6522691.3992,2011-10-18,
601336.SH,6516997.9375,2011-12-16,
600958.SH,6505919.5745,2015-03-23,
300433.SZ,6478663.0024,2015-03-18,
000661.SZ,6467662.5936,1996-12-18,
600674.SH,6370053.2148,1993-09-24,
601788.SH,6348385.6134,2009-08-18,
688041.SH,6319758.8880,2022-08-12,
600426.SH,6303961.7970,2002-06-20,
603986.SH,6252208.1217,2016-08-18,
600905.SH,6243580.0000,2021-06-10,
600023.SH,6221651.9955,2013-12-19,
601360.SH,6202175.2550,2012-01-16,
688396.SH,6199151.3793,2020-02-27,
603392.SH,6173709.9309,2020-04-29,
300782.SZ,6160534.8183,2019-06-18,
002049.SZ,6154387.9151,2005-06-06,
601939.SH,6139940.8678,2007-09-25,
001965.SZ,6110190.5253,2017-12-25,
000768.SZ,6057780.9198,1997-06-26,
603198.SH,6013600.0000,2015-05-28,
600745.SH,5994067.1800,1996-08-28,
600196.SH,5908424.0437,1998-08-07,
688599.SH,5859922.0736,2020-06-10,
