ts_code,circ_mv,list_date,delist_date
601288.SH,245179553.8767,2010-07-15,
601398.SH,213802484.5434,2006-10-27,
600519.SH,172460149.4694,2001-08-27,
601857.SH,168560883.0085,2007-11-05,
300750.SZ,156320027.1311,2018-06-11,
601138.SH,123220030.3611,2018-06-08,
601988.SH,120768640.0068,2006-07-05,
601628.SH,94747061.5000,2007-01-09,
600036.SH,86847856.0461,2002-04-09,
601318.SH,72914845.1677,2007-03-01,
601899.SH,71011278.6536,2008-04-25,
300308.SZ,67435529.4020,2012-04-10,
601088.SH,66788703.7178,2007-10-09,
600900.SH,65275730.4317,2003-11-18,
600028.SH,58557029.7818,2001-08-08,
688256.SH,56709464.6143,2020-07-20,
000333.SZ,53496745.8105,2013-09-18,
688041.SH,52160471.1001,2022-08-12,
601728.SH,48906729.0804,2021-08-20,
601166.SH,44568966.2004,2007-02-05,
600000.SH,41432462.8452,1999-11-10,
002475.SZ,41224015.6409,2010-09-15,
000858.SZ,41120023.1601,1998-04-27,
300502.SZ,38150939.5596,2016-03-03,
600276.SH,37999716.5462,2000-10-18,
601658.SH,36581705.3840,2019-12-10,
600030.SH,34958877.8464,2003-01-06,
603993.SH,34921684.3520,2012-10-09,
002594.SZ,34077327.0944,2011-06-30,
002371.SZ,33232645.3882,2010-03-16,
601319.SH,31770492.1418,2018-11-16,
601998.SH,31387509.4510,2007-04-27,
300059.SZ,31006462.7665,2010-03-19,
601601.SH,28687568.7379,2007-12-25,
601211.SH,27730156.2212,2015-06-26,
300274.SZ,27190390.4157,2011-11-02,
002415.SZ,26994557.8684,2010-05-28,
601816.SH,25196724.8756,2020-01-16,
600150.SH,25030216.4039,1998-05-20,
300476.SZ,24593908.8362,2015-06-11,
688981.SH,24560626.7894,2020-07-16,
600309.SH,24004456.4282,2001-01-05,
300760.SZ,23090265.0139,2018-10-16,
603259.SH,22417812.1497,2018-05-08,
000651.SZ,22181955.6503,1996-11-18,
000001.SZ,22141790.3451,1991-04-03,
601668.SH,21197360.2978,2009-07-29,
600809.SH,20946785.6917,1994-01-06,
601225.SH,20669740.0000,2014-01-28,
603288.SH,20585343.2139,2014-02-11,
002050.SZ,20377296.5550,2005-06-07,
002714.SZ,19273990.9212,2014-01-28,
601919.SH,19141886.2468,2007-06-26,
600919.SH,19085377.4415,2016-08-02,
601328.SH,18902518.6875,2007-05-15,
002142.SZ,18539083.6111,2007-07-19,
601888.SH,18462608.7441,2009-10-15,
002352.SZ,18286375.5588,2010-02-05,
601127.SH,18262325.4065,2016-06-15,
600887.SH,18000639.0021,1996-03-12,
600406.SH,17975738.0560,2003-10-16,
600031.SH,17906386.1482,2003-07-03,
300124.SZ,17868364.9572,2010-09-28,
600104.SH,17495812.3611,1997-11-25,
601066.SH,17388911.3607,2018-06-20,
601688.SH,17236642.3721,2010-02-26,
600183.SH,17099135.5257,1998-10-28,
000568.SZ,17075806.9300,1994-05-09,
600111.SH,16672683.6633,1997-09-24,
601766.SH,16591558.2687,2008-08-18,
600025.SH,16344000.0000,2017-12-15,
601985.SH,16334041.4100,2015-06-10,
600690.SH,16314151.1243,1993-11-19,
600019.SH,16227653.1380,2000-12-12,
601818.SH,16195978.6308,2010-08-18,
601600.SH,16097852.2390,2007-04-30,
600346.SH,15859091.8179,2001-08-20,
300394.SZ,15752130.9930,2015-02-17,
600050.SH,15721848.1509,2002-10-09,
000725.SZ,15453247.1346,2001-01-12,
002916.SZ,15447764.2607,2017-12-13,
600760.SH,15431064.3395,1996-10-11,
000063.SZ,15240518.7419,1997-11-18,
603501.SH,15226397.6064,2017-05-04,
601698.SH,15093729.0771,2019-06-28,
300433.SZ,15049853.6502,2015-03-18,
000792.SZ,14900981.5567,1997-09-04,
003816.SZ,14789954.7736,2019-08-26,
601100.SH,14736963.5231,2011-10-28,
601336.SH,14535512.1998,2011-12-16,
600989.SH,14395385.6800,2019-05-16,
601229.SH,14351089.5788,2016-11-16,
603986.SH,14308574.5401,2016-08-18,
688111.SH,14222846.5502,2019-11-18,
601009.SH,14131557.3610,2007-07-19,
601633.SH,14051517.1625,2011-09-28,
002463.SZ,14049976.2212,2010-08-18,
600547.SH,13991510.1962,2003-08-28,
605499.SH,13904627.6070,2021-05-27,
601012.SH,13792055.7029,2012-04-11,
600016.SH,13581993.1906,2000-12-19,
688008.SH,13504904.4174,2019-07-22,
601689.SH,13412615.0064,2015-03-19,
000408.SZ,13252566.0278,1996-06-28,
300014.SZ,13239519.6223,2009-10-30,
000776.SZ,13000716.5828,1997-06-11,
600660.SH,12973342.4724,1993-06-10,
603799.SH,12860722.6874,2015-01-29,
002736.SZ,12611507.3426,2014-12-29,
600018.SH,12599721.3457,2006-10-26,
603019.SH,12526621.5833,2014-11-06,
600999.SH,12350216.7726,2009-11-17,
000617.SZ,12136395.9158,1996-10-22,
000166.SZ,11876212.3555,2015-01-26,
002384.SZ,11735213.3852,2010-04-09,
600905.SH,11692348.9081,2021-06-10,
002938.SZ,11680865.1066,2018-09-18,
002602.SZ,11595398.1677,2011-07-28,
601169.SH,11586355.3811,2007-09-19,
600362.SH,11397258.7483,2002-01-11,
000807.SZ,11388652.7315,1998-04-08,
601881.SH,11386652.5034,2017-01-23,
601898.SH,11385088.4976,2008-02-01,
600489.SH,11323322.1495,2003-08-14,
600118.SH,11227734.3368,1997-09-08,
600089.SH,11227305.0928,1997-06-18,
002600.SZ,11184971.8438,2011-07-15,
601390.SH,11076898.1461,2007-12-03,
600926.SH,11076475.8933,2016-10-27,
002230.SZ,11009740.3270,2008-05-12,
002493.SZ,10963134.4482,2010-11-02,
601111.SH,10904908.5771,2006-08-18,
601727.SH,10862065.7266,2008-12-05,
600418.SH,10810848.4655,2001-08-24,
600029.SH,10795016.4468,2003-07-25,
000425.SZ,10759689.0757,1996-08-28,
600893.SH,10668494.4063,1996-04-08,
002027.SZ,10643901.1981,2004-08-04,
600015.SH,10571022.8763,2003-09-12,
002625.SZ,10505724.0931,2011-11-03,
601006.SH,10395943.7015,2006-08-01,
600160.SH,10372424.4432,1998-06-26,
688271.SH,10343182.7494,2022-08-22,
601995.SH,10232398.5400,2020-11-02,
600115.SH,10214978.9358,1997-11-05,
600436.SH,10182787.8704,2003-06-16,
300498.SZ,10065049.8059,2015-11-02,
000538.SZ,10062379.3911,1993-12-15,
000625.SZ,9796495.6843,1997-06-10,
600886.SH,9779883.8937,1996-01-18,
000977.SZ,9769099.8146,2000-06-08,
601800.SH,9705432.2734,2012-03-09,
002028.SZ,9421781.1319,2004-08-05,
688072.SH,9278409.6900,2022-04-20,
600438.SH,9238083.1455,2004-03-02,
002311.SZ,9207042.9760,2009-11-27,
000895.SZ,9169769.6060,1998-12-10,
002304.SZ,9149931.4488,2009-11-06,
600941.SH,9122469.2960,2022-01-05,
002837.SZ,9087734.0343,2016-12-29,
600938.SH,9023820.0000,2022-04-21,
002241.SZ,9016815.9208,2008-05-22,
600795.SH,8989152.0173,1997-03-18,
601939.SH,8902914.2584,2007-09-25,
300033.SZ,8876238.8087,2009-12-25,
601186.SH,8822989.2985,2008-03-10,
600415.SH,8746276.9655,2002-05-09,
600585.SH,8743349.8377,2002-02-07,
300015.SZ,8734982.9995,2009-10-30,
601825.SH,8708856.0634,2021-08-19,
600039.SH,8649814.2418,2003-03-25,
000338.SZ,8612239.4288,2007-04-30,
300442.SZ,8597814.7781,2015-04-24,
300408.SZ,8554371.6778,2014-12-03,
002558.SZ,8375535.3950,2011-03-02,
000708.SZ,8262197.3661,1997-03-26,
000100.SZ,8215922.6368,2004-01-30,
600011.SH,8204291.5996,2001-12-06,
002466.SZ,8173085.8103,2010-08-31,
600958.SH,8141736.3218,2015-03-23,
000988.SZ,7972551.2170,2000-06-08,
688183.SH,7959696.8236,2021-02-25,
300803.SZ,7834594.0851,2019-11-18,
605117.SH,7824947.1697,2021-04-20,
601360.SH,7818506.1508,2012-01-16,
300450.SZ,7793952.9863,2015-05-18,
600188.SH,7789943.0755,1998-07-01,
600221.SH,7755038.2029,1999-11-25,
688082.SH,7682466.5551,2021-11-18,
002001.SZ,7649855.1966,2004-06-25,
600580.SH,7647975.6290,2002-06-06,
601868.SH,7620750.9945,2021-09-28,
002460.SZ,7618367.3295,2010-08-10,
688036.SH,7616236.9497,2019-09-30,
001289.SZ,7583068.9827,2022-01-24,
603893.SH,7502230.0962,2020-02-07,
600010.SH,7468629.9923,2001-03-09,
002179.SZ,7374008.5082,2007-11-01,
603195.SH,7352373.2978,2020-02-06,
600048.SH,7301970.4850,2006-07-31,
001979.SZ,7269716.0612,2015-12-30,
601872.SH,7250935.5748,2006-12-01,
600066.SH,7239581.2592,1997-05-08,
688521.SH,7202680.7653,2020-08-18,
000301.SZ,7196717.2063,2000-05-29,
603228.SH,7131555.7306,2017-01-06,
301165.SZ,7063636.3596,2022-11-21,
601018.SH,7061942.9888,2010-09-28,
600703.SH,7049483.4613,1996-05-28,
000768.SZ,7037178.2251,1997-06-26,
000938.SZ,7035796.4900,1999-11-04,
600879.SH,7034106.1801,1995-11-15,
688396.SH,7017320.3978,2020-02-27,
002709.SZ,6970107.3385,2014-01-23,
000963.SZ,6917065.8465,2000-01-27,
601788.SH,6856256.4624,2009-08-18,
001965.SZ,6849455.7519,2017-12-25,
600176.SH,6845363.8049,1999-04-22,
002202.SZ,6839046.9722,2007-12-26,
601838.SH,6820465.8152,2018-01-31,
600895.SH,6798747.1245,1996-04-22,
601669.SH,6797193.4420,2011-10-18,
002074.SZ,6788765.8867,2006-10-18,
600674.SH,6775703.4909,1993-09-24,
600673.SH,6732494.4303,1993-09-17,
301308.SZ,6718358.1346,2022-08-05,
601231.SH,6718155.4320,2012-02-20,
002595.SZ,6714863.4148,2011-06-28,
600009.SH,6703611.6911,1998-02-18,
000630.SZ,6696949.8815,1996-11-20,
002920.SZ,6673583.8898,2017-12-26,
600426.SH,6661451.9429,2002-06-20,
002532.SZ,6644895.3573,2010-12-31,
600023.SH,6637322.7108,2013-12-19,
601168.SH,6586612.0000,2007-07-12,
600584.SH,6581466.7885,2003-06-03,
601916.SH,6549508.5328,2019-11-26,
600372.SH,6493799.2775,2001-07-06,
300475.SZ,6428611.5569,2015-06-10,
601901.SH,6421039.0881,2011-08-10,
601377.SH,6407902.5721,2010-10-13,
600549.SH,6380444.7099,2002-11-07,
600803.SH,6376904.6437,1994-01-03,
000426.SZ,6319731.4518,1996-08-28,
300115.SZ,6309448.7922,2010-09-02,
600741.SH,6305447.9680,1996-08-26,
002128.SZ,6256231.6190,2007-04-18,
603260.SH,6230230.5791,2017-10-30,
600522.SH,6184264.7694,2002-10-24,
600219.SH,6178231.4387,1999-12-23,
000933.SZ,6173910.9974,1999-08-31,
600236.SH,6171901.8190,2000-03-23,
000975.SZ,6149243.1290,2000-06-08,
000157.SZ,6101770.1843,2000-10-12,
002080.SZ,6098301.1043,2006-11-20,
600096.SH,6090612.0323,1997-07-09,
600487.SH,6046932.9221,2003-08-22,
601238.SH,6025097.2375,2012-03-29,
601877.SH,5993474.4741,2010-01-21,
002648.SZ,5951941.0335,2011-12-28,
688126.SH,5911309.3337,2020-04-20,
300979.SZ,5859455.7858,2021-04-26,
603659.SH,5840915.0738,2017-11-03,
300857.SZ,5821627.8585,2020-07-27,
601021.SH,5821083.8669,2015-01-21,
688110.SH,5808950.5713,2021-12-10,
301269.SZ,5799638.0859,2022-07-29,
688303.SH,5753441.7518,2021-07-22,
002156.SZ,5720794.8769,2007-08-16,
600570.SH,5710804.6846,2003-12-16,
601077.SH,5709504.5962,2019-10-29,
000559.SZ,5701016.0481,1994-01-10,
300255.SZ,5698891.4024,2011-08-19,
603392.SH,5682181.2612,2020-04-29,
600021.SH,5648013.2609,2003-10-29,
688223.SH,5642934.5292,2022-01-26,
600233.SH,5619810.4271,2000-06-08,
600196.SH,5611876.8974,1998-08-07,
002738.SZ,5585232.4985,2014-12-30,
688375.SH,5549494.7339,2022-07-22,
002294.SZ,5522673.2219,2009-09-10,
600875.SH,5495454.0927,1995-10-10,
002281.SZ,5452444.1262,2009-08-21,
002064.SZ,5443433.1292,2006-08-23,
000596.SZ,5418036.0000,1996-09-27,
688498.SH,5392716.0000,2022-12-21,
688525.SH,5341284.4216,2022-12-30,
601058.SH,5320146.2191,2011-06-30,
688120.SH,5307609.0809,2022-06-08,
601618.SH,5302227.8935,2009-09-21,
688047.SH,5297611.0000,2022-06-24,
000547.SZ,5245688.6257,1993-11-30,
300418.SZ,5231226.2315,2015-01-21,
600988.SH,5198059.1449,2004-04-14,
603296.SH,5182873.3460,2023-08-08,
600143.SH,5148450.0587,2004-06-23,
688585.SH,5137618.3295,2020-09-28,
601136.SH,5135934.2102,2022-12-22,
300395.SZ,5131644.1759,2014-09-10,
300136.SZ,5112321.1412,2010-11-05,
300765.SZ,5066366.7490,2019-03-22,
601958.SH,5027049.6552,2008-04-17,
301200.SZ,5004803.0423,2022-02-28,
002414.SZ,4985764.4363,2010-07-16,
601607.SH,4981524.6039,1994-03-24,
300604.SZ,4959098.5140,2017-04-17,
601878.SH,4944274.1668,2017-06-26,
000831.SZ,4928309.4277,1998-09-11,
002353.SZ,4910246.4729,2010-02-05,
600061.SH,4891397.1534,1997-05-19,
600515.SH,4890814.6668,2002-08-06,
600601.SH,4887583.7324,1990-12-19,
688122.SH,4845197.8186,2019-07-22,
601777.SH,4805929.3755,2010-11-25,
688568.SH,4767665.5808,2020-07-08,
603979.SH,4750085.3625,2015-06-30,
000999.SZ,4732027.1325,2000-03-09,
601869.SH,4728152.6217,2018-07-20,
600460.SH,4727628.1116,2003-03-11,
688009.SH,4715696.8460,2019-07-22,
600350.SH,4713706.5544,2002-03-18,
600885.SH,4704686.7115,1996-02-05,
688578.SH,4686750.0000,2020-12-02,
600711.SH,4685367.1113,1996-05-31,
600482.SH,4664848.1729,2004-07-14,
601179.SH,4664552.9403,2010-01-28,
002812.SZ,4659400.3240,2016-09-14,
000066.SZ,4648074.9566,1997-06-26,
600745.SH,4640003.4516,1996-08-28,
688002.SH,4639196.1874,2019-07-22,
302132.SZ,4629949.0421,2010-08-27,
603486.SH,4625797.4897,2018-05-28,
600377.SH,4604443.6142,2001-01-16,
000960.SZ,4588495.8422,2000-02-21,
601117.SH,4584314.7236,2010-01-07,
300251.SZ,4546047.8864,2011-08-03,
603516.SH,4543046.0357,2018-02-02,
600588.SH,4530938.5643,2001-05-18,
300316.SZ,4525966.2163,2012-05-11,
000002.SZ,4518125.8275,1991-01-29,
000783.SZ,4507009.4526,1997-07-31,
601555.SH,4501644.7703,2011-12-12,
601298.SH,4496990.5500,2019-01-21,
601198.SH,4486634.3818,2015-02-26,
300207.SZ,4481684.2911,2011-04-21,
300223.SZ,4459728.6276,2011-05-31,
688187.SH,4456626.6290,2021-09-07,
001872.SZ,4449567.9738,1993-05-05,
600085.SH,4424363.0652,1997-06-25,
600845.SH,4419626.1509,1994-03-11,
688347.SH,4398399.2500,2023-08-07,
002078.SZ,4374397.4211,2006-11-16,
600600.SH,4339850.7712,1993-08-27,
603369.SH,4336370.5287,2014-07-03,
603568.SH,4332477.8217,2015-05-28,
601212.SH,4331793.0889,2017-02-15,
601991.SH,4326235.0980,2006-12-20,
601933.SH,4256192.3497,2010-12-15,
603129.SH,4252034.3125,2017-08-18,
002340.SZ,4251662.9909,2010-01-22,
600699.SH,4249448.2276,1993-12-06,
300919.SZ,4227595.5896,2020-12-23,
600027.SH,4221122.4564,2005-02-03,
000786.SZ,4218701.0815,1997-06-06,
002252.SZ,4206266.4140,2008-06-23,
600839.SH,4199612.3542,1994-03-11,
601696.SH,4164222.0000,2020-02-26,
601808.SH,4156497.0720,2007-09-28,
688676.SH,4153691.9444,2021-03-09,
000876.SZ,4148351.3251,1998-03-11,
002945.SZ,4139100.0000,2019-01-17,
002517.SZ,4131342.8322,2010-12-07,
002851.SZ,4124011.3205,2017-03-06,
601233.SH,4123340.6181,2011-05-18,
000878.SZ,4109369.6060,1998-06-02,
603606.SH,4109099.3238,2014-10-15,
000987.SZ,4081742.0916,2000-07-18,
600498.SH,4079361.6308,2001-08-23,
300661.SZ,4068636.1853,2017-06-06,
601216.SH,4067124.3820,2011-02-22,
601611.SH,4062648.5178,2016-06-06,
600026.SH,4058538.8294,2002-05-23,
601108.SH,4049361.4624,2017-10-24,
688027.SH,4049180.3862,2020-07-09,
300759.SZ,4035310.4548,2019-01-28,
001203.SZ,4031536.6945,2021-05-10,
600995.SH,4017379.2969,2004-06-15,
688313.SH,4012734.6200,2020-08-12,
300058.SZ,4008994.2812,2010-02-26,
002236.SZ,4007632.1227,2008-05-20,
000657.SZ,4002374.8158,1996-12-05,
300751.SZ,3982866.2730,2018-11-09,
000021.SZ,3972572.9999,1994-02-02,
002195.SZ,3971294.5538,2007-12-12,
688385.SH,3958407.1010,2021-08-04,
000981.SZ,3957556.1347,2000-06-22,
688249.SH,3943696.3253,2023-05-05,
002008.SZ,3940746.2425,2004-06-25,
603699.SH,3940067.7574,2014-01-17,
688169.SH,3939971.4318,2020-02-21,
600733.SH,3928044.6726,1996-08-16,
688188.SH,3923550.9780,2019-08-08,
600536.SH,3906126.7939,2002-05-17,
688778.SH,3904794.9092,2021-08-05,
600968.SH,3903400.0124,2019-06-26,
002465.SZ,3902672.1967,2010-08-31,
002444.SZ,3902205.5108,2010-07-13,
601577.SH,3900063.1163,2018-09-26,
000893.SZ,3894252.9250,1998-12-24,
002601.SZ,3891726.2550,2011-07-15,
000932.SZ,3882603.1796,1999-08-03,
688599.SH,3876949.5203,2020-06-10,
688777.SH,3864416.1836,2020-11-24,
601236.SH,3863049.1607,2019-07-05,
000703.SZ,3859503.5050,1997-03-28,
300748.SZ,3856730.2863,2018-09-21,
300339.SZ,3849549.0017,2012-07-18,
300832.SZ,3836235.1669,2020-05-12,
002422.SZ,3832779.0201,2010-06-03,
688608.SH,3828335.6221,2020-12-16,
300548.SZ,3827091.3876,2016-10-12,
688234.SH,3819271.7591,2022-01-12,
600141.SH,3815059.5004,1999-06-16,
600642.SH,3807386.6354,1993-04-16,
688361.SH,3798604.8657,2023-05-19,
603087.SH,3797343.3541,2020-06-29,
002261.SZ,3792109.0501,2008-07-23,
601717.SH,3786016.8672,2010-08-03,
002459.SZ,3785087.7667,2010-08-10,
000877.SZ,3782780.7832,1999-01-07,
600392.SH,3773835.6052,2003-05-29,
002555.SZ,3773562.8115,2011-03-02,
603179.SH,3768928.3055,2017-03-17,
600298.SH,3749176.1602,2000-08-18,
688728.SH,3733337.4365,2021-08-18,
001309.SZ,3730552.0335,2022-07-01,
301236.SZ,3714421.7032,2022-03-15,
603379.SH,3706828.7127,2019-04-02,
603083.SH,3703356.5564,2017-11-10,
000661.SZ,3698432.8268,1996-12-18,
300373.SZ,3686605.4480,2014-01-23,
000959.SZ,3686113.6978,1999-12-16,
600497.SH,3684518.1331,2004-04-20,
600737.SH,3680957.8004,1996-07-31,
000564.SZ,3678754.2710,1994-01-10,
002939.SZ,3674712.8236,2018-10-26,
688336.SH,3674192.9689,2020-07-22,
688099.SH,3673827.6422,2019-08-08,
688019.SH,3673134.3903,2019-07-22,
300390.SZ,3672722.2088,2014-07-31,
603160.SH,3670834.8244,2016-10-17,
600105.SH,3669606.9530,1997-09-29,
002407.SZ,3664147.8510,2010-05-18,
300782.SZ,3652320.7930,2019-06-18,
002966.SZ,3644467.2289,2019-08-02,
000728.SZ,3643754.5390,1997-06-16,
603806.SH,3641799.8171,2014-09-05,
300620.SZ,3633718.5079,2017-03-10,
603156.SH,3623298.0023,2018-02-12,
600332.SH,3618763.3027,2001-02-06,
002223.SZ,3592344.3446,2008-04-18,
920185.BJ,3589283.8183,2020-07-27,
002472.SZ,3580412.6536,2010-09-10,
601162.SH,3576755.7172,2018-10-19,
002185.SZ,3574179.3343,2007-11-20,
600901.SH,3543756.8878,2018-03-01,
601665.SH,3532305.6094,2021-06-18,
002032.SZ,3530149.6520,2004-08-17,
601699.SH,3529862.8560,2006-09-22,
601799.SH,3524426.9922,2011-02-01,
688017.SH,3521771.7013,2020-08-28,
002456.SZ,3521473.4394,2010-08-03,
300757.SZ,3514729.2174,2019-01-08,
600177.SH,3513815.8455,1998-11-19,
600562.SH,3509490.2558,2003-01-28,
603920.SH,3488387.4066,2017-04-26,
601606.SH,3484987.0608,2018-08-06,
000958.SZ,3483060.8643,1999-12-23,
603298.SH,3480170.6142,2016-12-27,
600352.SH,3468051.7628,2003-08-01,
002129.SZ,3462314.1026,2007-04-20,
300866.SZ,3454276.7082,2020-08-24,
601399.SH,3448079.7154,2020-06-08,
600109.SH,3445989.3663,1997-08-07,
