ts_code,circ_mv,list_date,delist_date
600519.SH,200866028.2200,2001-08-27,
601398.SH,115933251.3918,2006-10-27,
601288.SH,86193947.0114,2010-07-15,
601857.SH,84847168.7766,2007-11-05,
300750.SZ,76334342.0840,2018-06-11,
601628.SH,75277060.9500,2007-01-09,
600036.SH,72118789.7238,2002-04-09,
601988.SH,66391137.1765,2006-07-05,
000858.SZ,60884350.0346,1998-04-27,
601088.SH,50380120.9525,2007-10-09,
601318.SH,48692826.9185,2007-03-01,
600900.SH,48258225.2861,2003-11-18,
600028.SH,43287670.2838,2001-08-08,
300760.SZ,39355816.0007,2018-10-16,
601888.SH,38557487.0429,2009-10-15,
601166.SH,36770411.9738,2007-02-05,
601012.SH,34692192.9060,2012-04-11,
000333.SZ,32801165.7979,2013-09-18,
603288.SH,32603654.5253,2014-02-11,
600809.SH,31179541.9283,1994-01-06,
002594.SZ,30227971.0030,2011-06-30,
002415.SZ,28912542.8438,2010-05-28,
600309.SH,28100732.3027,2001-01-05,
000568.SZ,27241249.2276,1994-05-09,
002352.SZ,25674734.5514,2010-02-05,
600276.SH,25407566.0573,2000-10-18,
000001.SZ,25285427.6759,1991-04-03,
601668.SH,24011195.7043,2009-07-29,
600030.SH,22528766.3898,2003-01-06,
002475.SZ,21907446.7761,2010-09-15,
002304.SZ,21245314.1779,2009-11-06,
600000.SH,21192269.3796,1999-11-10,
002142.SZ,20945075.7751,2007-07-19,
300059.SZ,20514041.4962,2010-03-19,
601899.SH,20146272.0521,2008-04-25,
603259.SH,19957505.3184,2018-05-08,
600048.SH,19930788.2910,2006-07-31,
601633.SH,19609079.3424,2011-09-28,
601225.SH,19554815.0000,2014-01-28,
600438.SH,19501422.5354,2004-03-02,
601319.SH,19239784.0680,2018-11-16,
601328.SH,18526407.8151,2007-05-15,
600887.SH,18198548.1842,1996-03-12,
000002.SZ,18122877.7801,1991-01-29,
601138.SH,18112879.0358,2018-06-08,
000651.SZ,17974953.8888,1996-11-18,
600104.SH,17735494.3521,1997-11-25,
600406.SH,17609594.8743,2003-10-16,
002714.SZ,17310564.7802,2014-01-28,
601998.SH,17128498.3820,2007-04-27,
601601.SH,16660830.9015,2007-12-25,
300124.SZ,16212631.4098,2010-09-28,
601919.SH,16089577.7913,2007-06-26,
300015.SZ,15684414.9050,2009-10-30,
600690.SH,15474879.6603,1993-11-19,
