ts_code,circ_mv,list_date,delist_date
601288.SH,214532109.6421,2010-07-15,
601398.SH,195468854.0908,2006-10-27,
601857.SH,178438129.7554,2007-11-05,
600519.SH,175443057.1215,2001-08-27,
300750.SZ,148980198.1150,2018-06-11,
601138.SH,114581789.6564,2018-06-08,
601988.SH,113181081.4723,2006-07-05,
601628.SH,103534591.1600,2007-01-09,
601899.SH,82691985.0640,2008-04-25,
600036.SH,79772128.1069,2002-04-09,
300308.SZ,71746981.2818,2012-04-10,
601318.SH,71155934.4290,2007-03-01,
601088.SH,69146922.1453,2007-10-09,
600900.SH,63283128.1419,2003-11-18,
600028.SH,61683861.4691,2001-08-08,
688041.SH,61464796.4784,2022-08-12,
000333.SZ,53138571.4880,2013-09-18,
688256.SH,52665691.3491,2020-07-20,
601728.SH,46577837.2194,2021-08-20,
603993.SH,42482229.0142,2012-10-09,
000858.SZ,40755167.3760,1998-04-27,
601166.SH,39574539.2165,2007-02-05,
002475.SZ,37574035.1674,2010-09-15,
300502.SZ,37142447.1683,2016-03-03,
600276.SH,37100277.2256,2000-10-18,
002371.SZ,34401738.4069,2010-03-16,
600030.SH,34191755.1350,2003-01-06,
601658.SH,33963931.9712,2019-12-10,
600000.SH,33439061.6532,1999-11-10,
601319.SH,32693433.8129,2018-11-16,
002594.SZ,31695540.9292,2011-06-30,
601601.SH,31179163.8275,2007-12-25,
300059.SZ,30364396.2382,2010-03-19,
601998.SH,29308596.4874,2007-04-27,
002415.SZ,28342476.4751,2010-05-28,
600309.SH,27538758.8939,2001-01-05,
601211.SH,26758588.7040,2015-06-26,
600150.SH,25240933.8000,1998-05-20,
688981.SH,24588620.6651,2020-07-16,
300274.SZ,24004612.6799,2011-11-02,
601816.SH,23826805.8532,2020-01-16,
603259.SH,23545627.9419,2018-05-08,
300760.SZ,22945988.7452,2018-10-16,
300476.SZ,22644047.5056,2015-06-11,
688012.SH,21786725.9571,2019-07-22,
601225.SH,21600460.0000,2014-01-28,
000651.SZ,21343652.0056,1996-11-18,
603986.SH,21029096.6216,2016-08-18,
000001.SZ,21016265.5072,1991-04-03,
600809.SH,20862608.1604,1994-01-06,
688008.SH,20847766.2844,2019-07-22,
601668.SH,20825476.7838,2009-07-29,
002142.SZ,20426651.3978,2007-07-19,
600406.SH,20180548.7705,2003-10-16,
600547.SH,19716788.4579,2003-08-28,
603288.SH,19628919.9203,2014-02-11,
300394.SZ,19274500.8254,2015-02-17,
002050.SZ,18767302.2331,2005-06-07,
600111.SH,18650124.6789,1997-09-24,
601600.SH,18613964.9866,2007-04-30,
600919.SH,18589891.6810,2016-08-02,
600031.SH,18575862.9611,2003-07-03,
600346.SH,18372050.4415,2001-08-20,
300433.SZ,18083294.5624,2015-03-18,
601919.SH,18068286.1335,2007-06-26,
300124.SZ,17900503.7896,2010-09-28,
002352.SZ,17895070.0275,2010-02-05,
600489.SH,17886583.3612,2003-08-14,
000568.SZ,17763423.3165,1994-05-09,
002714.SZ,17520451.1396,2014-01-28,
601888.SH,17449273.9367,2009-10-15,
600989.SH,17424063.3600,2019-05-16,
601336.SH,17350855.3088,2011-12-16,
000792.SZ,17345673.8434,1997-09-04,
601328.SH,17259954.9947,2007-05-15,
601688.SH,16776316.6114,2010-02-26,
600887.SH,16578210.8851,1996-03-12,
600183.SH,16510088.1459,1998-10-28,
600025.SH,16344000.0000,2017-12-15,
601985.SH,16258508.2705,2015-06-10,
600104.SH,16254322.3907,1997-11-25,
601698.SH,16052664.5656,2019-06-28,
600019.SH,15900921.8668,2000-12-12,
000725.SZ,15881307.0334,2001-01-12,
600050.SH,15721848.1509,2002-10-09,
601127.SH,15715322.8469,2016-06-15,
600690.SH,15701354.3400,1993-11-19,
601066.SH,15622088.8392,2018-06-20,
688111.SH,15601731.3054,2019-11-18,
600760.SH,15538370.5785,1996-10-11,
002916.SZ,15529948.7520,2017-12-13,
000063.SZ,15502314.1220,1997-11-18,
601818.SH,15407062.7663,2010-08-18,
601766.SH,15350840.5683,2008-08-18,
003816.SZ,15143969.6485,2019-08-26,
603501.SH,14665272.8170,2017-05-04,
601100.SH,14534499.5533,2011-10-28,
002493.SZ,13809242.7934,2010-11-02,
600089.SH,13743595.7931,1997-06-18,
603799.SH,13565368.2024,2015-01-29,
000408.SZ,13550905.7844,1996-06-28,
601012.SH,13549565.3671,2012-04-11,
002602.SZ,13430543.2470,2011-07-28,
002463.SZ,13411603.1399,2010-08-18,
300442.SZ,13324984.5320,2015-04-24,
600016.SH,13298296.2049,2000-12-19,
000776.SZ,13278206.9004,1997-06-11,
002938.SZ,13179655.4297,2018-09-18,
600362.SH,13161219.0425,2002-01-11,
603019.SH,13130719.5181,2014-11-06,
601229.SH,13129125.3047,2016-11-16,
002230.SZ,13047932.4615,2008-05-12,
601009.SH,13018836.3090,2007-07-19,
605499.SH,13007605.1820,2021-05-27,
601633.SH,12846924.1539,2011-09-28,
300014.SZ,12756789.1701,2009-10-30,
600999.SH,12699051.0204,2009-11-17,
601689.SH,12543697.2164,2015-03-19,
601898.SH,12519936.5472,2008-02-01,
600660.SH,12366437.6138,1993-06-10,
600893.SH,12347523.0038,1996-04-08,
002736.SZ,12053986.4388,2014-12-29,
