ts_code,circ_mv,list_date,delist_date
600519.SH,252091262.1084,2001-08-27,
601398.SH,138311065.0325,2006-10-27,
600036.SH,108714537.1408,2002-04-09,
000858.SZ,108179908.6950,1998-04-27,
601288.SH,94097694.0493,2010-07-15,
601318.SH,78536817.6105,2007-03-01,
601628.SH,68863413.7100,2007-01-09,
601857.SH,68816883.0727,2007-11-05,
601988.SH,68498792.3250,2006-07-05,
601888.SH,60915284.4973,2009-10-15,
000333.SZ,55167005.4774,2013-09-18,
603288.SH,54925512.3756,2014-02-11,
300750.SZ,52674596.3346,2018-06-11,
002415.SZ,52383199.2700,2010-05-28,
600900.SH,45415492.8823,2003-11-18,
000001.SZ,45196002.1723,1991-04-03,
600276.SH,44625685.5215,2000-10-18,
601166.SH,42643554.6979,2007-02-05,
600028.SH,40898726.0077,2001-08-08,
601012.SH,38431113.2691,2012-04-11,
000568.SZ,37424746.9327,1994-05-09,
000651.SZ,35765723.8245,1996-11-18,
600809.SH,35521425.1127,1994-01-06,
601088.SH,31679283.9116,2007-10-09,
600000.SH,29498905.1341,1999-11-10,
002352.SZ,28895164.6248,2010-02-05,
002714.SZ,28682378.6249,2014-01-28,
000002.SZ,27374347.5475,1991-01-29,
600031.SH,26202363.6554,2003-07-03,
002475.SZ,25968082.1067,2010-09-15,
300015.SZ,25579947.2400,2009-10-30,
002142.SZ,25035031.1860,2007-07-19,
000725.SZ,24582576.7737,2001-01-12,
600887.SH,24284320.8713,1996-03-12,
002304.SZ,24014726.8323,2009-11-06,
603501.SH,23747080.3765,2017-05-04,
600104.SH,23437023.4982,1997-11-25,
603259.SH,23431904.6061,2018-05-08,
600030.SH,23407968.1545,2003-01-06,
300760.SZ,23277126.4016,2018-10-16,
300059.SZ,22994229.6841,2010-03-19,
601601.SH,22513341.3455,2007-12-25,
601899.SH,21663272.9004,2008-04-25,
600690.SH,20900234.9427,1993-11-19,
600346.SH,20870930.8655,2001-08-20,
600436.SH,20471156.2525,2003-06-16,
300122.SZ,20298819.6686,2010-09-28,
601633.SH,20230925.7011,2011-09-28,
601668.SH,20078423.9249,2009-07-29,
600585.SH,19610541.7448,2002-02-07,
600019.SH,19169261.0161,2000-12-12,
000661.SZ,18904957.7318,1996-12-18,
601328.SH,18879665.5912,2007-05-15,
002594.SZ,18172010.3350,2011-06-30,
002493.SZ,17778425.5619,2010-11-02,
601998.SH,17639286.4757,2007-04-27,
600048.SH,16757290.6032,2006-07-31,
600016.SH,16667197.9101,2000-12-19,
601816.SH,16069272.7429,2020-01-16,
601919.SH,15825547.6758,2007-06-26,
002027.SZ,15822754.9418,2004-08-04,
300014.SZ,15788763.1705,2009-10-30,
601818.SH,15631501.3823,2010-08-18,
600438.SH,15106115.5747,2004-03-02,
600406.SH,14689019.8387,2003-10-16,
600309.SH,14627673.4591,2001-01-05,
601766.SH,14523695.4347,2008-08-18,
600999.SH,13893993.8692,2009-11-17,
002311.SZ,13730093.6197,2009-11-27,
600050.SH,13071148.7901,2002-10-09,
300124.SZ,12580397.4352,2010-09-28,
601211.SH,12316700.6873,2015-06-26,
600196.SH,12114011.2631,1998-08-07,
601688.SH,11640889.1814,2010-02-26,
000100.SZ,11607885.9648,2004-01-30,
300433.SZ,11418250.7474,2015-03-18,
601225.SH,11250000.0000,2014-01-28,
601100.SH,11226096.0000,2011-10-28,
002241.SZ,11224146.3970,2008-05-22,
601229.SH,11209753.4162,2016-11-16,
000063.SZ,11167077.3000,1997-11-18,
601390.SH,10975947.6735,2007-12-03,
600588.SH,10793592.2931,2001-05-18,
600018.SH,10729411.3630,2006-10-26,
600025.SH,10548000.0000,2017-12-15,
002230.SZ,10457008.9565,2008-05-12,
600919.SH,10361343.4495,2016-08-02,
600660.SH,10281328.8422,1993-06-10,
603993.SH,10263813.8707,2012-10-09,
600703.SH,10236846.5693,1996-05-28,
601006.SH,10228352.5458,2006-08-01,
000166.SZ,10186049.3068,2015-01-26,
601155.SH,10153771.5961,2015-12-04,
601336.SH,10137320.6317,2011-12-16,
601169.SH,10064060.5135,2007-09-19,
002271.SZ,10052468.0804,2008-09-10,
603833.SH,10046914.7069,2017-03-28,
600763.SH,10042444.8000,1996-10-30,
300274.SZ,9766015.9100,2011-11-02,
600570.SH,9594149.9385,2003-12-16,
600837.SH,9390324.6069,1994-02-24,2025-03-04
300142.SZ,9377504.3688,2010-11-12,
603799.SH,9332095.4981,2015-01-29,
