ts_code,circ_mv,list_date,delist_date
600519.SH,181293210.2982,2001-08-27,
601398.SH,161228103.0983,2006-10-27,
601857.SH,144596415.4915,2007-11-05,
601288.SH,144298383.2712,2010-07-15,
601988.SH,100956681.6112,2006-07-05,
300750.SZ,71797747.7055,2018-06-11,
600900.SH,70533319.6058,2003-11-18,
601628.SH,69508943.1400,2007-01-09,
601088.SH,66871158.9075,2007-10-09,
600036.SH,66322056.3392,2002-04-09,
600028.SH,64675912.2823,2001-08-08,
000858.SZ,47754413.2338,1998-04-27,
601318.SH,47387981.8311,2007-03-01,
000333.SZ,44477761.7576,2013-09-18,
601138.SH,40658304.7561,2018-06-08,
601166.SH,34298369.7887,2007-02-05,
601899.SH,32890068.8576,2008-04-25,
601658.SH,31748892.9296,2019-12-10,
300760.SZ,30408005.7085,2018-10-16,
002594.SZ,28994015.3641,2011-06-30,
002475.SZ,28334095.5756,2010-09-15,
600276.SH,28150537.0352,2000-10-18,
601328.SH,27907364.3147,2007-05-15,
601816.SH,26664821.1438,2020-01-16,
600000.SH,24743885.5271,1999-11-10,
002415.SZ,24331228.8978,2010-05-28,
601225.SH,23907870.0000,2014-01-28,
601998.SH,23723244.2793,2007-04-27,
600309.SH,22920150.3698,2001-01-05,
601668.SH,22271690.4493,2009-07-29,
000651.SZ,22015421.6363,1996-11-18,
600030.SH,21926332.1725,2003-01-06,
600809.SH,21572627.3376,1994-01-06,
601319.SH,21298653.9498,2018-11-16,
601985.SH,20658313.6445,2015-06-10,
603288.SH,20574222.0128,2014-02-11,
601601.SH,20288702.8726,2007-12-25,
600025.SH,19782000.0000,2017-12-15,
000001.SZ,19716107.4084,1991-04-03,
600406.SH,19657801.3659,2003-10-16,
003816.SZ,18802123.3558,2019-08-26,
000568.SZ,17500055.8202,1994-05-09,
002352.SZ,17406177.9982,2010-02-05,
601766.SH,17370047.8063,2008-08-18,
600150.SH,17160709.1444,1998-05-20,
002371.SZ,16886613.2008,2010-03-16,
601919.SH,15976646.9502,2007-06-26,
600690.SH,15601050.7133,1993-11-19,
002714.SZ,14694125.2109,2014-01-28,
600104.SH,14538576.1029,1997-11-25,
300059.SZ,14428020.9776,2010-03-19,
600050.SH,14368062.6728,2002-10-09,
601633.SH,14307271.6740,2011-09-28,
600887.SH,14268428.0818,1996-03-12,
600919.SH,14258979.1078,2016-08-02,
