ts_code,circ_mv,list_date,delist_date
600519.SH,207077926.3410,2001-08-27,
601857.SH,164188986.9075,2007-11-05,
601398.SH,146399431.4087,2006-10-27,
601288.SH,140148208.5311,2010-07-15,
601988.SH,93579888.5916,2006-07-05,
300750.SZ,77024607.0348,2018-06-11,
600036.SH,70716021.5026,2002-04-09,
601088.SH,69806563.6635,2007-10-09,
601628.SH,65281766.5500,2007-01-09,
600900.SH,63883309.5545,2003-11-18,
600028.SH,61256921.3247,2001-08-08,
000858.SZ,56941985.0557,1998-04-27,
601318.SH,46354766.6924,2007-03-01,
601138.SH,45441954.0830,2018-06-08,
000333.SZ,44313377.9082,2013-09-18,
601166.SH,37165219.1113,2007-02-05,
601899.SH,35788506.1757,2008-04-25,
300760.SZ,35177746.3169,2018-10-16,
601658.SH,33762564.7856,2019-12-10,
002415.SZ,29702226.0350,2010-05-28,
600809.SH,29442616.5337,1994-01-06,
601998.SH,27812110.7661,2007-04-27,
601328.SH,27671859.1306,2007-05-15,
600309.SH,27488481.7106,2001-01-05,
600276.SH,27021453.6327,2000-10-18,
002594.SZ,26622900.9025,2011-06-30,
000568.SZ,25655130.9729,1994-05-09,
601225.SH,25236085.0000,2014-01-28,
601816.SH,24847881.2132,2020-01-16,
600000.SH,24479715.8048,1999-11-10,
601668.SH,23263379.8200,2009-07-29,
002475.SZ,22769402.7461,2010-09-15,
000651.SZ,22723418.9534,1996-11-18,
000001.SZ,21559562.6615,1991-04-03,
600030.SH,21164764.3884,2003-01-06,
603288.SH,19906949.9475,2014-02-11,
601601.SH,19700029.3075,2007-12-25,
601919.SH,19187741.4528,2007-06-26,
601319.SH,18813810.9890,2018-11-16,
600690.SH,18635464.5399,1993-11-19,
601985.SH,18090186.9026,2015-06-10,
600406.SH,17973075.0912,2003-10-16,
002352.SZ,17937903.0213,2010-02-05,
600887.SH,17849721.5641,1996-03-12,
600025.SH,17802000.0000,2017-12-15,
002714.SZ,17259748.4164,2014-01-28,
601766.SH,16956475.2395,2008-08-18,
600150.SH,16610600.4072,1998-05-20,
300059.SZ,16578864.8456,2010-03-19,
003816.SZ,16481359.1759,2019-08-26,
600104.SH,16286446.3191,1997-11-25,
002142.SZ,16162487.6929,2007-07-19,
601633.SH,16019611.2532,2011-09-28,
002371.SZ,15560556.8163,2010-03-16,
600919.SH,15109060.5323,2016-08-02,
600019.SH,15081964.0990,2000-12-12,
000725.SZ,15037470.4889,2001-01-12,
601818.SH,15035808.2418,2010-08-18,
603993.SH,14733254.3342,2012-10-09,
600050.SH,14151303.1066,2002-10-09,
601012.SH,14087570.8797,2012-04-11,
002304.SZ,14019620.4361,2009-11-06,
600016.SH,13865690.1763,2000-12-19,
601888.SH,13862576.3624,2009-10-15,
600436.SH,13695300.6670,2003-06-16,
600031.SH,13695101.2243,2003-07-03,
300124.SZ,13545186.4317,2010-09-28,
601390.SH,13435998.1796,2007-12-03,
601127.SH,13426493.0423,2016-06-15,
600018.SH,13185820.8759,2006-10-26,
300308.SZ,12607447.9064,2012-04-10,
601006.SH,12419314.5961,2006-08-01,
600886.SH,12343527.5709,1996-01-18,
601169.SH,12305216.8463,2007-09-19,
600048.SH,12233793.1732,2006-07-31,
601898.SH,12153856.5312,2008-02-01,
600989.SH,12041377.1200,2019-05-16,
688111.SH,11951830.3006,2019-11-18,
300498.SZ,11658337.4019,2015-11-02,
601728.SH,11636712.6769,2021-08-20,
601989.SH,11560631.9093,2009-12-16,2025-09-05
603501.SH,11419256.9117,2017-05-04,
600188.SH,11407528.6387,1998-07-01,
000625.SZ,11327112.4537,1997-06-10,
300274.SZ,11249989.2830,2011-11-02,
600760.SH,10869157.7795,1996-10-11,
000063.SZ,10856848.0094,1997-11-18,
601229.SH,10814991.5504,2016-11-16,
603195.SH,10748130.0005,2020-02-06,
601600.SH,10711461.0191,2007-04-30,
603259.SH,10632147.7842,2018-05-08,
600015.SH,10601797.3243,2003-09-12,
688036.SH,10566004.1200,2019-09-30,
600999.SH,10531825.4810,2009-11-17,
601211.SH,10427570.0613,2015-06-26,
600547.SH,10413211.2827,2003-08-28,
600438.SH,10359042.2983,2004-03-02,
601800.SH,10337567.1740,2012-03-09,
000166.SZ,10253655.8288,2015-01-26,
000596.SZ,10243602.0000,1996-09-27,
600346.SH,10087029.9933,2001-08-20,
600893.SH,9943580.4721,1996-04-08,
601186.SH,9927300.8665,2008-03-10,
601688.SH,9905701.1205,2010-02-26,
600011.SH,9853948.0874,2001-12-06,
600585.SH,9603285.8922,2002-02-07,
300015.SZ,9580864.9837,2009-10-30,
600795.SH,9577727.4470,1997-03-18,
601009.SH,9553492.9100,2007-07-19,
002493.SZ,9517277.8125,2010-11-02,
000792.SZ,9393288.5536,1997-09-04,
000538.SZ,9373383.1836,1993-12-15,
600660.SH,9261808.7992,1993-06-10,
002230.SZ,9218530.4389,2008-05-12,
601995.SH,9215005.7709,2020-11-02,
002027.SZ,9156354.6263,2004-08-04,
600023.SH,8983850.9418,2013-12-19,
688981.SH,8851637.1364,2020-07-16,
600674.SH,8779166.8972,1993-09-24,
000895.SZ,8778089.5673,1998-12-10,
603392.SH,8639026.0772,2020-04-29,
605499.SH,8559013.9700,2021-05-27,
002050.SZ,8494594.8779,2005-06-07,
002311.SZ,8422531.4829,2009-11-27,
600938.SH,8411881.4849,2022-04-21,
601881.SH,8337173.6841,2017-01-23,
601111.SH,8234617.4900,2006-08-18,
002736.SZ,8170124.5755,2014-12-29,
601066.SH,8064842.0301,2018-06-20,
688012.SH,8045450.4577,2019-07-22,
001979.SZ,8031270.1115,2015-12-30,
000002.SZ,8016472.0886,1991-01-29,
001965.SZ,8013896.4380,2017-12-25,
000338.SZ,7909866.8079,2007-04-30,
300979.SZ,7895870.2401,2021-04-26,
000100.SZ,7746175.7851,2004-01-30,
000776.SZ,7618128.1142,1997-06-11,
000708.SZ,7616159.0574,1997-03-26,
600941.SH,7601401.1273,2022-01-05,
300433.SZ,7590161.7031,2015-03-18,
600089.SH,7538766.4712,1997-06-18,
688271.SH,7531240.9133,2022-08-22,
600029.SH,7451923.3567,2003-07-25,
600837.SH,7356032.9982,1994-02-24,2025-03-04
300014.SZ,7293616.6498,2009-10-30,
600926.SH,7287971.2160,2016-10-27,
002179.SZ,7287427.4261,2007-11-01,
688256.SH,7281654.4090,2020-07-20,
601872.SH,7223556.2351,2006-12-01,
000617.SZ,7180700.9169,1996-10-22,
601669.SH,6993266.3298,2011-10-18,
600489.SH,6989824.7173,2003-08-14,
002938.SZ,6922182.1621,2018-09-18,
600845.SH,6902578.3501,1994-03-11,
600111.SH,6832474.4414,1997-09-24,
601336.SH,6788105.0517,2011-12-16,
601699.SH,6784516.0656,2006-09-22,
601901.SH,6783251.5495,2011-08-10,
601939.SH,6753934.9546,2007-09-25,
600009.SH,6696180.6068,1998-02-18,
000768.SZ,6691799.7282,1997-06-26,
603369.SH,6653868.0000,2014-07-03,
601100.SH,6653153.7623,2011-10-28,
601698.SH,6585816.8573,2019-06-28,
601916.SH,6420241.9170,2019-11-26,
600160.SH,6419996.1806,1998-06-26,
601689.SH,6346704.7233,2015-03-19,
600905.SH,6345529.0163,2021-06-10,
000938.SZ,6297895.8825,1999-11-04,
688041.SH,6278372.7005,2022-08-12,
600703.SH,6251240.4649,1996-05-28,
601238.SH,6199008.0865,2012-03-29,
601788.SH,6164770.7679,2009-08-18,
002648.SZ,6141188.7753,2011-12-28,
600026.SH,6122556.0080,2002-05-23,
600085.SH,6112642.9577,1997-06-25,
600426.SH,6077582.3419,2002-06-20,
688008.SH,6049743.9678,2019-07-22,
600958.SH,6042811.6370,2015-03-23,
601838.SH,6014360.1437,2018-01-31,
002463.SZ,5975976.0219,2010-08-18,
000999.SZ,5968559.6166,2000-03-09,
603019.SH,5944662.4098,2014-11-06,
000425.SZ,5887064.9390,1996-08-28,
601360.SH,5880633.9111,2012-01-16,
601618.SH,5819953.8494,2009-09-21,
002001.SZ,5794381.9548,2004-06-25,
600372.SH,5755730.1756,2001-07-06,
000157.SZ,5677619.5806,2000-10-12,
603260.SH,5671594.2466,2017-10-30,
600236.SH,5643782.5062,2000-03-23,
600027.SH,5625326.4993,2005-02-03,
601018.SH,5611633.1664,2010-09-28,
600233.SH,5579847.4609,2000-06-08,
603198.SH,5565600.0000,2015-05-28,
002920.SZ,5538841.5942,2017-12-26,
000963.SZ,5538109.3140,2000-01-27,
603986.SH,5528771.5091,2016-08-18,
601021.SH,5494551.5401,2015-01-21,
688169.SH,5480769.8144,2020-02-21,
600600.SH,5471324.2060,1993-08-27,
300408.SZ,5439272.1760,2014-12-03,
600066.SH,5390942.0080,1997-05-08,
300502.SZ,5356599.8559,2016-03-03,
000977.SZ,5353157.4865,2000-06-08,
601808.SH,5349565.6760,2007-09-28,
601727.SH,5327892.7057,2008-12-05,
002466.SZ,5326443.4960,2010-08-31,
600115.SH,5324851.1224,1997-11-05,
600985.SH,5311106.1741,2004-04-28,
600362.SH,5289805.6353,2002-01-11,
300832.SZ,5288081.4085,2020-05-12,
000786.SZ,5276075.3619,1997-06-06,
600256.SH,5259169.8663,2000-05-26,
600039.SH,5250167.6161,2003-03-25,
000933.SZ,5177570.3291,1999-08-31,
002241.SZ,5174144.8969,2008-05-22,
600803.SH,5158940.6336,1994-01-03,
600522.SH,5139902.1759,2002-10-24,
