ts_code,circ_mv,list_date,delist_date
600519.SH,213917923.3620,2001-08-27,
601857.SH,159979012.8842,2007-11-05,
601398.SH,142355248.2206,2006-10-27,
601288.SH,135040301.1587,2010-07-15,
601988.SH,92736826.5322,2006-07-05,
300750.SZ,74064518.9812,2018-06-11,
600036.SH,66425201.0614,2002-04-09,
601088.SH,64463467.3661,2007-10-09,
600028.SH,60687089.4984,2001-08-08,
600900.SH,59850090.4620,2003-11-18,
000858.SZ,59585304.1984,1998-04-27,
601628.SH,59347060.5000,2007-01-09,
601138.SH,45164065.8268,2018-06-08,
601318.SH,43922406.0533,2007-03-01,
000333.SZ,43902980.1937,2013-09-18,
601899.SH,34575684.8866,2008-04-25,
300760.SZ,34125348.0332,2018-10-16,
601166.SH,32781832.5835,2007-02-05,
601658.SH,31883137.7200,2019-12-10,
600809.SH,29898883.1528,1994-01-06,
600276.SH,29302234.1116,2000-10-18,
002415.SZ,29292721.3577,2010-05-28,
000568.SZ,27084247.2193,1994-05-09,
600309.SH,25997102.0633,2001-01-05,
601328.SH,24885047.7855,2007-05-15,
601816.SH,24651455.2747,2020-01-16,
601225.SH,24324755.0000,2014-01-28,
002594.SZ,23641505.2076,2011-06-30,
000651.SZ,21947848.5019,1996-11-18,
603288.SH,21914326.7439,2014-02-11,
600030.SH,21824032.0224,2003-01-06,
601668.SH,21651884.5927,2009-07-29,
601998.SH,21268854.8611,2007-04-27,
002475.SZ,21043547.4643,2010-09-15,
600000.SH,20928102.0926,1999-11-10,
000001.SZ,20414635.3914,1991-04-03,
600406.SH,19434235.7939,2003-10-16,
601319.SH,18458833.4232,2018-11-16,
002352.SZ,17718851.2883,2010-02-05,
600887.SH,17591212.7036,1996-03-12,
600104.SH,17443976.2636,1997-11-25,
601985.SH,17353738.7928,2015-06-10,
300059.SZ,17312212.5941,2010-03-19,
600025.SH,17244000.0000,2017-12-15,
601888.SH,16678046.0968,2009-10-15,
601766.SH,16591558.2687,2008-08-18,
600150.SH,16547986.4046,1998-05-20,
002371.SZ,16190569.8550,2010-03-16,
003816.SZ,15891334.3844,2019-08-26,
002714.SZ,15798203.1350,2014-01-28,
601601.SH,15743595.3465,2007-12-25,
600690.SH,15739838.8717,1993-11-19,
