ts_code,circ_mv,list_date,delist_date
601288.SH,254118391.7785,2010-07-15,
601398.SH,209758301.3553,2006-10-27,
600519.SH,179075893.0152,2001-08-27,
300750.SZ,165446034.2441,2018-06-11,
601857.SH,148158701.2035,2007-11-05,
601138.SH,142978923.2232,2018-06-08,
601988.SH,118239453.8286,2006-07-05,
601628.SH,91561061.4100,2007-01-09,
600036.SH,84351753.7702,2002-04-09,
601088.SH,70103402.3467,2007-10-09,
600900.SH,67460390.7734,2003-11-18,
601899.SH,62793211.9370,2008-04-25,
601318.SH,61647156.3750,2007-03-01,
688256.SH,57523155.8000,2020-07-20,
688041.SH,53304045.4409,2022-08-12,
000333.SZ,52953157.1058,2013-09-18,
300308.SZ,52291278.2991,2012-04-10,
601728.SH,51934288.4996,2021-08-20,
600028.SH,51878478.1935,2001-08-08,
000858.SZ,46185308.2483,1998-04-27,
002475.SZ,45773441.4501,2010-09-15,
601166.SH,42812449.4888,2007-02-05,
600276.SH,40921299.5877,2000-10-18,
601658.SH,38595377.2400,2019-12-10,
600000.SH,38268408.2067,1999-11-10,
600030.SH,35774706.7616,2003-01-06,
002594.SZ,35147910.3340,2011-06-30,
300059.SZ,34109784.3204,2010-03-19,
601998.SH,31550561.4481,2007-04-27,
300502.SZ,30484931.6077,2016-03-03,
300274.SZ,30172685.3420,2011-11-02,
601319.SH,29960106.5561,2018-11-16,
603993.SH,29753275.0679,2012-10-09,
002415.SZ,29735627.2498,2010-05-28,
002371.SZ,29462212.0403,2010-03-16,
600150.SH,27016980.4239,1998-05-20,
601211.SH,26151359.0057,2015-06-26,
300760.SZ,26071570.4310,2018-10-16,
601816.SH,25392427.5930,2020-01-16,
300476.SZ,25142948.7372,2015-06-11,
688981.SH,24830567.7335,2020-07-16,
603259.SH,24584405.6452,2018-05-08,
601601.SH,24299897.1653,2007-12-25,
601127.SH,23430309.8532,2016-06-15,
600809.SH,23240318.4291,1994-01-06,
601668.SH,22436972.0111,2009-07-29,
601225.SH,22007650.0000,2014-01-28,
000001.SZ,21967139.9392,1991-04-03,
000651.SZ,21922743.3391,1996-11-18,
603288.SH,21191448.6732,2014-02-11,
600919.SH,19782727.7711,2016-08-02,
000568.SZ,19769930.0224,1994-05-09,
600309.SH,19606143.7936,2001-01-05,
600406.SH,19375094.8886,2003-10-16,
002352.SZ,19245551.3122,2010-02-05,
002714.SZ,19167293.6749,2014-01-28,
600104.SH,19116646.4892,1997-11-25,
601919.SH,18927512.7937,2007-06-26,
600031.SH,18762299.5419,2003-07-03,
601328.SH,18720011.6105,2007-05-15,
002142.SZ,18704080.7952,2007-07-19,
601766.SH,18659421.1028,2008-08-18,
002050.SZ,18395827.4003,2005-06-07,
600111.SH,18368149.5432,1997-09-24,
300124.SZ,18266862.9411,2010-09-28,
600025.SH,17712000.0000,2017-12-15,
000063.SZ,17502906.8946,1997-11-18,
688012.SH,17491995.2964,2019-07-22,
600887.SH,17251661.3653,1996-03-12,
601066.SH,17012162.4407,2018-06-20,
601985.SH,16957189.8106,2015-06-10,
600760.SH,16785920.0330,1996-10-11,
600690.SH,16768317.4357,1993-11-19,
600050.SH,16675619.7608,2002-10-09,
688111.SH,16627673.4394,2019-11-18,
600019.SH,16053396.4600,2000-12-12,
601012.SH,15997269.0048,2012-04-11,
601688.SH,15870278.6062,2010-02-26,
603501.SH,15768624.5073,2017-05-04,
688008.SH,15608412.6279,2019-07-22,
603019.SH,15570514.5673,2014-11-06,
601818.SH,15499876.3974,2010-08-18,
003816.SZ,15497984.5234,2019-08-26,
300014.SZ,15483586.1087,2009-10-30,
600183.SH,15396644.9279,1998-10-28,
000725.SZ,14902656.3816,2001-01-12,
601888.SH,14852481.4632,2009-10-15,
603986.SH,14679252.6540,2016-08-18,
300433.SZ,14632216.4825,2015-03-18,
605499.SH,14560364.0000,2021-05-27,
002916.SZ,14263362.5151,2017-12-13,
601633.SH,14150864.9360,2011-09-28,
601336.SH,14141364.1645,2011-12-16,
601009.SH,13983194.5541,2007-07-19,
600016.SH,13865690.1763,2000-12-19,
002463.SZ,13644263.2087,2010-08-18,
600989.SH,13522715.8400,2019-05-16,
600660.SH,13520157.7410,1993-06-10,
