ts_code,circ_mv,list_date,delist_date
600519.SH,266663156.5884,2001-08-27,
601398.SH,144781758.1334,2006-10-27,
000858.SZ,106282712.0040,1998-04-27,
600036.SH,105413906.0322,2002-04-09,
601288.SH,95862025.8127,2010-07-15,
601318.SH,92272636.1940,2007-03-01,
601857.SH,70598025.9286,2007-11-05,
601628.SH,69050825.4800,2007-01-09,
601988.SH,68288026.8101,2006-07-05,
000333.SZ,63992524.3777,2013-09-18,
601888.SH,60118674.4753,2009-10-15,
603288.SH,55962454.2022,2014-02-11,
600276.SH,54017773.9130,2000-10-18,
601166.SH,48410438.3599,2007-02-05,
002352.SZ,47130326.0142,2010-02-05,
002415.SZ,46358881.0360,2010-05-28,
600900.SH,44915171.9793,2003-11-18,
300750.SZ,43726550.6785,2018-06-11,
600028.SH,43096554.7417,2001-08-08,
000001.SZ,41489503.0676,1991-04-03,
601012.SH,39399003.6578,2012-04-11,
000651.SZ,35222462.1206,1996-11-18,
600031.SH,34877963.9837,2003-07-03,
000568.SZ,34441954.4802,1994-05-09,
002475.SZ,32611164.8771,2010-09-15,
000002.SZ,32154382.4349,1991-01-29,
600000.SH,30937156.5012,1999-11-10,
601601.SH,30248238.1896,2007-12-25,
601088.SH,29271592.3701,2007-10-09,
002714.SZ,28932464.7822,2014-01-28,
600809.SH,27109709.2085,1994-01-06,
600030.SH,26744953.1325,2003-01-06,
600887.SH,25630484.6900,1996-03-12,
600346.SH,25439306.6266,2001-08-20,
600104.SH,24827355.4006,1997-11-25,
300015.SZ,24824363.4064,2009-10-30,
601899.SH,23941550.0142,2008-04-25,
002142.SZ,23772312.3504,2007-07-19,
002304.SZ,23578095.4353,2009-11-06,
002594.SZ,22600583.6208,2011-06-30,
603501.SH,22198891.7071,2017-05-04,
300059.SZ,21667639.5100,2010-03-19,
600585.SH,21334413.5564,2002-02-07,
300760.SZ,20863812.2352,2018-10-16,
601668.SH,20525514.3362,2009-07-29,
000725.SZ,20423996.2554,2001-01-12,
603259.SH,20304891.4223,2018-05-08,
600438.SH,20144346.0034,2004-03-02,
002493.SZ,19571629.0084,2010-11-02,
601633.SH,18908985.8730,2011-09-28,
600309.SH,18622733.9736,2001-01-05,
600048.SH,18600592.5696,2006-07-31,
600016.SH,18369379.8243,2000-12-19,
600690.SH,18244334.2754,1993-11-19,
600436.SH,17948083.6803,2003-06-16,
601328.SH,17937644.8549,2007-05-15,
601998.SH,17809549.4842,2007-04-27,
601818.SH,16954801.4523,2010-08-18,
600019.SH,16703689.7846,2000-12-12,
601766.SH,16688869.4609,2008-08-18,
600999.SH,16165127.4824,2009-11-17,
002027.SZ,16072278.9066,2004-08-04,
300122.SZ,15709638.7482,2010-09-28,
601816.SH,15522698.8401,2020-01-16,
300014.SZ,15193496.8377,2009-10-30,
000661.SZ,15185240.4894,1996-12-18,
300433.SZ,13655581.1656,2015-03-18,
600050.SH,13222635.7827,2002-10-09,
002311.SZ,13089679.5633,2009-11-27,
600406.SH,13013022.4509,2003-10-16,
600893.SH,12686782.3375,1996-04-08,
601688.SH,12633006.6174,2010-02-26,
601100.SH,12400920.0000,2011-10-28,
601211.SH,12391076.8126,2015-06-26,
000063.SZ,12250997.4110,1997-11-18,
600703.SH,12210804.2344,1996-05-28,
300124.SZ,11999815.6871,2010-09-28,
600588.SH,11996492.6390,2001-05-18,
603993.SH,11836067.6306,2012-10-09,
601390.SH,11627580.9306,2007-12-03,
601155.SH,11486115.9597,2015-12-04,
