ts_code,circ_mv,list_date,delist_date
600519.SH,188528909.6262,2001-08-27,
601398.SH,185223590.0143,2006-10-27,
601288.SH,163772280.1286,2010-07-15,
601857.SH,127270753.1649,2007-11-05,
601988.SH,113813378.0168,2006-07-05,
300750.SZ,103144563.8812,2018-06-11,
600036.SH,86744711.3239,2002-04-09,
601628.SH,81024355.2300,2007-01-09,
600900.SH,65731868.3052,2003-11-18,
601728.SH,60163039.7417,2021-08-20,
601088.SH,58460729.5505,2007-10-09,
600028.SH,54818574.7639,2001-08-08,
601318.SH,54222269.4674,2007-03-01,
000858.SZ,51073117.8843,1998-04-27,
000333.SZ,50353015.2366,2013-09-18,
601166.SH,43106689.3200,2007-02-05,
601138.SH,42077543.0920,2018-06-08,
002594.SZ,42060037.8439,2011-06-30,
601658.SH,35709114.2464,2019-12-10,
600030.SH,33278513.8119,2003-01-06,
601899.SH,31602485.3519,2008-04-25,
002475.SZ,31153541.6690,2010-09-15,
300059.SZ,31033604.3806,2010-03-19,
688256.SH,30701439.4426,2020-07-20,
300760.SZ,30663830.6369,2018-10-16,
600000.SH,29851165.3331,1999-11-10,
600276.SH,29317894.4513,2000-10-18,
601328.SH,28299872.9548,2007-05-15,
601998.SH,28024157.3548,2007-04-27,
002415.SZ,27444488.8194,2010-05-28,
601816.SH,26861247.0822,2020-01-16,
600809.SH,24848231.2737,1994-01-06,
002371.SZ,23856664.4709,2010-03-16,
601319.SH,23428519.3448,2018-11-16,
603288.SH,22859628.8364,2014-02-11,
601668.SH,22643573.9633,2009-07-29,
000651.SZ,22530597.9558,1996-11-18,
000001.SZ,22374677.0098,1991-04-03,
600309.SH,21604596.5335,2001-01-05,
601601.SH,21130642.9716,2007-12-25,
002352.SZ,19978580.5087,2010-02-05,
600050.SH,19550087.8200,2002-10-09,
688981.SH,19444163.9225,2020-07-16,
600104.SH,19041367.5870,1997-11-25,
600406.SH,18751330.2302,2003-10-16,
000568.SZ,18581341.4605,1994-05-09,
601225.SH,18372025.0000,2014-01-28,
601127.SH,18345363.4271,2016-06-15,
601766.SH,18197192.9399,2008-08-18,
601985.SH,18090186.9026,2015-06-10,
600887.SH,17913880.4785,1996-03-12,
601818.SH,17448962.6509,2010-08-18,
601919.SH,17381716.1981,2007-06-26,
603501.SH,17244631.7263,2017-05-04,
600919.SH,16754759.2347,2016-08-02,
300124.SZ,16456216.7689,2010-09-28,
600690.SH,16418065.3744,1993-11-19,
688111.SH,16012175.2350,2019-11-18,
601066.SH,15933881.0489,2018-06-20,
