ts_code,circ_mv,list_date,delist_date
600519.SH,228627999.6000,2001-08-27,
601398.SH,120247046.7924,2006-10-27,
601857.SH,95857870.0683,2007-11-05,
601288.SH,93077491.3908,2010-07-15,
300750.SZ,87592759.3551,2018-06-11,
000858.SZ,76464471.2280,1998-04-27,
601988.SH,71238744.0179,2006-07-05,
600036.SH,70695392.5582,2002-04-09,
601628.SH,69321531.3700,2007-01-09,
600028.SH,53454894.7279,2001-08-08,
601318.SH,49396950.1109,2007-03-01,
600900.SH,48326450.8638,2003-11-18,
601088.SH,46455253.9192,2007-10-09,
002415.SZ,38857999.0963,2010-05-28,
300760.SZ,37792980.3006,2018-10-16,
000568.SZ,37314111.5568,1994-05-09,
000333.SZ,36876428.2153,2013-09-18,
601888.SH,35777161.8683,2009-10-15,
603288.SH,35467363.8057,2014-02-11,
601166.SH,35087727.3779,2007-02-05,
601138.SH,34087844.4822,2018-06-08,
600809.SH,33170502.7193,1994-01-06,
601012.SH,30622819.8119,2012-04-11,
600309.SH,30103890.6501,2001-01-05,
002594.SZ,29820303.3916,2011-06-30,
600276.SH,27314887.7373,2000-10-18,
002352.SZ,26810853.7864,2010-02-05,
601816.SH,25633584.9669,2020-01-16,
601899.SH,25430845.7559,2008-04-25,
002304.SZ,24863839.8916,2009-11-06,
000001.SZ,24315150.3284,1991-04-03,
601668.SH,23965826.4575,2009-07-29,
600030.SH,23278967.4906,2003-01-06,
300059.SZ,22210608.1712,2010-03-19,
688111.SH,21817834.0270,2019-11-18,
002475.SZ,21553584.0905,2010-09-15,
600000.SH,21104213.2282,1999-11-10,
000651.SZ,20534024.1036,1996-11-18,
603259.SH,20344191.0728,2018-05-08,
601328.SH,20057191.5117,2007-05-15,
601225.SH,19719630.0000,2014-01-28,
601998.SH,18490605.6092,2007-04-27,
601319.SH,18458833.4232,2018-11-16,
600887.SH,18368863.8865,1996-03-12,
300015.SZ,18030068.8031,2009-10-30,
600406.SH,18003145.7503,2003-10-16,
002714.SZ,17819651.5665,2014-01-28,
002142.SZ,17814077.2164,2007-07-19,
601601.SH,17742347.4514,2007-12-25,
600438.SH,17517072.2634,2004-03-02,
600436.SH,17157134.8180,2003-06-16,
601633.SH,17128075.7594,2011-09-28,
600048.SH,16914236.5496,2006-07-31,
600050.SH,16781627.2699,2002-10-09,
600104.SH,16777450.5201,1997-11-25,
000725.SZ,16511685.9450,2001-01-12,
300124.SZ,16221861.4875,2010-09-28,
002129.SZ,15659019.6071,2007-04-20,
601766.SH,14888612.4054,2008-08-18,
000002.SZ,14808200.8357,1991-01-29,
600031.SH,14465344.8654,2003-07-03,
002493.SZ,14370899.5313,2010-11-02,
600690.SH,14307797.4193,1993-11-19,
601919.SH,14052806.0526,2007-06-26,
002371.SZ,14014217.7763,2010-03-16,
601390.SH,14010115.0267,2007-12-03,
601818.SH,13968451.4839,2010-08-18,
600019.SH,13661805.4460,2000-12-12,
002230.SZ,13552325.6626,2008-05-12,
002459.SZ,13440012.2454,2010-08-10,
000063.SZ,12958494.9161,1997-11-18,
300014.SZ,12884259.6481,2009-10-30,
600018.SH,12838215.7561,2006-10-26,
600025.SH,12726000.0000,2017-12-15,
601360.SH,12468658.7788,2012-01-16,
601800.SH,12405080.6088,2012-03-09,
601728.SH,12400739.2668,2021-08-20,
600016.SH,12234432.5085,2000-12-19,
000792.SZ,12147764.7856,1997-09-04,
000596.SZ,12094560.0000,1996-09-27,
601985.SH,12045406.7227,2015-06-10,
300274.SZ,11837095.0737,2011-11-02,
600346.SH,11403341.6533,2001-08-20,
600585.SH,11299159.7857,2002-02-07,
003816.SZ,11289141.0107,2019-08-26,
002466.SZ,11136067.4380,2010-08-31,
300498.SZ,10946395.6561,2015-11-02,
600989.SH,10816706.0000,2019-05-16,
603501.SH,10747350.9314,2017-05-04,
600009.SH,10738939.4307,1998-02-18,
601211.SH,10701824.2816,2015-06-26,
601006.SH,10689334.1071,2006-08-01,
601111.SH,10659481.0485,2006-08-18,
600893.SH,10657962.9880,1996-04-08,
600188.SH,10624629.6675,1998-07-01,
603993.SH,10581797.7772,2012-10-09,
600760.SH,10555473.5723,1996-10-11,
001979.SZ,10539105.2206,2015-12-30,
600150.SH,10465483.2937,1998-05-20,
601186.SH,10364424.1955,2008-03-10,
600919.SH,10311014.4464,2016-08-02,
600999.SH,10234945.2701,2009-11-17,
600570.SH,10111834.2843,2003-12-16,
002027.SZ,9921791.2118,2004-08-04,
688981.SH,9808545.0299,2020-07-16,
601066.SH,9768520.8521,2018-06-20,
002311.SZ,9682614.2786,2009-11-27,
603195.SH,9463661.4516,2020-02-06,
002049.SZ,9441681.4908,2005-06-06,
600111.SH,9431706.7818,1997-09-24,
600011.SH,9425037.4006,2001-12-06,
000166.SZ,9397306.5508,2015-01-26,
601688.SH,9337572.5406,2010-02-26,
000776.SZ,9334722.6387,1997-06-11,
601169.SH,9302913.0797,2007-09-19,
000538.SZ,9214732.8996,1993-12-15,
000625.SZ,9117231.6045,1997-06-10,
688012.SH,9090222.3245,2019-07-22,
002050.SZ,9083578.0443,2005-06-07,
000895.SZ,8985936.9919,1998-12-10,
000708.SZ,8973840.2796,1997-03-26,
603260.SH,8916648.4547,2017-10-30,
000617.SZ,8824171.1971,1996-10-22,
603799.SH,8689882.0580,2015-01-29,
601100.SH,8644093.9200,2011-10-28,
600703.SH,8613633.4479,1996-05-28,
600588.SH,8593435.8239,2001-05-18,
601698.SH,8488000.0000,2019-06-28,
002179.SZ,8472532.1832,2007-11-01,
002812.SZ,8445948.3706,2016-09-14,
600600.SH,8445292.9227,1993-08-27,
